Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,BSE Volume,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2004-01-23,UNIPHOS,EQ,10.0,100.0,560.0,100.0,555.1,553.8,483.69,73629.0,3561361450000.0,,52799.0,0.7171,500.0,570.0,451.0,557.5,500.94007335132517,72255,2015,36195425.0,,,119.0,57.5
2004-01-27,UNIPHOS,EQ,553.8,570.0,570.0,525.0,530.1,540.35,540.77,26737.0,1445850850000.0,,17314.0,0.6476000000000001,560.0,560.0,523.0,541.1,541.7946439293863,16654,579,9023048.0,,,37.0,-18.9
2004-01-28,UNIPHOS,EQ,540.35,530.0,565.0,511.0,542.0,538.85,542.24,32155.0,1743569020000.0,,23285.0,0.7241,524.0,570.0,515.0,537.65,537.8566322478157,37770,804,20314845.0,,,55.0,13.65
2004-01-29,UNIPHOS,EQ,538.85,530.0,543.5,504.0,517.0,515.1,529.23,19074.0,1009447220000.0,,12935.0,0.6781,540.0,545.0,505.0,513.65,529.7324463259752,16535,512,8759126.0,,,40.0,-26.35
2004-01-30,UNIPHOS,EQ,515.1,519.0,519.0,471.4,485.0,482.95,485.85,23807.0,1156659385000.0,,12750.0,0.5356000000000001,514.0,514.0,473.25,483.45,485.3706397598192,32309,782,15681840.0,,,40.75,-30.55
2004-02-03,UNIPHOS,EQ,482.95,472.0,475.0,450.0,465.0,461.45,466.1,25068.0,1168431745000.0,,17793.0,0.7098000000000001,470.0,480.0,452.15,463.7,465.1801394798017,45598,990,21211284.0,,,27.85,-6.3
2004-02-04,UNIPHOS,EQ,461.45,442.0,479.0,442.0,475.0,475.15,470.81,21392.0,1007167445000.0,,18545.0,0.8669,455.0,479.75,455.0,475.65,470.8172110552765,36616,691,17239443.0,,,24.75,20.65
2004-02-05,UNIPHOS,EQ,475.15,475.0,489.0,470.5,475.05,480.15,477.59,19618.0,936930590000.0,,16395.0,0.8357,470.5,485.0,470.5,479.75,477.3709562200225,9799,303,4677758.0,,,14.5,9.25
2004-02-06,UNIPHOS,EQ,480.15,461.1,486.0,461.0,485.9,480.75,477.32,11997.0,572643405000.0,,10892.0,0.9079,478.0,484.0,474.0,479.85,480.5670928462709,32850,208,15786629.0,,,10.0,1.85
2004-02-09,UNIPHOS,EQ,480.75,475.0,483.0,462.05,474.8,471.95,471.87,19547.0,922368255000.0,,14957.0,0.7652,471.0,480.0,457.0,473.55,469.4058654192154,27790,665,13044789.0,,,23.0,2.55
2004-02-10,UNIPHOS,EQ,471.95,480.0,480.0,459.0,475.15,477.8,473.86,20031.0,949198120000.0,,16818.0,0.8395999999999999,465.0,479.0,458.0,476.2,471.5586385082003,8902,227,4197815.0,,,21.0,11.2
2004-02-11,UNIPHOS,EQ,477.8,479.0,483.95,475.8,481.5,479.75,479.86,8149.0,391037335000.0,,6622.0,0.8126000000000001,478.0,483.85,478.0,480.65,480.7522612475039,8513,267,4092644.0,,,5.85,2.65
2004-02-12,UNIPHOS,EQ,479.75,480.0,489.0,475.55,489.0,486.35,482.42,10600.0,511370200000.0,,10078.0,0.9508,476.0,489.0,476.0,486.55,481.17312482701345,21678,308,10430871.0,,,13.0,10.55
2004-02-13,UNIPHOS,EQ,486.35,493.0,495.95,480.0,495.0,492.8,490.14,14134.0,692757575000.0,,13028.0,0.9217,492.0,496.0,480.0,493.55,488.82488651785303,21369,414,10445699.0,,,16.0,1.55
2004-02-16,UNIPHOS,EQ,492.8,465.0,498.0,465.0,495.0,494.35,491.4,9670.0,475185065000.0001,,8443.0,0.8731,488.0,495.8,485.0,494.7,490.65510204081636,7840,183,3846736.0,,,10.8,6.7
2004-02-17,UNIPHOS,EQ,494.35,491.0,500.0,490.0,495.3,497.65,495.64,38983.0,1932144315000.0,,37568.0,0.9637,492.0,499.45,486.0,497.05,493.9133777549974,11706,166,5781750.0,,,13.45,5.05
2004-02-18,UNIPHOS,EQ,497.65,495.0,504.0,492.0,501.5,501.75,499.92,8918.0,445832845000.0,,7457.0,0.8362,495.0,501.85,495.0,500.15,499.6148269730543,7311,247,3652684.0,,,6.85,5.15
2004-02-19,UNIPHOS,EQ,501.75,500.0,500.0,475.0,486.0,481.55,486.65,24195.0,1177461005000.0,,20914.0,0.8644,495.0,496.0,474.5,483.35,482.46585483982557,14453,386,6973079.0,,,21.5,-11.65
2004-02-20,UNIPHOS,EQ,481.55,484.9,484.9,471.65,475.0,475.0,475.15,44404.0,2109843305000.0,,41888.0,0.9433,481.0,481.0,472.0,475.1,475.04765383990906,24636,469,11703274.0,,,9.0,-5.9
2004-02-23,UNIPHOS,EQ,475.0,505.0,505.0,465.0,472.0,469.2,470.74,13769.0,648165555000.0,,12937.0,0.9396,470.0,473.75,465.0,469.9,470.6093376764386,9210,183,4334312.0,,,8.75,-0.1
2004-02-24,UNIPHOS,EQ,469.2,469.55,485.1,469.5,482.0,482.6,478.72,11944.0,571787895000.0,,10832.0,0.9069,469.0,488.4,469.0,485.05,479.8027294021794,9819,262,4711183.0,8524.0,86.81,19.4,16.05
2004-02-25,UNIPHOS,EQ,482.6,484.0,484.0,469.5,477.9,470.85,470.59,8565.0,403058640000.0,,7549.0,0.8814000000000001,485.1,485.1,468.0,470.45,470.8590630955962,9969,175,4693994.0,8751.0,87.78,17.1,-14.65
2004-02-26,UNIPHOS,EQ,470.85,476.0,485.0,460.0,470.0,470.65,476.5,6316.0,300957650000.0,,5153.0,0.8159000000000001,475.5,484.0,474.0,476.9,478.4582417582418,7280,204,3483176.0,6395.0,87.84,10.0,1.4
2004-02-27,UNIPHOS,EQ,470.65,466.1,481.0,466.1,478.0,477.7,473.09,80565.0,3811446440000.0,,79047.0,0.9812,473.25,482.0,470.0,480.15,475.39107729036095,6702,187,3186071.0,5547.0,82.77,12.0,6.9
2004-03-01,UNIPHOS,EQ,477.7,475.6,482.0,471.5,478.0,479.65,477.5,8563.0,408881415000.0,,7033.0,0.8212999999999999,476.0,482.0,475.0,480.2,477.6742652599849,10616,302,5070990.0,9147.0,86.16,7.0,4.2
2004-03-03,UNIPHOS,EQ,479.65,490.0,531.7,490.0,518.95,516.6,509.97,46849.0,2389158205000.0,,31587.0,0.6742,482.65,531.3,482.65,517.6,510.6697716314312,94365,1538,48189353.0,75511.0,80.02,48.65,34.95
2004-03-04,UNIPHOS,EQ,516.6,529.5,529.5,493.3,500.7,498.95,508.34,13976.0,710451480000.0,,7389.0,0.5287,525.0,525.0,496.0,498.8,511.40802195745744,16031,406,8198382.0,11116.0,69.34,29.0,-26.2
2004-03-05,UNIPHOS,EQ,498.95,508.0,509.9,496.25,500.0,499.5,500.27,13147.0,657707120000.0,,9622.0,0.7319,506.0,506.0,497.0,499.95,499.68578476719085,12972,373,6481924.0,10977.0,84.62,9.0,-6.05
2004-03-08,UNIPHOS,EQ,499.5,500.0,514.0,500.0,513.0,513.2,509.88,18863.0,961782820000.0,,14232.0,0.7545000000000001,500.0,515.0,500.0,510.85,510.92076109936585,23650,600,12083276.0,16118.0,68.15,15.0,10.85
2004-03-09,UNIPHOS,EQ,513.2,514.0,518.9,501.15,511.95,512.3,509.65,13688.0,697615210000.0,,10029.0,0.7327,450.0,518.0,450.0,513.4,509.94524981457766,14831,403,7562998.0,12170.0,82.06,68.0,63.4
2004-03-10,UNIPHOS,EQ,512.3,505.0,512.0,505.0,510.0,509.9,510.64,13606.0,694776585000.0,,12634.0,0.9286,508.0,514.0,508.0,510.15,510.7684723726976,9230,206,4714393.0,8313.0,90.07,6.0,2.15
2004-03-11,UNIPHOS,EQ,509.9,505.0,518.0,505.0,515.0,515.2,514.6,14098.0,725479080000.0,,11514.0,0.8167,510.0,519.9,508.0,516.2,515.4672770939659,119916,393,61812774.0,116776.0,97.38,11.9,6.2
2004-03-12,UNIPHOS,EQ,515.2,515.0,515.0,487.05,496.25,497.3,495.7,4523.0,224205755000.0,,3542.0,0.7831,501.0,508.0,486.05,496.7,498.66440237028473,6919,260,3450259.0,5662.0,81.83,21.95,-4.3
2004-03-15,UNIPHOS,EQ,497.3,485.25,508.0,450.0,485.05,498.4,495.31,15463.0,765896845000.0,,10323.0,0.6676000000000001,498.25,515.0,480.0,493.7,502.06629988160734,14359,556,7209170.0,9669.0,67.34,35.0,-4.55
2004-03-16,UNIPHOS,EQ,498.4,481.3,493.0,477.0,479.0,481.4,482.39,2871.0,138494865000.0,,2304.0,0.8025,490.0,490.05,479.0,481.0,486.8729718189582,4684,235,2280513.0,4217.0,90.03,11.05,-9.0
2004-03-17,UNIPHOS,EQ,481.4,485.0,485.0,476.0,476.05,477.15,479.72,2033.0,97527580000.0,,993.0,0.4884000000000001,485.0,486.5,475.0,479.15,482.1208735398681,3938,157,1898592.0,3079.0,78.19,11.5,-5.85
2004-03-18,UNIPHOS,EQ,477.15,483.1,488.9,475.0,475.0,481.6,481.54,5990.0,288445310000.0,,4686.0,0.7823000000000001,480.0,498.9,477.0,478.85,481.7232773001412,15586,365,7508139.0,14323.0,91.9,21.9,-1.15
2004-03-19,UNIPHOS,EQ,481.6,482.05,488.9,480.0,483.65,484.4,481.93,4890.0,235662920000.00006,,4321.0,0.8836,482.0,490.0,482.0,485.7,485.38138355668235,2761,193,1340138.0,2332.0,84.46,8.0,3.7
2004-03-22,UNIPHOS,EQ,484.4,475.2,475.2,460.0,460.0,461.4,463.44,13607.0,630599965000.0,,12812.0,0.9416,478.0,478.0,459.0,460.05,467.7934216753431,105650,120,49422375.0,104803.0,99.2,19.0,-17.95
2004-03-23,UNIPHOS,EQ,461.4,455.25,457.0,428.0,445.0,444.4,443.51,11645.0,516469730000.0,,9231.0,0.7927,458.0,458.0,430.0,444.8,444.33273580879217,23430,417,10410716.0,21085.0,89.99,28.0,-13.2
2004-03-24,UNIPHOS,EQ,444.4,436.1,443.0,430.0,430.0,432.25,438.35,1065.0,46684675000.0,,921.0,0.8648,445.05,445.05,429.0,431.6,437.95500544643164,56918,108,24927523.0,56292.0,98.9,16.05,-13.45
2004-03-25,UNIPHOS,EQ,432.25,431.0,449.95,430.0,437.0,436.25,440.24,6362.0,280083825000.0,,5574.0,0.8761,433.0,450.0,433.0,437.55,438.89138980960456,12973,306,5693738.0,10727.0,82.69,17.0,4.55
2004-03-26,UNIPHOS,EQ,436.25,441.0,463.8,441.0,455.0,455.65,454.84,4840.0,220141980000.0,,4049.0,0.8366,445.0,460.1,445.0,457.25,453.04502476361984,4442,111,2012426.0,4037.0,90.88,15.1,12.25
2004-03-29,UNIPHOS,EQ,455.65,464.75,464.75,450.0,451.0,451.75,455.82,5322.0,242587955000.0,,4270.0,0.8023,458.2,460.05,450.0,450.0,450.1685484185485,102564,136,46171087.0,102257.0,99.7,10.05,-8.2
2004-03-30,UNIPHOS,EQ,451.75,460.0,462.0,457.0,457.0,457.65,459.95,1641.0,75477270000.0,,891.0,0.5429999999999999,460.0,463.0,453.0,454.6,459.80337756332915,829,28,381177.0,736.0,88.78,10.0,-5.4
