Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,SESAGOA,EQ,107.7,111.0,116.35,108.0,116.35,116.35,114.8,20371.0,233859660000.0,,,,113.0,116.15,112.5,116.15,114.89470543380965,30163.0,201.0,3465569.0,,,3.65,3.15
2000-01-04,SESAGOA,EQ,116.35,113.75,116.0,108.0,116.0,114.7,113.34,22366.0,253499440000.0,,,,117.0,120.0,112.0,115.8,114.83465300419185,23617.0,189.0,2712050.0,,,8.0,-1.2
2000-01-05,SESAGOA,EQ,114.7,107.55,115.85,107.55,114.5,114.0,112.78,18305.0,206436075000.0,,,,112.0,116.0,107.0,113.7,112.35086185967471,20595.0,123.0,2313866.0,,,9.0,1.7
2000-01-06,SESAGOA,EQ,114.0,112.0,123.1,112.0,118.8,119.3,119.89,25800.0,309313325000.0,,,,115.0,122.75,112.7,118.0,119.36373897707232,56700.0,363.0,6767924.0,,,10.05,3.0
2000-01-07,SESAGOA,EQ,119.3,119.85,120.0,114.05,116.5,116.5,116.84,17361.0,202840260000.0,,,,115.5,119.0,114.1,115.0,116.02170275210464,38843.0,275.0,4506631.0,,,4.9,-0.5
2000-01-10,SESAGOA,EQ,116.5,120.5,120.85,116.0,119.0,119.0,118.69,20707.0,245767815000.0,,,,122.0,122.5,118.0,120.7,120.18179720844387,43345.0,311.0,5209280.0,,,4.5,-1.3
2000-01-11,SESAGOA,EQ,119.0,118.0,118.2,113.35,113.35,114.55,116.3,20648.0,240140035000.0,,,,122.0,122.0,114.5,114.5,118.02629084909964,28489.0,238.0,3362451.0,,,7.5,-7.5
2000-01-12,SESAGOA,EQ,114.55,115.5,117.4,114.65,115.65,115.45,115.73,4995.0,57804725000.0,,,,116.8,116.8,114.0,115.3,115.1553594970084,9861.0,86.0,1135547.0,,,2.8,-1.5
2000-01-13,SESAGOA,EQ,115.45,112.25,115.9,112.1,115.0,115.1,114.9,15911.0,182823965000.0,,,,116.0,116.8,113.0,113.8,114.08890074706508,28110.0,275.0,3207039.0,,,3.8,-2.2
2000-01-14,SESAGOA,EQ,115.1,113.55,114.0,111.35,114.0,113.9,112.94,3722.0,42034650000.0,,,,113.9,114.5,110.0,114.5,111.29226814203061,173878.0,184.0,19351277.0,,,4.5,0.6
