Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable,Percent Deliverable,BSE Open,BSE High,BSE Low,BSE Close,BSE WAP,No.of Shares,BSE Trades,BSE Turnover,BSE Deliverable,BSE Percent Deliverable to Traded,Spread High-Low,Spread Close-Open
2000-01-03,ZEETELE,EQ,1092.55,1175.0,1179.95,1160.0,1179.95,1179.95,1177.03,1261391,148469028020000.0,,,,1130.0,1180.2,1125.0,1180.2,1175.0700295460326,1651660,7881,1940816165.0,,,55.2,50.2
2000-01-04,ZEETELE,EQ,1179.95,1220.0,1274.35,1183.1,1274.35,1260.65,1228.02,4616547,566921974510000.0,,,,1249.5,1274.6,1181.25,1274.6,1232.601715340479,4174798,22767,5145863176.0,,,93.35,25.1
2000-01-05,ZEETELE,EQ,1260.65,1160.55,1317.7,1159.8,1190.95,1176.55,1238.35,8763127,1085177595800000.0,,,,1255.0,1312.0,1172.65,1189.0,1237.9806700102565,5566273,29389,6890938378.0,,,139.35,-66.0
2000-01-06,ZEETELE,EQ,1176.55,1195.0,1200.0,1095.0,1106.0,1115.45,1135.04,5164020,586135272520000.0,,,,1195.0,1200.0,1095.0,1107.0,1135.7207902651207,3531220,19762,4010479969.0,,,105.0,-88.0
2000-01-07,ZEETELE,EQ,1115.45,1097.1,1097.1,1026.25,1026.25,1026.25,1029.94,755129,77773741030000.0,,,,1104.0,1104.0,1018.45,1018.45,1025.023762912764,933766,5520,957132339.0,,,85.55,-85.55
2000-01-10,ZEETELE,EQ,1026.25,1026.25,1026.25,944.3,962.0,966.7,980.49,3942813,386588483605000.0,,,,1030.0,1099.9,945.0,968.2,985.4101531669597,3304368,18828,3256157777.0,,,154.9,-61.8
2000-01-11,ZEETELE,EQ,966.7,985.0,1044.0,891.0,1018.8,1019.95,995.97,6802005,677460525215000.0,,,,985.0,1045.6,900.0,1020.0,1004.960590800325,5863707,29048,5892794451.0,,,145.6,35.0
2000-01-12,ZEETELE,EQ,1019.95,1035.0,1088.0,1035.0,1064.0,1063.85,1068.99,2968833,317365292920000.0,,,,1014.9,1085.0,996.0,1060.0,1063.5199704444874,2710831,18197,2883022905.0,,,89.0,45.1
2000-01-13,ZEETELE,EQ,1063.85,1073.0,1085.0,1012.7,1018.0,1023.1,1050.57,2251046,236488202445000.0,,,,1065.0,1093.0,1010.15,1016.0,1045.9290626800657,1891670,13519,1978552630.0,,,82.85,-49.0
2000-01-14,ZEETELE,EQ,1023.1,1030.0,1034.75,980.7,1001.0,1001.85,1007.74,2949092,297190565470000.0,,,,1028.0,1029.7,980.0,997.0,1004.6932807389512,3457657,21139,3473884755.0,,,49.7,-31.0
2000-01-17,ZEETELE,EQ,1001.85,1022.0,1054.9,1011.1,1034.9,1042.35,1036.05,3526666,365378816190000.0,,,,1025.0,1063.4,1025.0,1039.0,1042.953692711715,1993034,12942,2078642170.0,,,38.4,14.0
2000-01-18,ZEETELE,EQ,1042.35,1034.0,1039.0,1001.0,1015.0,1009.3,1021.41,2754298,281326394235000.0,,,,1050.0,1050.0,1008.8,1024.0,1028.820360308466,1854078,11928,1907513196.0,,,41.2,-26.0
