Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,2214.0,2242.3,2196.15,2213.05,2216.3842994157644,50151,3523,111153889.0,8732.0,17.41,46.15,-0.95
2020-10-29,2160.0,2232.45,2159.55,2224.8,2207.832874914608,111252,9533,245625823.0,11875.0,10.67,72.9,64.8
2020-10-28,2200.0,2218.2,2150.6,2159.2,2188.98499119814,230065,8914,503608832.0,152934.0,66.47,67.6,-40.8
2020-10-27,2072.0,2206.05,2072.0,2198.15,2168.103966194934,230498,18741,499743628.0,73792.0,32.01,134.05,126.15
2020-10-26,2119.0,2119.0,2070.5,2080.7,2082.3329011145074,32391,3056,67448845.0,11331.0,34.98,48.5,-38.3
2020-10-23,2115.0,2128.95,2096.85,2119.4,2116.3185359400263,74833,6023,158370465.0,28728.0,38.39,32.1,4.4
2020-10-22,2106.0,2114.95,2078.0,2100.25,2093.6133538963986,66138,5903,138467400.0,12647.0,19.12,36.95,-5.75
2020-10-21,2137.0,2142.65,2081.1,2114.35,2117.577899704861,76913,6463,162869269.0,18292.0,23.78,61.55,-22.65
2020-10-20,2085.8,2131.5,2067.95,2119.3,2100.9827331610563,59594,5373,125205965.0,24895.0,41.77,63.55,33.5
2020-10-19,2070.1,2076.65,2056.25,2070.6,2067.156963305403,41532,3475,85853163.0,11091.0,26.7,20.4,0.5
2020-10-16,2090.5,2090.5,2057.0,2061.75,2068.8823589084645,29573,2605,61183058.0,8657.0,29.27,33.5,-28.75
2020-10-15,2077.6,2122.8,2069.45,2089.4,2079.7379040387896,203353,4727,422920942.0,141743.0,69.7,53.35,11.8
2020-10-14,2066.05,2084.35,2055.15,2071.3,2067.702010693576,53116,3530,109828060.0,11221.0,21.13,29.2,5.25
2020-10-13,2072.0,2112.9,2054.4,2064.75,2083.317987873344,48983,3196,102047165.0,10920.0,22.29,58.5,-7.25
2020-10-12,2077.0,2085.95,2041.45,2076.9,2071.34672176708,41379,3061,85710256.0,8396.0,20.29,44.5,-0.1
2020-10-09,2090.0,2107.15,2046.45,2050.4,2062.4927709794015,45926,4968,94722043.0,13307.0,28.97,60.7,-39.6
2020-10-08,2109.0,2109.0,2072.8,2090.6,2087.8228897697923,27497,2265,57408866.0,6358.0,23.12,36.2,-18.4
2020-10-07,2091.0,2118.0,2074.65,2103.95,2103.33495145631,79722,6380,167682069.0,24058.0,30.18,43.35,12.95
2020-10-06,2045.0,2096.0,2043.65,2090.6,2078.4237801489385,71976,4994,149596630.0,14912.0,20.72,52.35,45.6
2020-10-05,2040.0,2040.0,2010.6,2027.1,2024.8820870142256,48222,4607,97643864.0,16167.0,33.53,29.4,-12.9
2020-10-01,2007.0,2048.5,1992.6,2040.95,2017.785974400965,92816,7291,187282823.0,40079.0,43.18,55.9,33.95
2020-09-30,1968.9,2003.1,1959.0,1987.55,1966.2099806630479,171692,3207,337582524.0,135590.0,78.97,44.1,18.65
2020-09-29,1947.0,1990.0,1947.0,1959.85,1970.4100200618116,55329,4434,109020816.0,10747.0,19.42,43.0,12.85
2020-09-28,1939.9,1958.5,1930.05,1946.1,1945.1385676487196,33637,2504,65428626.0,3776.0,11.23,28.45,6.2
2020-09-25,1921.0,1954.4,1908.3,1924.4,1933.0949116647162,71772,5569,138742088.0,15701.0,21.88,46.1,3.4
2020-09-24,1946.4,1946.4,1908.95,1919.2,1924.5934992190444,37134,3533,71467855.0,6847.0,18.44,37.45,-27.2
2020-09-23,1949.0,1989.0,1928.65,1946.5,1961.629429853929,80646,5607,158197567.0,18666.0,23.15,60.35,-2.5
2020-09-22,1987.0,1995.75,1930.0,1935.8,1949.7238861255164,94490,8897,184229410.0,36993.0,39.15,65.75,-51.2
2020-09-21,2040.0,2056.4,1963.45,1972.7,2011.3625341443358,98479,8012,198076971.0,26666.0,27.08,92.95,-67.3
2020-09-18,2011.0,2043.25,2011.0,2028.8,2031.0039321988513,59763,4329,121378888.0,18635.0,31.18,32.25,17.8
2020-09-17,2005.0,2045.0,1999.75,2008.4,2027.4722403016049,81431,5508,165099092.0,18855.0,23.15,45.25,3.4
2020-09-16,2034.0,2034.0,1995.3,2014.55,2004.8958955854991,35474,2284,71121677.0,7942.0,22.39,38.7,-19.45
2020-09-15,2045.0,2049.05,2009.95,2016.95,2022.6295677410844,45482,3802,91993238.0,10226.0,22.48,39.1,-28.05
2020-09-14,2059.8,2059.8,2005.1,2031.55,2025.1375804703928,62756,3833,127089534.0,7010.0,11.17,54.7,-28.25
2020-09-11,2064.0,2068.15,2022.5,2035.2,2038.1083276059567,87300,5854,177926857.0,18995.0,21.76,45.65,-28.8
2020-09-10,1988.0,2087.75,1982.35,2062.9,2032.351177014297,152547,7181,310029075.0,34222.0,22.43,105.4,74.9
