Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,495.8,501.3,481.8,492.4,492.60596057878445,474719,8551,233849409.0,45283.0,9.54,19.5,-3.4
2020-10-29,505.0,516.25,489.5,493.7,501.6331401799551,1562834,32531,783969327.0,223172.0,14.28,26.75,-11.3
2020-10-28,510.0,517.5,493.6,504.85,506.52148134106335,1709181,17426,865736892.0,1043713.0,61.06,23.9,-5.15
2020-10-27,493.1,512.0,483.45,508.45,498.6478941671162,559826,9691,279156056.0,62116.0,11.1,28.55,15.35
2020-10-26,507.0,509.05,491.05,493.25,498.6263311739356,311661,5219,155402381.0,47528.0,15.25,18.0,-13.75
2020-10-23,514.8,515.5,504.55,507.15,508.6076362342647,396321,8970,201571887.0,117354.0,29.61,10.95,-7.65
2020-10-22,493.5,512.95,493.5,510.55,506.07230341006664,752302,16316,380719206.0,288331.0,38.33,19.45,17.05
2020-10-21,497.0,507.0,486.75,501.5,499.4458824806426,552760,9976,276073706.0,98528.0,17.82,20.25,4.5
2020-10-20,486.0,498.45,485.5,493.7,493.03795880697436,745466,13871,367543035.0,171172.0,22.96,12.95,7.7
2020-10-19,477.45,495.8,476.5,493.15,489.91829292790874,751673,13740,368258353.0,177095.0,23.56,19.3,15.7
2020-10-16,463.2,475.4,462.55,472.25,470.1617735632208,506393,11005,238086631.0,153687.0,30.35,12.85,9.05
2020-10-15,472.9,481.8,460.0,462.75,471.5970442205728,1601811,10089,755409333.0,1010832.0,63.11,21.8,-10.15
2020-10-14,459.8,474.25,454.65,470.9,464.3933824913712,318700,5124,148002171.0,39455.0,12.38,19.6,11.1
2020-10-13,467.6,473.0,460.0,461.15,466.3467706820702,466213,6540,217416927.0,78141.0,16.76,13.0,-6.45
2020-10-12,473.35,479.9,462.3,467.95,469.9580577224197,984782,19516,462806236.0,279183.0,28.35,17.6,-5.4
2020-10-09,453.9,469.55,450.2,468.2,462.207695262484,781000,13645,360984210.0,155249.0,19.88,19.35,14.3
2020-10-08,454.0,461.6,447.35,451.75,456.66538475327746,418385,7562,191061947.0,67358.0,16.1,14.25,-2.25
2020-10-07,448.4,455.85,443.4,453.05,452.1617391642053,463487,6852,209571088.0,81805.0,17.65,12.45,4.65
2020-10-06,455.0,455.0,442.8,449.4,447.7942795733879,824449,13917,369183546.0,182639.0,22.15,12.2,-5.6
2020-10-05,445.05,456.2,439.35,444.2,448.37499787777534,647905,12446,290504403.0,103563.0,15.98,16.85,-0.85
2020-10-01,425.0,445.25,425.0,443.35,439.7240962431405,592250,10288,260426596.0,115113.0,19.44,20.25,18.35
2020-09-30,427.0,427.7,418.8,424.5,424.7328777362826,1398019,7477,593784633.0,973018.0,69.6,8.9,-2.5
2020-09-29,440.55,443.35,424.75,426.75,430.7708078480461,527265,9489,227130370.0,52516.0,9.96,18.6,-13.8
2020-09-28,417.55,440.55,417.55,439.15,433.16732199090274,457280,8238,198078753.0,79648.0,17.42,23.0,21.6
2020-09-25,408.4,416.55,400.4,414.95,408.54704397087136,403176,6462,164716363.0,59773.0,14.83,16.15,6.55
2020-09-24,410.05,414.0,400.0,402.4,407.56439556893963,818224,17671,333478970.0,217400.0,26.57,14.0,-7.65
2020-09-23,420.0,422.95,406.15,419.8,414.69695831665734,729596,15193,302561242.0,137711.0,18.87,16.8,-0.2
2020-09-22,425.5,426.6,406.45,412.3,416.3489317998533,711758,11567,296339683.0,142288.0,19.99,20.15,-13.2
2020-09-21,444.3,444.3,420.6,423.25,430.8125073270964,469149,8588,202115257.0,123231.0,26.27,23.7,-21.05
2020-09-18,445.0,449.2,436.05,443.3,443.63317881068,363485,6033,161254006.0,77860.0,21.42,13.15,-1.7
2020-09-17,442.0,446.2,439.35,442.85,442.8723950751777,212962,3553,94314991.0,37176.0,17.46,6.85,0.85
2020-09-16,449.0,450.45,439.95,445.95,444.5784521239408,520636,10840,231463547.0,94761.0,18.2,10.5,-3.05
2020-09-15,441.5,451.7,436.5,449.65,443.2436578318055,401440,6099,177935734.0,51671.0,12.87,15.2,8.15
2020-09-14,451.0,455.0,438.2,440.1,447.675349980832,378235,6491,169326486.0,60107.0,15.89,16.8,-10.9
