Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,3378.0,3392.4,3255.0,3307.65,3308.8650365249373,117454,11346,388639434.0,18090.0,15.4,137.4,-70.35
2020-10-29,3362.0,3432.55,3333.0,3379.6,3384.0704437408176,109591,8993,370863664.0,8986.0,8.2,99.55,17.6
2020-10-28,3453.0,3488.95,3350.0,3370.35,3433.527138671948,265562,22778,911814334.0,120252.0,45.28,138.95,-82.65
2020-10-27,3325.0,3465.0,3277.05,3453.75,3397.8317678881403,187806,18328,638133193.0,53268.0,28.36,187.95,128.75
2020-10-26,3343.0,3343.0,3238.9,3292.6,3275.2957265221557,129356,15584,423679154.0,22632.0,17.5,104.1,-50.4
2020-10-23,3328.35,3355.5,3304.0,3317.35,3334.344829607399,85303,6618,284429617.0,14238.0,16.69,51.5,-11.0
2020-10-22,3161.0,3344.0,3155.0,3313.15,3292.3899273692273,309373,29314,1018576549.0,100076.0,32.35,189.0,152.15
2020-10-21,3279.0,3295.0,3101.6,3233.25,3209.0775655772522,237773,21519,763032000.0,27568.0,11.59,193.4,-45.75
2020-10-20,3262.0,3288.0,3229.0,3262.1,3261.872027348395,100920,8567,329188125.0,8184.0,8.11,59.0,0.1
2020-10-19,3243.0,3294.9,3196.7,3266.9,3245.102645699575,161205,13594,523126772.0,15320.0,9.5,98.2,23.9
2020-10-16,3299.9,3299.9,3170.8,3230.15,3230.6445820771964,128038,11189,413645271.0,16328.0,12.75,129.1,-69.75
2020-10-15,3370.0,3375.0,3200.0,3213.7,3303.001821236698,241045,14861,796172074.0,118993.0,49.37,175.0,-156.3
2020-10-14,3252.5,3381.7,3232.05,3371.5,3313.4480861792345,239965,23649,795111570.0,81864.0,34.11,149.65,119.0
2020-10-13,3325.0,3339.7,3245.0,3273.2,3286.687670352675,96491,8975,317135780.0,15738.0,16.31,94.7,-51.8
2020-10-12,3353.0,3380.0,3305.7,3325.1,3333.794785760645,81661,6553,272241016.0,11017.0,13.49,74.3,-27.9
2020-10-09,3333.7,3417.7,3305.1,3317.7,3361.098858420619,203928,13346,685422168.0,20457.0,10.03,112.6,-16.0
2020-10-08,3349.0,3398.0,3303.85,3325.8,3344.5595223083137,214113,21140,716113673.0,52011.0,24.29,94.15,-23.2
2020-10-07,3415.0,3415.0,3286.0,3331.2,3335.1424096932597,237856,27525,793283633.0,63519.0,26.7,129.0,-83.8
2020-10-06,3440.0,3480.0,3392.05,3474.4,3445.6337001555803,175471,12730,604608791.0,41446.0,23.62,87.95,34.4
2020-10-05,3460.0,3518.0,3370.0,3379.85,3430.344380210484,179206,19027,614738295.0,31736.0,17.71,148.0,-80.15
2020-10-01,3400.0,3458.65,3317.6,3444.05,3406.430682324532,139142,13704,473977578.0,31892.0,22.92,141.05,44.05
2020-09-30,3300.0,3343.65,3259.9,3277.25,3296.299180103255,182462,8402,601449341.0,86687.0,47.51,83.75,-22.75
2020-09-29,3359.45,3372.25,3254.3,3293.1,3296.8069237719333,210290,20539,693285528.0,28141.0,13.38,117.95,-66.35
2020-09-28,3195.0,3349.0,3165.25,3335.75,3295.8860654844684,156037,13332,514280174.0,15786.0,10.12,183.75,140.75
2020-09-25,3089.5,3164.75,3031.5,3138.25,3101.7478799300043,148580,13060,460857700.0,16596.0,11.17,133.25,48.75
2020-09-24,3205.0,3205.0,3008.85,3027.9,3095.9901094602733,161063,15668,498649455.0,35219.0,21.87,196.15,-177.1
2020-09-23,3339.5,3343.9,3201.1,3242.85,3270.68198677157,135617,15985,443560079.0,24950.0,18.4,142.8,-96.65
2020-09-22,3300.0,3353.5,3218.55,3304.4,3278.169400050967,109876,12162,360192141.0,12748.0,11.6,134.95,4.4
2020-09-21,3470.0,3470.0,3315.0,3327.95,3380.4574987649535,159913,22838,540579100.0,47768.0,29.87,155.0,-142.05
2020-09-18,3494.95,3500.0,3429.2,3475.45,3465.4555676518853,61543,6163,213274532.0,9492.0,15.42,70.8,-19.5
2020-09-17,3493.45,3515.8,3457.0,3469.8,3483.355050284215,68610,6708,238992990.0,11688.0,17.04,58.8,-23.65
2020-09-16,3515.35,3565.1,3481.95,3519.75,3534.9996185497384,159916,15834,565302999.0,41840.0,26.16,83.15,4.4
2020-09-15,3475.85,3524.3,3455.05,3514.45,3495.872298267252,98918,7964,345804696.0,10202.0,10.31,69.25,38.6
2020-09-14,3558.0,3574.25,3421.5,3440.35,3486.048108831099,118128,10504,411799891.0,28900.0,24.46,152.75,-117.65
2020-09-11,3494.0,3556.0,3456.15,3543.35,3516.2032563293837,175965,15638,618728706.0,47174.0,26.81,99.85,49.35
2020-09-10,3448.0,3517.55,3419.0,3499.0,3476.9394231032375,219242,20103,762291153.0,38249.0,17.45,98.55,51.0
2020-09-09,3475.0,3492.9,3393.65,3423.8,3428.042733909079,203562,21937,697819235.0,38390.0,18.86,99.25,-51.2
2020-09-08,3515.0,3574.85,3481.1,3500.75,3525.7227058341796,131878,10927,464965259.0,12976.0,9.84,93.75,-14.25
2020-09-07,3608.0,3629.0,3478.35,3504.45,3535.7917035707624,171616,14103,606798429.0,19223.0,11.2,150.65,-103.55
2020-09-04,3516.5,3649.5,3516.5,3595.95,3597.478004038467,146095,12125,525573549.0,16042.0,10.98,133.0,79.45
2020-09-03,3677.0,3677.0,3605.3,3617.4,3633.6623042152837,114156,11759,414804354.0,26056.0,22.82,71.7,-59.6
2020-09-02,3648.65,3680.0,3575.0,3670.3,3629.349318536647,94796,9215,344047798.0,10207.0,10.77,105.0,21.65
2020-09-01,3510.0,3673.8,3499.3,3643.75,3595.2675869950976,265992,27601,956312416.0,63805.0,23.99,174.5,133.75
2020-08-31,3711.0,3750.0,3465.8,3489.45,3602.4074439915344,383692,40037,1382214917.0,82100.0,21.4,284.2,-221.55
2020-08-28,3655.0,3687.6,3617.25,3672.25,3654.1848654139158,143737,10825,525241570.0,21364.0,14.86,70.35,17.25
2020-08-27,3652.05,3684.0,3598.0,3631.75,3629.1794299670573,132659,10205,481443314.0,18399.0,13.87,86.0,-20.3
2020-08-26,3661.0,3707.0,3630.5,3644.4,3668.264747916456,257494,23619,944556163.0,56321.0,21.87,76.5,-16.6
2020-08-25,3520.05,3661.0,3515.0,3643.9,3581.769624737449,270424,23049,968596469.0,46775.0,17.3,146.0,123.85
2020-08-24,3393.2,3512.75,3393.2,3490.65,3468.5797071485213,353080,35831,1224686123.0,155226.0,43.96,119.55,97.45
2020-08-21,3416.25,3439.7,3380.65,3390.1,3413.6395175000216,117057,11835,399590401.0,29068.0,24.83,59.05,-26.15
2020-08-20,3371.05,3413.0,3353.05,3393.95,3386.4604377275596,98326,8517,332977109.0,15425.0,15.69,59.95,22.9
2020-08-19,3437.0,3465.5,3402.0,3408.75,3428.3650533807827,210750,9534,722527935.0,114009.0,54.1,63.5,-28.25
2020-08-18,3396.25,3436.0,3369.45,3419.45,3404.1524675682294,130736,10703,445045277.0,14826.0,11.34,66.55,23.2
2020-08-17,3358.7,3399.8,3313.55,3384.35,3354.8944717966024,195597,14781,656207294.0,74711.0,38.2,86.25,25.65
2020-08-14,3429.95,3450.0,3306.0,3330.9,3366.775362878917,194073,16521,653400195.0,36288.0,18.7,144.0,-99.05
2020-08-13,3456.0,3471.65,3405.05,3418.85,3439.123125571156,192592,16581,662347601.0,31122.0,16.16,66.6,-37.15
2020-08-12,3432.0,3448.0,3363.4,3418.6,3413.6254034730496,172874,13765,590127078.0,16500.0,9.54,84.6,-13.4
2020-08-11,3466.95,3494.0,3406.0,3456.65,3448.9169555478525,150004,13079,517351339.0,14034.0,9.36,88.0,-10.3
2020-08-10,3495.0,3555.0,3414.15,3441.75,3487.026310634849,331843,31663,1157145272.0,74855.0,22.56,140.85,-53.25
2020-08-07,3336.0,3480.0,3306.0,3466.0,3420.8127013532285,591622,51016,2023828052.0,182620.0,30.87,174.0,130.0
2020-08-06,3285.0,3378.05,3256.4,3345.3,3326.5253350062217,486185,41177,1617306720.0,145700.0,29.97,121.65,60.3
2020-08-05,3240.05,3330.0,3240.05,3262.55,3296.523473883268,389731,35344,1284757390.0,115978.0,29.76,89.95,22.5
2020-08-04,3200.0,3259.25,3146.0,3235.95,3212.389761031848,226390,17668,727252918.0,39294.0,17.36,113.25,35.95
2020-08-03,3236.0,3241.0,3168.3,3173.35,3196.940006263148,249076,23934,796281029.0,77527.0,31.13,72.7,-62.65
2020-07-31,3232.0,3271.8,3180.3,3251.6,3234.528397807409,394784,30668,1276940059.0,88132.0,22.32,91.5,19.6
2020-07-30,3301.95,3324.6,3206.0,3218.4,3271.4411980347695,264600,20641,865623341.0,90015.0,34.02,118.6,-83.55
2020-07-29,3245.0,3328.3,3240.0,3283.05,3286.9917028980885,313724,21202,1031208185.0,62575.0,19.95,88.3,38.05
2020-07-28,3182.0,3259.35,3163.0,3239.05,3218.1743670264964,331175,21612,1065778896.0,59354.0,17.92,96.35,57.05
2020-07-27,3257.0,3290.0,3152.2,3170.55,3185.0800965590283,307791,22295,980338988.0,74283.0,24.13,137.8,-86.45
2020-07-24,3249.0,3290.0,3220.0,3251.35,3250.653118303427,342526,28271,1113433210.0,91997.0,26.86,70.0,2.35
2020-07-23,3253.0,3319.85,3220.0,3298.25,3288.860479763504,274677,21475,903374330.0,30172.0,10.98,99.85,45.25
2020-07-22,3316.2,3345.0,3194.15,3252.55,3264.8319238375843,866149,73119,2827830906.0,129098.0,14.9,150.85,-63.65
2020-07-21,3498.0,3517.75,3220.0,3292.9,3390.0697699290004,1037897,74379,3518543244.0,116011.0,11.18,297.75,-205.1
2020-07-20,3332.0,3452.8,3316.35,3441.35,3387.870416308901,651031,54662,2205608665.0,201354.0,30.93,136.45,109.35
2020-07-17,3217.8,3324.0,3210.5,3301.8,3275.2421426462383,365772,22047,1197991869.0,109263.0,29.87,113.5,84.0
2020-07-16,3175.05,3214.0,3102.6,3204.5,3161.392293539186,444588,31312,1405517077.0,87969.0,19.79,111.4,29.45
2020-07-15,3239.0,3296.9,3121.85,3147.9,3236.561198205001,528357,33603,1710059765.0,114519.0,21.67,175.05,-91.1
2020-07-14,3224.0,3225.0,3123.35,3190.35,3161.728554945786,405618,29000,1282454013.0,62490.0,15.41,101.65,-33.65
2020-07-13,3364.0,3380.0,3212.8,3233.25,3281.989472985165,436686,32360,1433198855.0,58266.0,13.34,167.2,-130.75
2020-07-10,3272.1,3395.0,3272.1,3313.1,3334.011594237498,586412,45692,1955104407.0,66612.0,11.36,122.9,41.0
2020-07-09,3232.5,3378.55,3196.15,3329.6,3313.7030855142484,762142,54032,2525512297.0,74986.0,9.84,182.4,97.1
2020-07-08,3355.0,3409.0,3181.0,3203.6,3295.3931786568132,1086267,83188,3579676862.0,148571.0,13.68,228.0,-151.4
2020-07-07,3140.0,3419.95,3124.8,3352.75,3266.824780631101,1421578,96379,4644046238.0,192657.0,13.55,295.15,212.75
2020-07-06,2960.4,3135.0,2960.4,3109.05,3037.8432848451266,797651,59748,2423138734.0,266902.0,33.46,174.6,148.65
2020-07-03,2980.0,2988.5,2920.0,2931.85,2953.725987319947,441954,31902,1305411015.0,70061.0,15.85,68.5,-48.15
2020-07-02,2985.0,3014.85,2926.15,2968.75,2978.2811473802676,606913,47157,1807557546.0,116505.0,19.2,88.7,-16.25
2020-07-01,2830.0,2969.0,2806.3,2954.15,2911.6519270410854,537508,31682,1565036204.0,59077.0,10.99,162.7,124.15
2020-06-30,2905.0,2936.65,2813.7,2828.9,2868.201896386173,458240,27773,1314324837.0,42282.0,9.23,122.95,-76.1
2020-06-29,2760.0,2892.9,2760.0,2857.75,2816.862263697406,632346,52648,1781231585.0,108969.0,17.23,132.9,97.75
2020-06-26,3052.0,3060.3,2873.45,2904.3,2954.160892899769,519476,34731,1534615684.0,60669.0,11.68,186.85,-147.7
2020-06-25,2830.0,3046.0,2830.0,3004.45,2961.258311770608,757480,59544,2243093946.0,120416.0,15.9,216.0,174.45
2020-06-24,3144.0,3144.0,2911.0,2935.45,3009.0056447166326,1015640,86053,3056066493.0,157703.0,15.53,233.0,-208.55
2020-06-23,2900.0,3105.0,2833.25,3027.8,2937.830775218312,739998,61399,2173988898.0,135816.0,18.35,271.75,127.8
2020-06-22,2742.6,2860.0,2729.05,2841.85,2821.9588477679986,524686,38203,1480642300.0,49464.0,9.43,130.95,99.25
2020-06-19,2559.0,2715.0,2555.0,2697.8,2657.4561357004673,935590,71474,2486289386.0,200070.0,21.38,160.0,138.8
2020-06-18,2350.0,2540.0,2350.0,2527.55,2481.31368305363,738819,61077,1833241694.0,270200.0,36.57,190.0,177.55
2020-06-17,2340.0,2424.25,2325.0,2396.7,2389.94148097776,569097,38464,1360108527.0,103424.0,18.17,99.25,56.7
2020-06-16,2448.0,2452.0,2285.6,2365.75,2371.854793501337,467727,31375,1109380527.0,86690.0,18.53,166.4,-82.25
2020-06-15,2419.0,2428.4,2330.6,2350.35,2367.4641255118463,414431,31848,981150525.0,99347.0,23.97,97.8,-68.65
2020-06-12,2200.0,2468.8,2199.0,2448.95,2361.1198346884203,555315,41219,1311165261.0,81532.0,14.68,269.8,248.95
2020-06-11,2414.0,2458.75,2321.35,2337.15,2391.105962095608,368981,25536,882272669.0,69612.0,18.87,137.4,-76.85
2020-06-10,2448.7,2468.0,2401.5,2438.05,2424.491244060823,273186,20617,662337065.0,22736.0,8.32,66.5,-10.65
2020-06-09,2535.2,2535.2,2415.25,2443.55,2480.605788470325,380826,26778,944679180.0,46874.0,12.31,119.95,-91.65
2020-06-08,2496.85,2546.0,2474.7,2507.4,2512.902317213327,498573,36502,1252865247.0,70248.0,14.09,71.3,10.55
2020-06-05,2342.0,2409.3,2275.1,2392.9,2350.726323187239,567739,38347,1334599012.0,77089.0,13.58,134.2,50.9
2020-06-04,2413.1,2453.8,2278.3,2313.35,2336.9285223672605,653701,44578,1527652512.0,83200.0,12.73,175.5,-99.75
2020-06-03,2409.0,2496.65,2398.9,2413.1,2454.8479319483713,633519,43981,1555192807.0,90357.0,14.26,97.75,4.1
2020-06-02,2185.0,2374.9,2162.5,2346.7,2269.2385949740506,846447,54512,1920790201.0,152108.0,17.97,212.4,161.7
2020-06-01,1998.0,2195.0,1995.3,2160.05,2123.656801600002,785499,46574,1668130294.0,165673.0,21.09,199.7,162.05
2020-05-29,1919.9,1980.0,1891.2,1952.7,1943.993491626949,347245,24634,675042020.0,34641.0,9.98,88.8,32.8
2020-05-28,1957.95,1983.0,1924.0,1946.85,1955.4148466645586,395375,24007,773122145.0,39852.0,10.08,59.0,-11.1
2020-05-27,1830.0,1945.15,1783.1,1936.85,1873.505440742443,602767,38247,1129287254.0,65110.0,10.8,162.05,106.85
2020-05-26,1928.8,1935.0,1821.15,1829.9,1863.9333464318283,356275,29936,664072853.0,90167.0,25.31,113.85,-98.9
2020-05-22,1980.0,2005.15,1865.5,1895.95,1910.6250923181212,593058,50069,1133111496.0,147846.0,24.93,139.65,-84.05
2020-05-21,2059.7,2077.35,1975.0,1988.85,2027.9866664870453,296921,23657,602151829.0,53748.0,18.1,102.35,-70.85
2020-05-20,1969.0,2061.0,1935.45,2042.95,1996.4694485446598,716087,54242,1429645818.0,130614.0,18.24,125.55,73.95
