Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,453.3,453.3,430.7,433.6,438.5666355863343,1134694,20154,497638930.0,318836.0,28.1,22.6,-19.7
2020-10-29,448.8,456.95,445.1,450.8,450.4731454997074,483513,9308,217809622.0,102411.0,21.18,11.85,2.0
2020-10-28,446.4,487.8,443.2,451.45,458.85495005303926,3906544,52155,1792537052.0,1028165.0,26.32,44.6,5.05
2020-10-27,434.5,438.7,427.55,433.0,433.02756636947294,540949,12171,234245829.0,173770.0,32.12,11.15,-1.5
2020-10-26,435.6,439.4,428.05,434.05,433.79382697850633,318839,5179,138310390.0,62934.0,19.74,11.35,-1.55
2020-10-23,433.0,437.3,427.3,434.35,433.1517554465499,826257,19385,357894670.0,319341.0,38.65,10.0,1.35
2020-10-22,418.85,432.0,417.95,430.65,425.399116253934,2264904,21718,963488160.0,1445829.0,63.84,14.05,11.8
2020-10-21,405.9,420.5,404.0,419.05,413.0134159487093,497244,8244,205368443.0,80673.0,16.22,16.5,13.15
2020-10-20,397.3,413.2,397.0,404.85,407.5566343042071,615528,8957,250862520.0,97654.0,15.86,16.2,7.55
2020-10-19,404.55,404.55,394.05,397.25,397.94752652152545,384499,6144,153010426.0,84732.0,22.04,10.5,-7.3
2020-10-16,403.45,407.05,398.4,401.55,402.19731401565605,548030,12638,220416194.0,192343.0,35.1,8.65,-1.9
2020-10-15,413.35,415.4,395.1,399.15,405.69204347294766,2217563,37152,899647665.0,1125586.0,50.76,20.3,-14.2
2020-10-14,416.0,419.4,411.4,413.35,415.11719235527045,506859,12641,210405885.0,134850.0,26.6,8.0,-2.65
2020-10-13,420.0,427.35,413.25,415.35,420.56893366207566,1110089,23753,466868947.0,192253.0,17.32,14.1,-4.65
2020-10-12,431.15,431.15,412.05,415.25,420.7917260176657,275901,5940,116096858.0,86277.0,31.27,19.1,-15.9
2020-10-09,427.0,434.95,423.45,425.15,429.04942718246514,824870,18574,353910001.0,249597.0,30.26,11.5,-1.85
2020-10-08,426.0,435.25,419.25,424.5,428.33431071354227,792595,17856,339495633.0,220420.0,27.81,16.0,-1.5
2020-10-07,427.1,431.6,421.0,422.5,425.0986922754565,510658,12644,217080048.0,145396.0,28.47,10.6,-4.6
2020-10-06,428.0,429.5,423.25,426.75,426.42946457790873,351405,7174,149849446.0,155706.0,44.31,6.25,-1.25
2020-10-05,432.85,437.5,423.0,424.35,429.3916853850354,710532,15796,305096533.0,137144.0,19.3,14.5,-8.5
2020-10-01,427.9,434.45,424.15,432.35,430.1777735853802,397545,6260,171015023.0,69269.0,17.42,10.3,4.45
2020-09-30,438.1,440.3,418.25,420.9,432.69078176739356,1262639,10111,546332256.0,828200.0,65.59,22.05,-17.2
2020-09-29,446.0,446.0,429.6,435.45,435.835447801435,435807,8415,189940139.0,67511.0,15.49,16.4,-10.55
2020-09-28,446.0,447.6,434.0,443.4,441.82569402559756,722884,14698,319388725.0,146212.0,20.23,13.6,-2.6
2020-09-25,429.0,444.95,422.4,439.7,434.9927026104117,822897,12837,357954190.0,123320.0,14.99,22.55,10.7
2020-09-24,426.6,433.45,414.95,418.85,426.54678581833656,1417577,35036,604662913.0,309593.0,21.84,18.5,-7.75
2020-09-23,470.0,470.0,423.95,433.9,439.9775703890926,2554302,64922,1123835588.0,954884.0,37.38,46.05,-36.1
2020-09-22,467.6,478.35,460.6,471.05,470.21978757852486,772050,17936,363033187.0,214788.0,27.82,17.75,3.45
2020-09-21,496.4,496.4,461.35,467.85,476.6015069468172,1021403,28735,486802209.0,316740.0,31.01,35.05,-28.55
2020-09-18,483.0,497.85,475.6,496.7,492.2800752145805,1200831,9724,591145175.0,718925.0,59.87,22.25,13.7
2020-09-17,481.0,485.0,474.1,478.85,478.05332313096,296663,5307,141820733.0,50558.0,17.04,10.9,-2.15
2020-09-16,487.7,490.5,480.45,481.65,484.8032346732614,486046,12220,235636673.0,141442.0,29.1,10.05,-6.05
2020-09-15,474.65,487.5,470.05,485.7,479.82640021532865,1122006,23657,538368100.0,306392.0,27.31,17.45,11.05
2020-09-14,495.9,498.0,468.5,474.65,480.45687774201434,1882740,47194,904575382.0,680196.0,36.13,29.5,-21.25
