Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,346.1,359.45,343.9,354.3,353.6063808757486,359167,5822,127003743.0,51145.0,14.24,15.55,8.2
2020-10-29,345.5,347.2,338.4,341.75,342.630527475988,317550,6967,108802324.0,63562.0,20.02,8.8,-3.75
2020-10-28,348.3,349.5,342.6,345.55,347.83342095474785,481237,1506,167390312.0,410883.0,85.38,6.9,-2.75
2020-10-27,346.4,349.85,341.85,348.3,346.54597507141,154040,3080,53381942.0,55234.0,35.86,8.0,1.9
2020-10-26,351.0,353.6,342.7,346.4,347.93915449878017,109852,2189,38221812.0,24647.0,22.44,10.9,-4.6
2020-10-23,352.0,355.2,350.0,351.4,352.91093713186586,258907,5240,91371112.0,109770.0,42.4,5.2,-0.6
2020-10-22,350.0,350.6,344.05,349.6,347.35752932692134,275941,4803,95850184.0,72351.0,26.22,6.55,-0.4
2020-10-21,358.1,362.25,345.0,349.55,353.0843168768171,684430,14292,241661499.0,192898.0,28.18,17.25,-8.55
2020-10-20,346.0,349.65,341.4,343.35,345.55042198210344,169083,3954,58426702.0,52040.0,30.78,8.25,-2.65
2020-10-19,343.0,347.7,341.1,346.65,344.9108275650179,331986,5897,114505566.0,93759.0,28.24,6.6,3.65
2020-10-16,328.0,343.25,327.5,339.95,337.2018693660038,595603,9352,200838445.0,136041.0,22.84,15.75,11.95
2020-10-15,333.55,345.0,324.9,326.65,332.3677777299901,232510,5608,77278832.0,66281.0,28.51,20.1,-6.9
2020-10-14,339.9,339.9,328.65,332.95,331.9411894404385,167810,3159,55703051.0,39637.0,23.62,11.25,-6.95
2020-10-13,343.0,343.5,338.0,338.95,340.03454748426736,101223,2157,34419317.0,21583.0,21.32,5.5,-4.05
2020-10-12,348.3,349.7,340.55,341.4,344.4757010278416,140294,2733,48327874.0,46439.0,33.1,9.15,-6.9
2020-10-09,341.0,350.2,339.7,344.95,345.2308972458341,831032,11556,286897923.0,123990.0,14.92,10.5,3.95
2020-10-08,343.95,344.25,337.6,340.05,340.80092116057625,325459,7782,110916727.0,91068.0,27.98,6.65,-3.9
2020-10-07,352.5,353.75,341.05,342.4,346.3960650334613,248795,5309,86181609.0,75157.0,30.21,12.7,-10.1
2020-10-06,356.8,360.35,350.3,351.85,354.6349193860357,152517,3009,54087854.0,29282.0,19.2,10.05,-4.95
2020-10-05,355.8,358.45,351.0,354.0,355.0061967185283,164926,3307,58549752.0,34830.0,21.12,7.45,-1.8
2020-10-01,358.9,361.45,347.85,353.25,354.0653678427246,395332,6789,139973370.0,91285.0,23.09,13.6,-5.65
2020-09-30,386.3,394.4,349.0,353.0,369.1089300273228,1711025,20741,631554607.0,702736.0,41.07,45.4,-33.3
2020-09-29,393.0,393.15,378.4,386.2,383.9946341463415,260350,3381,99973003.0,24729.0,9.5,14.75,-6.8
2020-09-28,377.0,390.4,376.0,384.7,384.76335815265526,182922,3262,70381683.0,24345.0,13.31,14.4,7.7
2020-09-25,378.1,381.15,365.5,375.6,372.74073520140263,434602,7937,161993869.0,71733.0,16.51,15.65,-2.5
2020-09-24,379.65,385.85,375.55,377.25,381.0526699357633,96051,2250,36600490.0,22731.0,23.67,10.3,-2.4
2020-09-23,397.0,397.0,381.2,387.6,388.17254911732095,160534,3595,62314892.0,49550.0,30.87,15.8,-9.4
2020-09-22,404.0,404.0,382.05,392.35,391.334208532964,215189,4354,84210817.0,40556.0,18.85,21.95,-11.65
2020-09-21,412.1,415.55,399.25,401.25,407.6442109946609,202280,4732,82458271.0,57221.0,28.29,16.3,-10.85
2020-09-18,419.5,422.8,409.5,412.1,417.9454852813056,250226,3787,104580827.0,37992.0,15.18,13.3,-7.4
2020-09-17,413.0,419.0,412.2,415.5,415.68828904286914,131330,2220,54592343.0,19352.0,14.74,6.8,2.5
2020-09-16,414.2,420.45,411.5,413.0,414.70273942763487,96407,1815,39980247.0,21513.0,22.31,8.95,-1.2
2020-09-15,420.0,425.4,412.35,414.35,416.8258847970717,202165,3375,84267605.0,31533.0,15.6,13.05,-5.65
2020-09-14,427.65,429.25,414.25,417.0,421.0165419265419,144300,2548,60752687.0,26069.0,18.07,15.0,-10.65
2020-09-11,430.2,436.3,422.65,428.4,429.1580551297467,326829,5442,140261298.0,47174.0,14.43,13.65,-1.8
2020-09-10,407.0,433.5,405.85,430.25,423.86787655126625,622153,9591,263710671.0,124732.0,20.05,27.65,23.25
2020-09-09,407.3,409.0,398.85,405.85,403.77504347343495,216224,4895,87305855.0,45526.0,21.06,10.15,-1.45
2020-09-08,400.05,420.0,400.0,412.3,412.9777323768481,456672,7553,188595367.0,65907.0,14.43,20.0,12.25
2020-09-07,411.05,411.05,396.55,400.05,401.52343243001314,357496,7097,143543021.0,89074.0,24.92,14.5,-11.0
2020-09-04,406.0,410.95,400.55,403.4,406.8053740724313,266018,4793,108217552.0,62376.0,23.45,10.4,-2.6
2020-09-03,414.9,418.6,410.5,413.55,414.0046369052759,115810,1557,47945877.0,20350.0,17.57,8.1,-1.35
2020-09-02,410.0,415.2,406.3,413.9,411.9455834527716,274898,5051,113243017.0,91415.0,33.25,8.9,3.9
2020-09-01,407.0,411.85,400.8,407.6,405.5324116374128,166360,2616,67464372.0,28885.0,17.36,11.05,0.6
2020-08-31,419.8,426.2,403.4,407.65,415.5763339562077,502509,7572,208830848.0,86449.0,17.2,22.8,-12.15
2020-08-28,415.0,422.25,413.55,414.95,417.7037497005031,250420,3821,104601373.0,54547.0,21.78,8.7,-0.05
2020-08-27,414.0,418.05,409.65,412.7,414.331366555048,192023,3024,79561152.0,33841.0,17.62,8.4,-1.3
2020-08-26,416.4,416.4,409.05,410.05,411.4096720924745,148365,2397,61038796.0,40796.0,27.5,7.35,-6.35
2020-08-25,412.8,419.4,408.55,412.85,414.65832450224224,284978,4156,118168500.0,48365.0,16.97,10.85,0.05
2020-08-24,414.0,416.2,408.6,409.5,412.1281028770216,320227,3541,131974546.0,74523.0,23.27,7.6,-4.5
2020-08-21,417.6,419.0,408.35,409.9,413.8867320648087,461481,4442,191000863.0,71362.0,15.46,10.65,-7.7
2020-08-20,402.1,419.7,400.2,412.2,410.8893229684872,1231213,17608,505892276.0,392624.0,31.89,19.5,10.1
2020-08-19,406.45,410.75,397.8,403.8,404.98812154807746,495014,7604,200474790.0,79885.0,16.14,12.95,-2.65
2020-08-18,411.5,411.5,401.0,402.2,405.52965161860976,596932,8037,242073626.0,115206.0,19.3,10.5,-9.3
2020-08-17,417.9,418.0,403.3,407.85,408.25729479203613,417284,8192,170359237.0,81942.0,19.64,14.7,-10.05
2020-08-14,426.7,426.7,408.9,413.25,417.41988273692925,573241,9776,239282191.0,89929.0,15.69,17.8,-13.45
2020-08-13,421.95,426.4,416.9,421.2,421.9049117822356,244962,2922,103350671.0,35147.0,14.35,9.5,-0.75
2020-08-12,429.25,434.05,420.6,421.8,424.6374307894016,212034,3548,90037573.0,49384.0,23.29,13.45,-7.45
2020-08-11,417.2,432.9,417.0,429.25,426.1674780567159,335638,5205,143038000.0,68568.0,20.43,15.9,12.05
2020-08-10,422.8,424.2,413.75,415.05,418.0490324870189,321236,4183,134292399.0,43760.0,13.62,10.45,-7.75
2020-08-07,412.9,421.3,411.35,419.7,416.3552500044364,338114,5131,140775539.0,56911.0,16.83,9.95,6.8
2020-08-06,411.85,423.55,406.3,409.1,415.67492595045263,721814,10891,300039981.0,98397.0,13.63,17.25,-2.75
2020-08-05,411.0,414.9,405.25,410.55,410.6971860480973,718669,6609,295155336.0,50582.0,7.04,9.65,-0.45
2020-08-04,419.1,423.0,391.05,408.55,408.00877688092476,1520130,18696,620226382.0,105632.0,6.95,31.95,-10.55
2020-08-03,413.8,428.0,408.5,417.75,416.62244755651113,1032540,12764,430179342.0,107192.0,10.38,19.5,3.95
2020-07-31,420.35,428.0,410.85,413.8,418.0960711103817,682432,7789,285322138.0,63947.0,9.37,17.15,-6.55
2020-07-30,436.8,440.0,416.3,419.1,427.9707738062329,777727,13501,332844426.0,161454.0,20.76,23.7,-17.7
2020-07-29,469.0,469.0,447.05,453.7,455.5791562855277,413410,8122,188340979.0,79872.0,19.32,21.95,-15.3
2020-07-28,461.9,473.7,457.35,461.6,465.2597330387829,535958,9128,249359676.0,63623.0,11.87,16.35,-0.3
2020-07-27,455.0,466.5,444.2,457.5,458.2847312823534,617786,9549,283121891.0,77508.0,12.55,22.3,2.5
2020-07-24,453.0,463.5,445.5,448.3,451.13030333504327,785567,8540,354393079.0,81815.0,10.41,18.0,-4.7
2020-07-23,446.0,477.25,443.1,457.2,464.4403346029664,1268608,23014,589192724.0,167698.0,13.22,34.15,11.2
2020-07-22,465.0,465.95,447.6,450.25,457.2181268051162,450802,7024,206114846.0,53842.0,11.94,18.35,-14.75
2020-07-21,439.9,480.8,435.5,463.7,465.56916425607744,1750955,26226,815190656.0,172553.0,9.85,45.3,23.8
2020-07-20,442.9,448.05,435.05,437.1,441.4327558932284,820518,13218,362203522.0,144700.0,17.64,13.0,-5.8
2020-07-17,403.5,447.6,392.05,443.9,425.68782257134893,2142743,34677,912139602.0,351734.0,16.42,55.55,40.4
2020-07-16,373.0,396.0,360.4,394.05,382.08953674553334,850634,15069,325018351.0,257242.0,30.24,35.6,21.05
2020-07-15,380.95,382.15,368.3,369.65,374.68064620839476,200245,3119,75027926.0,32453.0,16.21,13.85,-11.3
2020-07-14,381.0,386.0,372.0,373.65,378.8040981475393,465381,4452,176288230.0,52235.0,11.22,14.0,-7.35
2020-07-13,376.75,384.15,375.7,379.95,380.68036389413993,169280,2703,64441572.0,19623.0,11.59,8.45,3.2
2020-07-10,375.65,380.45,370.3,376.35,374.1406194709664,319337,7533,119476943.0,111423.0,34.89,10.15,0.7
2020-07-09,382.0,382.0,373.25,376.65,377.6101014826544,111152,2126,41972118.0,22958.0,20.65,8.75,-5.35
2020-07-08,384.0,387.35,376.3,378.05,382.2103551775888,163918,2839,62651157.0,23935.0,14.6,11.05,-5.95
2020-07-07,393.5,393.5,377.75,379.7,380.48227925814166,210121,5207,79947317.0,62457.0,29.72,15.75,-13.8
2020-07-06,386.05,396.6,385.65,390.3,392.82362108881864,243181,3427,95527241.0,36918.0,15.18,10.95,4.25
2020-07-03,385.9,390.3,383.3,385.0,386.6576536505703,150634,2797,58243789.0,28791.0,19.11,7.0,-0.9
2020-07-02,381.85,391.2,378.7,383.6,386.1117097828118,198031,3189,76462088.0,17921.0,9.05,12.5,1.75
2020-07-01,376.5,383.25,374.45,379.85,379.81646436918214,225493,6119,85645954.0,42169.0,18.7,8.8,3.35
2020-06-30,385.5,388.9,372.3,374.15,380.0343599196405,193132,4007,73396796.0,32100.0,16.62,16.6,-11.35
2020-06-29,395.0,395.4,378.5,383.55,385.0396562875358,162345,4103,62509263.0,32028.0,19.73,16.9,-11.45
2020-06-26,377.0,397.0,373.0,393.3,388.71130176638604,560523,9619,217881625.0,73412.0,13.1,24.0,16.3
2020-06-25,378.6,384.25,367.4,369.95,373.91340540502677,285549,6340,106770599.0,44972.0,15.75,16.85,-8.65
2020-06-24,391.0,394.15,375.05,378.6,384.6826930837984,185839,4580,71489047.0,47959.0,25.81,19.1,-12.4
2020-06-23,382.2,392.9,382.2,392.0,388.73597416933853,265421,5195,103178691.0,106051.0,39.96,10.7,9.8
2020-06-22,380.0,389.1,380.0,385.3,385.10190277328473,340030,4747,130946200.0,25773.0,7.58,9.1,5.3
2020-06-19,372.65,384.55,372.15,380.35,378.9389251578482,223791,3422,84803121.0,48806.0,21.81,12.4,7.7
2020-06-18,365.0,376.25,359.75,370.15,366.8815866726062,536519,7302,196838942.0,82674.0,15.41,16.5,5.15
2020-06-17,355.0,366.4,355.0,364.75,363.02565367538233,160133,2937,58132387.0,30841.0,19.26,11.4,9.75
2020-06-16,366.5,372.15,356.6,359.6,364.79608926490266,463340,7377,169024620.0,64894.0,14.01,15.55,-6.9
