Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,3545.0,3548.1,3460.7,3474.65,3496.2052817533986,16699,3689,58383132.0,6163.0,36.91,87.4,-70.35
2020-10-29,3526.5,3556.0,3498.25,3533.95,3526.0111731843567,13962,2174,49230168.0,4093.0,29.32,57.75,7.45
2020-10-28,3574.0,3599.0,3525.15,3539.55,3569.7573121297164,32070,5289,114482117.0,12045.0,37.56,73.85,-34.45
2020-10-27,3484.1,3587.25,3484.0,3574.1,3554.7638377302137,40180,5268,142830411.0,9117.0,22.69,103.25,90.0
2020-10-26,3494.0,3505.05,3469.0,3484.1,3484.66895840495,11636,1789,40547608.0,3183.0,27.35,36.05,-9.9
2020-10-23,3470.0,3501.0,3441.75,3469.7,3470.6573152919773,36287,5864,125939742.0,12346.0,34.02,59.25,-0.3
2020-10-22,3410.0,3494.7,3410.0,3458.65,3458.893290538164,45488,6534,157338138.0,14879.0,32.71,84.7,48.65
2020-10-21,3565.15,3582.4,3374.8,3393.05,3465.239974523212,83213,11556,288353014.0,27062.0,32.52,207.6,-172.1
2020-10-20,3689.0,3689.0,3535.0,3551.5,3578.517991155669,138846,25588,496862909.0,58901.0,42.42,154.0,-137.5
2020-10-19,3762.2,3795.0,3744.2,3773.8,3774.752251711301,16654,2838,62864724.0,4362.0,26.19,50.8,11.6
2020-10-16,3736.0,3776.4,3730.0,3747.55,3747.493620071685,13950,1733,52277536.0,2099.0,15.05,46.4,11.55
2020-10-15,3790.0,3835.05,3714.9,3731.8,3789.72218430034,21975,3597,83279145.0,7095.0,32.29,120.15,-58.2
2020-10-14,3779.0,3801.15,3744.8,3791.05,3782.767488341105,12008,1541,45423472.0,1997.0,16.63,56.35,12.05
2020-10-13,3725.0,3784.85,3705.1,3744.7,3754.433411764706,8500,1047,31912684.0,1947.0,22.91,79.75,19.7
2020-10-12,3769.1,3769.1,3724.0,3730.9,3738.225293612145,6982,1082,26100289.0,1427.0,20.44,45.1,-38.2
2020-10-09,3829.9,3829.9,3735.0,3744.8,3762.3651335609557,9958,1664,37465632.0,3734.0,37.5,94.9,-85.1
2020-10-08,3819.9,3823.15,3770.25,3794.35,3793.9958424897545,16837,2561,63879508.0,4592.0,27.27,52.9,-25.55
2020-10-07,3787.0,3837.8,3769.0,3786.1,3798.304243983098,21772,4043,82696680.0,7017.0,32.23,68.8,-0.9
2020-10-06,3870.0,3880.0,3753.1,3768.0,3795.7142403858356,15758,2653,59812865.0,5330.0,33.82,126.9,-102.0
2020-10-05,3809.5,3856.95,3785.1,3828.45,3833.71908191918,24573,3546,94205979.0,15541.0,63.24,71.85,18.95
2020-10-01,3840.0,3840.0,3763.1,3809.65,3787.118036472645,8006,1221,30319667.0,1715.0,21.42,76.9,-30.35
2020-09-30,3732.0,3823.65,3725.0,3795.95,3800.6222828089303,13571,1413,51578245.0,2783.0,20.51,98.65,63.95
2020-09-29,3794.0,3795.55,3707.55,3731.8,3758.6395245170884,6730,1313,25295644.0,1519.0,22.57,88.0,-62.2
2020-09-28,3707.0,3776.55,3689.35,3734.1,3766.3403599706153,245020,2897,922828715.0,234097.0,95.54,87.2,27.1
2020-09-25,3621.0,3715.0,3615.0,3687.55,3670.9708855816375,23047,3969,84604866.0,8003.0,34.72,100.0,66.55
2020-09-24,3614.7,3652.3,3560.05,3612.85,3609.5497819314637,8025,1473,28966637.0,2175.0,27.1,92.25,-1.85
2020-09-23,3610.0,3654.1,3563.2,3624.45,3612.1818761965537,10969,1430,39622023.0,2503.0,22.82,90.9,14.45
2020-09-22,3636.5,3676.95,3541.3,3586.55,3585.4017684191335,43881,6527,157331015.0,7650.0,17.43,135.65,-49.95
2020-09-21,3797.7,3798.0,3612.7,3629.35,3701.121357850071,21210,2848,78500784.0,6206.0,29.26,185.3,-168.35
2020-09-18,3850.0,3850.0,3774.85,3797.05,3804.3509643829125,8451,1350,32150570.0,2236.0,26.46,75.15,-52.95
2020-09-17,3844.5,3890.0,3795.25,3813.2,3840.71780278808,109466,1855,420428015.0,98603.0,90.08,94.75,-31.3
