Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-October-2020,762.10,767.40,746.40,754.10,756.834821601643771887,77383,2108,58566149.00,12801,16.54,21.00,-8.00
29-October-2020,766.10,774.50,757.15,761.90,764.944836740945543660,127313,3357,97387422.00,28115,22.08,17.35,-4.20
28-October-2020,771.00,779.50,762.25,765.15,771.294899314668664592,217559,6678,167802147.00,77571,35.66,17.25,-5.85
27-October-2020,746.25,773.00,746.25,770.45,762.999607674769786515,135092,3479,103075143.00,25162,18.63,26.75,24.20
26-October-2020,759.35,763.95,742.50,745.05,751.354115865579434535,140663,3527,105687724.00,31508,22.40,21.45,-14.30
23-October-2020,764.00,774.40,755.10,756.85,765.338586631336011624,187184,4612,143259138.00,29015,15.50,19.30,-7.15
22-October-2020,767.00,767.00,744.15,757.35,755.422392024092328987,213844,7055,161542546.00,31262,14.62,22.85,-9.65
21-October-2020,782.80,782.80,756.70,767.55,765.644727918070219067,176932,4447,135467053.00,19850,11.22,26.10,-15.25
20-October-2020,763.85,774.30,756.45,764.05,766.497907683928652475,220330,6139,168882484.00,26913,12.21,17.85,0.20
19-October-2020,782.10,782.80,762.20,763.85,768.383339363745164073,107787,3047,82821735.00,20756,19.26,20.60,-18.25
16-October-2020,768.50,787.15,758.35,782.10,775.844806349206349206,315000,7601,244391114.00,77322,24.55,28.80,13.60
15-October-2020,776.00,787.80,762.95,768.45,776.721729007060237344,133140,3100,103412731.00,19270,14.47,24.85,-7.55
14-October-2020,789.00,794.00,766.80,781.40,780.321027041565803902,241665,6133,188576281.00,34508,14.28,27.20,-7.60
13-October-2020,810.00,829.00,778.75,788.25,809.358892933858782074,419451,10649,339486397.00,57533,13.72,50.25,-21.75
12-October-2020,806.00,819.30,800.30,814.70,809.203012211195195824,229134,5635,185415923.00,49991,21.82,19.00,8.70
9-October-2020,814.00,825.00,800.25,803.30,813.244425741608118657,327936,6435,266692124.00,26270,8.01,24.75,-10.70
8-October-2020,774.95,814.95,774.95,811.40,796.911341270264979623,561930,15845,447808390.00,195765,34.84,40.00,36.45
7-October-2020,778.20,790.20,771.30,773.65,778.414187124990137383,1356131,3775,1055631610.00,1203983,88.78,18.90,-4.55
6-October-2020,783.45,787.70,777.05,780.20,781.493689552238805970,167500,4504,130900193.00,38925,23.24,10.65,-3.25
5-October-2020,776.00,783.65,762.40,779.10,773.468530794399677907,176347,5116,136398855.00,45090,25.57,21.25,3.10
1-October-2020,771.00,781.20,765.75,773.10,772.877492320580843339,143240,3856,110706972.00,23809,16.62,15.45,2.10
30-September-2020,762.10,794.65,761.00,774.75,781.953699539244200573,400212,9427,312947254.00,37435,9.35,33.65,12.65
29-September-2020,776.05,786.00,759.65,762.25,769.307865109496722323,152242,3783,117120968.00,14056,9.23,26.35,-13.80
28-September-2020,772.00,778.00,755.75,774.65,768.141629703154564347,290151,7865,222877062.00,34034,11.73,22.25,2.65
25-September-2020,744.00,776.60,740.55,770.20,760.367064980005971173,425377,8883,323442661.00,25502,6.00,36.05,26.20
24-September-2020,765.80,766.25,729.65,732.80,749.984713083897999934,244392,5563,183290264.00,37226,15.23,36.60,-33.00
23-September-2020,785.00,785.00,762.05,766.90,768.854282357322858486,746423,6662,573890520.00,92636,12.41,22.95,-18.10
22-September-2020,779.90,787.65,755.05,778.20,774.281783081658119262,561769,11628,434967503.00,54767,9.75,32.60,-1.70
21-September-2020,806.85,811.40,762.10,767.70,787.646713482868628206,506235,13306,398734334.00,85575,16.90,49.30,-39.15
18-September-2020,776.25,819.00,775.95,806.85,798.803175359834277384,1481029,41364,1183050668.00,456860,30.85,43.05,30.60
17-September-2020,753.00,761.55,746.65,752.05,753.999160484748067896,451451,6993,340393675.00,186007,41.20,14.90,-0.95
16-September-2020,749.00,756.20,732.25,752.70,743.147571150749670646,191284,4143,142152240.00,20873,10.91,23.95,3.70
15-September-2020,720.00,753.25,720.00,742.30,745.226555584581064801,532099,12788,396534305.00,119316,22.42,33.25,22.30
14-September-2020,726.50,730.35,717.95,721.75,722.719108415995040297,103232,2341,74607739.00,18395,17.82,12.40,-4.75
11-September-2020,728.95,731.00,720.35,725.50,724.603003130221939796,84978,2445,61575314.00,16294,19.17,10.65,-3.45
10-September-2020,729.90,735.60,719.30,727.35,726.759309576679412870,140957,3847,102441812.00,28616,20.30,16.30,-2.55
9-September-2020,701.50,734.80,701.50,727.80,719.547097443183445715,349106,8148,251198209.00,71704,20.54,33.30,26.30
8-September-2020,721.90,726.55,704.55,708.35,715.625024428757924689,127923,2621,91544900.00,22231,17.38,22.00,-13.55
7-September-2020,725.75,733.80,707.15,716.65,715.216749065476908235,232204,5678,166076190.00,37777,16.27,26.65,-9.10
4-September-2020,729.00,750.00,717.05,724.70,736.483312712793228685,325727,7940,239892500.00,61166,18.78,32.95,-4.30
3-September-2020,740.00,745.85,735.00,738.60,739.561782604980584644,105329,1891,77897303.00,14543,13.81,10.85,-1.40
2-September-2020,730.25,748.35,729.70,737.90,739.155780691299165673,201360,5898,148836408.00,41666,20.69,18.65,7.65
1-September-2020,710.10,740.90,710.10,737.25,725.044242292714097973,165882,3915,120271789.00,20981,12.65,30.80,27.15
31-August-2020,750.10,755.35,706.30,712.10,729.909851466659005372,348070,11910,254059722.00,100688,28.93,49.05,-38.00
28-August-2020,760.00,771.00,747.10,748.80,758.702676117193892091,217554,4800,165058802.00,49147,22.59,23.90,-11.20
27-August-2020,749.65,763.70,749.65,756.05,756.223293588519842746,185433,3536,140228754.00,38089,20.54,14.05,6.40
26-August-2020,753.65,753.80,744.80,747.95,748.432629177824060299,100830,1890,75464462.00,32686,32.42,9.00,-5.70
25-August-2020,755.00,757.50,745.40,747.50,749.397738050703033188,264639,6348,198319868.00,151257,57.16,12.10,-7.50
24-August-2020,764.00,766.05,750.40,751.95,754.855602850679833629,205565,6357,155171892.00,46760,22.75,15.65,-12.05
21-August-2020,769.95,770.75,759.10,761.15,764.800627639861994097,160283,2949,122584539.00,30080,18.77,11.65,-8.80
20-August-2020,758.45,771.60,758.45,762.65,764.464104605958049228,361662,7237,276477617.00,85401,23.61,13.15,4.20
19-August-2020,773.00,773.00,757.00,758.45,763.058391398593460293,184993,3729,141160461.00,40853,22.08,16.00,-14.55
18-August-2020,776.70,779.80,763.10,764.65,769.567929600181092781,176705,3535,135986501.00,22945,12.98,16.70,-12.05
17-August-2020,779.95,780.40,765.45,771.45,772.213881472505376415,300386,6209,231962239.00,54795,18.24,14.95,-8.50
14-August-2020,762.00,787.55,753.30,771.80,774.431426632819312338,723641,15391,560410332.00,138065,19.08,34.25,9.80
13-August-2020,766.00,782.95,754.50,760.40,767.978210240304880200,566780,11271,435274690.00,70915,12.51,28.45,-5.60
12-August-2020,776.00,776.95,755.50,762.20,762.633572496172075480,328507,8347,250530467.00,68016,20.70,21.45,-13.80
11-August-2020,800.00,802.60,768.90,778.70,781.386254827568606767,587770,13029,459275399.00,106678,18.15,33.70,-21.30
10-August-2020,763.40,814.45,751.55,795.65,792.259956258994669166,1853181,33507,1468201098.00,167997,9.07,62.90,32.25
7-August-2020,739.00,739.60,724.75,728.60,730.713209042473890288,254886,6363,186248567.00,79596,31.23,14.85,-10.40
6-August-2020,728.45,739.20,719.90,731.70,732.392635458813077043,416455,11640,305008575.00,147668,35.46,19.30,3.25
