Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,4964.0,4975.0,4871.8,4887.95,4915.205281918341,43204,4947,212356529.0,7320.0,16.94,103.2,-76.05
2020-10-29,4935.0,5041.6,4892.8,4942.45,4974.677389033943,47875,5865,238162680.0,2679.0,5.6,148.8,7.45
2020-10-28,5114.45,5148.0,4921.5,4949.8,5067.926775675034,151548,12790,768034167.0,50147.0,33.09,226.5,-164.65
2020-10-27,4983.0,5125.15,4960.8,5100.3,5033.154702817493,80994,9023,407655332.0,27701.0,34.2,164.35,117.3
2020-10-26,5008.95,5060.1,4954.0,4980.15,5005.518231043598,54111,4928,270853597.0,12172.0,22.49,106.1,-28.8
2020-10-23,5045.0,5090.6,5000.0,5015.9,5035.912301531403,49693,6065,250249590.0,8654.0,17.41,90.6,-29.1
2020-10-22,5046.9,5046.9,4832.4,5023.6,4951.183469706578,129302,16078,640197925.0,10446.0,8.08,214.5,-23.3
2020-10-21,5088.0,5097.2,4910.35,5046.9,5036.475046404015,38251,3554,192650207.0,4347.0,11.36,186.85,-41.1
2020-10-20,5100.0,5113.35,5036.1,5069.35,5072.065305274293,52936,5283,268494849.0,25664.0,48.48,77.25,-30.65
2020-10-19,5202.0,5213.5,5040.4,5051.45,5085.308248550625,79517,7573,404368456.0,21650.0,27.23,173.1,-150.55
2020-10-16,5040.0,5123.75,5024.75,5082.35,5084.799760526186,60967,5584,310004987.0,23210.0,38.07,99.0,42.35
2020-10-15,5188.0,5188.0,5024.85,5055.1,5101.586838320894,73015,3832,372492363.0,39669.0,54.33,163.15,-132.9
2020-10-14,5185.0,5220.45,5091.9,5121.0,5135.191465712133,53080,6186,272575963.0,19794.0,37.29,128.55,-64.0
2020-10-13,5228.8,5321.05,5150.4,5167.2,5253.177126917714,69549,6683,365353216.0,6548.0,9.41,170.65,-61.6
2020-10-12,5159.95,5246.5,5111.65,5219.35,5193.411596235898,51327,4306,266562237.0,13953.0,27.18,134.85,59.4
2020-10-09,5146.0,5255.85,5135.2,5152.0,5191.576418011342,79883,7638,414718699.0,10542.0,13.2,120.65,6.0
2020-10-08,5185.0,5214.9,5065.35,5195.85,5140.633117833893,44393,4571,228208126.0,6086.0,13.71,149.55,10.85
2020-10-07,5158.0,5195.0,5092.55,5100.5,5130.628807725895,38934,3744,199755902.0,6314.0,16.22,102.45,-57.5
2020-10-06,5170.0,5226.75,5115.45,5134.7,5166.637199112275,35146,3562,181586631.0,4464.0,12.7,111.3,-35.3
2020-10-05,5155.0,5186.95,5102.3,5157.45,5140.330336724233,50724,5496,260738116.0,12463.0,24.57,84.65,2.45
2020-10-01,5215.0,5259.4,5092.95,5112.65,5151.267356779804,53711,5197,276679721.0,5325.0,9.91,166.45,-102.35
2020-09-30,5110.0,5315.45,5090.0,5187.05,5204.419658701549,179198,13644,932621594.0,46616.0,26.01,225.45,77.05
2020-09-29,5145.0,5152.9,5067.2,5083.5,5104.850376487732,28819,3333,147116683.0,2618.0,9.08,85.7,-61.5
2020-09-28,5200.0,5200.0,5090.7,5127.15,5138.92102275177,69577,7585,357550708.0,9851.0,14.16,109.3,-72.85
