Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,2136.0,2140.0,2054.7,2083.9,2090.1786143953536,48210,2257,100767511.0,24640.0,51.11,85.3,-52.1
2020-10-29,2139.0,2143.15,2100.0,2134.2,2122.160925697756,18667,2398,39614378.0,6536.0,35.01,43.15,-4.8
2020-10-28,2123.3,2146.1,2103.3,2138.25,2121.7766144342754,70582,1570,149759237.0,60185.0,85.27,42.8,14.95
2020-10-27,2109.0,2133.7,2080.0,2117.1,2111.9513562912803,24073,2999,50841005.0,5696.0,23.66,53.7,8.1
2020-10-26,2195.95,2213.45,2091.3,2109.2,2157.500127568249,66631,5904,143756391.0,29281.0,43.94,122.15,-86.75
2020-10-23,2160.0,2198.4,2157.5,2184.05,2182.193734984291,54110,4258,118078503.0,23071.0,42.64,40.9,24.05
2020-10-22,2181.0,2181.05,2140.0,2159.7,2152.8319145967066,14332,1585,30854387.0,3314.0,23.12,41.05,-21.3
2020-10-21,2225.0,2225.0,2144.6,2181.1,2190.645568647541,39040,2366,85522803.0,5638.0,14.44,80.4,-43.9
2020-10-20,2211.05,2235.5,2188.5,2194.15,2205.2136316249184,35491,2867,78265237.0,16663.0,46.95,47.0,-16.9
2020-10-19,2272.6,2272.65,2185.05,2197.0,2204.0010152023333,77817,6638,171508747.0,55264.0,71.02,87.6,-75.6
2020-10-16,2232.0,2285.0,2232.0,2269.7,2268.618498793376,24034,3290,54523977.0,12365.0,51.45,53.0,37.7
2020-10-15,2242.0,2302.6,2224.85,2249.7,2272.6754819402877,114952,12399,261248592.0,60363.0,52.51,77.75,7.7
2020-10-14,2196.3,2267.0,2190.35,2254.55,2235.819457654755,51517,5338,115182711.0,36221.0,70.31,76.65,58.25
2020-10-13,2193.0,2233.4,2180.35,2219.95,2214.0427173712383,27085,1928,59967347.0,6621.0,24.45,53.05,26.95
2020-10-12,2227.5,2232.15,2171.55,2180.5,2197.8091809908997,24725,2896,54340832.0,8837.0,35.74,60.6,-47.0
2020-10-09,2219.75,2234.0,2196.35,2218.95,2221.0247656849333,59962,5337,133177087.0,26318.0,43.89,37.65,-0.8
2020-10-08,2256.3,2256.3,2175.0,2209.4,2204.821107948325,31969,2392,70485926.0,5486.0,17.16,81.3,-46.9
