Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,84.5,85.05,82.75,84.75,84.19130970049207,529602,2783,44587886.0,131812.0,24.89,2.3,0.25
2020-10-29,82.0,83.8,82.0,83.45,82.89880143199899,369274,3126,30612372.0,90342.0,24.46,1.8,1.45
2020-10-28,85.0,85.0,82.9,83.1,83.87363972156707,452389,3498,37943512.0,127283.0,28.14,2.1,-1.9
2020-10-27,85.0,85.6,83.7,84.2,84.42943183138232,1127711,4113,95211999.0,804970.0,71.38,1.9,-0.8
2020-10-26,87.95,87.95,85.0,85.6,85.81197998628093,247830,1201,21266783.0,126269.0,50.95,2.95,-2.35
2020-10-23,88.85,89.5,87.0,87.25,87.58743171550341,1015970,2892,88986203.0,648329.0,63.81,2.5,-1.6
2020-10-22,86.0,89.1,86.0,88.75,87.68254150739871,1296034,3600,113639555.0,754319.0,58.2,3.1,2.75
2020-10-21,86.5,88.25,85.75,87.65,87.22297656474584,1753256,4226,152924207.0,1231021.0,70.21,2.5,1.15
2020-10-20,85.25,87.4,85.25,85.75,86.51645164488652,1079193,3156,93367949.0,805092.0,74.6,2.15,0.5
2020-10-19,84.05,87.75,84.0,87.4,86.36649346911821,1591439,5826,137447006.0,877973.0,55.17,3.75,3.35
2020-10-16,82.8,84.2,82.5,84.05,83.39929272368352,910818,3091,75961577.0,613468.0,67.35,1.7,1.25
2020-10-15,82.1,83.95,82.0,82.3,83.42958606260784,1673369,5184,139608483.0,1330333.0,79.5,1.95,0.2
2020-10-14,83.0,83.0,81.25,82.75,82.11673577233448,874265,4732,71791788.0,447475.0,51.18,1.75,-0.25
2020-10-13,84.0,84.0,82.15,83.2,83.4123196949804,1792934,2539,149552784.0,1529417.0,85.3,1.85,-0.8
2020-10-12,87.0,87.0,83.2,83.6,84.03672024386456,341501,1825,28698624.0,126424.0,37.02,3.8,-3.4
2020-10-09,84.95,86.4,83.35,85.35,84.70040510477679,788438,2342,66781018.0,376599.0,47.77,3.05,0.4
2020-10-08,87.0,87.3,83.9,84.1,84.70677058193334,424705,2213,35975389.0,136113.0,32.05,3.4,-2.9
