Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,768.35,793.5,766.0,778.7,780.2663653366582,38496,1272,30037134.0,4504.0,11.7,27.5,10.35
2020-10-29,770.0,777.0,766.0,769.75,771.764986376022,11744,830,9063608.0,2616.0,22.28,11.0,-0.25
2020-10-28,780.85,784.75,773.3,777.15,778.1567050339759,14422,467,11222576.0,4433.0,30.74,11.45,-3.7
2020-10-27,775.35,789.85,773.6,778.8,782.9621091354998,16310,718,12770112.0,3093.0,18.96,16.25,3.45
2020-10-26,784.85,789.7,768.0,779.45,778.2608567967402,27241,790,21200604.0,2824.0,10.37,21.7,-5.4
2020-10-23,791.3,804.0,782.05,784.95,795.0908090662363,27266,1001,21678946.0,5115.0,18.76,21.95,-6.35
2020-10-22,792.0,793.75,781.25,791.3,788.1307314737219,25059,1234,19749768.0,10507.0,41.93,12.5,-0.7
2020-10-21,781.0,794.0,772.0,792.1,784.3993917680385,24004,1196,18828723.0,7847.0,32.69,22.0,11.1
2020-10-20,775.0,780.05,765.0,776.75,773.6774154686369,49804,1433,38532230.0,20407.0,40.97,15.05,1.75
2020-10-19,774.0,782.0,761.9,773.3,773.7771595794645,27679,1207,21417378.0,5200.0,18.79,20.1,-0.7
2020-10-16,750.1,776.1,750.1,772.3,764.5615219721329,27990,1113,21400077.0,6997.0,25.0,26.0,22.2
2020-10-15,759.0,767.8,745.5,750.0,759.8260483638807,41684,1532,31672589.0,12251.0,29.39,22.3,-9.0
2020-10-14,745.85,767.95,733.75,764.35,755.3048017272007,36591,1159,27637358.0,10531.0,28.78,34.2,18.5
2020-10-13,760.0,762.8,738.0,748.9,753.7007922338764,35848,1026,27018666.0,3014.0,8.41,24.8,-11.1
2020-10-12,749.75,751.8,738.25,742.6,744.2456408168805,29478,938,21938873.0,3554.0,12.06,13.55,-7.15
2020-10-09,771.0,772.0,742.45,744.8,748.7395933073939,361354,2265,270560047.0,320340.0,88.65,29.55,-26.2
2020-10-08,762.0,774.2,759.0,770.5,767.4571443217933,58522,1766,44913127.0,20955.0,35.81,15.2,8.5
