Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,841.0,859.75,833.15,843.2,846.577083720386,145329,3575,123032201.0,15397.0,10.59,26.6,2.2
2020-10-29,824.0,842.0,819.0,839.85,831.0168389763865,415821,9046,345554253.0,227357.0,54.68,23.0,15.85
2020-10-28,852.0,852.0,821.7,829.6,840.2664796533523,698346,10936,586796735.0,523250.0,74.93,30.3,-22.4
2020-10-27,848.15,857.0,838.65,847.45,846.2773733932166,154968,5945,131145912.0,39165.0,25.27,18.35,-0.7
2020-10-26,854.1,860.35,842.2,848.15,853.4812833066158,276972,6635,236390418.0,124947.0,45.11,18.15,-5.95
2020-10-23,873.0,875.0,850.6,852.25,860.5761189727699,222034,6372,191077158.0,109363.0,49.26,24.4,-20.75
2020-10-22,864.7,878.05,852.2,867.1,867.2866453482894,180439,4591,156492335.0,32716.0,18.13,25.85,2.4
2020-10-21,883.4,891.95,859.5,870.7,875.1768953640109,442171,12815,386977843.0,165296.0,37.38,32.45,-12.7
2020-10-20,845.05,885.75,845.0,880.05,876.7229386267096,737324,16469,646428864.0,308465.0,41.84,40.75,35.0
2020-10-19,839.0,861.4,833.5,844.65,851.393852205488,657927,14331,560155003.0,353949.0,53.8,27.9,5.65
2020-10-16,865.0,877.0,821.0,827.1,836.2748677310851,723337,21298,604908554.0,99336.0,13.73,56.0,-37.9
2020-10-15,901.9,903.55,834.0,859.45,876.3329001341593,881042,11950,772086091.0,532482.0,60.44,69.55,-42.45
2020-10-14,903.9,910.75,881.35,890.1,892.3277956034254,636723,15965,568165631.0,205696.0,32.31,29.4,-13.8
2020-10-13,870.0,906.7,864.85,900.45,894.1027234167873,835311,20565,746853840.0,301056.0,36.04,41.85,30.45
2020-10-12,865.0,871.5,857.2,866.35,865.2196815899135,224616,7409,194342184.0,50277.0,22.38,14.3,1.35
2020-10-09,850.5,862.0,849.55,856.0,856.2231567752524,216265,6861,185171101.0,46850.0,21.66,12.45,5.5
2020-10-08,855.0,878.8,845.0,849.55,862.6788514575627,637434,15070,549900831.0,207407.0,32.54,33.8,-5.45
2020-10-07,830.15,832.25,823.5,827.75,826.196289761909,400729,9988,331080813.0,283120.0,70.65,8.75,-2.4
2020-10-06,832.0,834.7,823.45,828.7,828.2027346346025,162508,3867,134589570.0,25425.0,15.65,11.25,-3.3
2020-10-05,827.0,839.3,817.7,822.9,823.4788792314864,2066118,7924,1701404535.0,1772343.0,85.78,21.6,-4.1
2020-10-01,820.0,820.6,811.25,812.75,815.7627361949789,128178,4182,104562836.0,36468.0,28.45,9.35,-7.25
2020-09-30,816.2,820.0,807.2,811.6,812.1152995166495,597496,3811,485235643.0,456788.0,76.45,12.8,-4.6
2020-09-29,836.25,846.0,810.2,812.4,827.356557733381,264535,6498,218864767.0,89367.0,33.78,35.8,-23.85
2020-09-28,844.8,844.9,820.75,834.85,835.3852583361854,236649,5698,197693086.0,20759.0,8.77,24.15,-9.95
2020-09-25,795.2,835.8,793.0,827.5,821.5691065230039,498390,10700,409461827.0,37193.0,7.46,42.8,32.3
2020-09-24,806.9,811.0,783.35,788.05,798.0647588315688,360723,9772,287880314.0,53248.0,14.76,27.65,-18.85
2020-09-23,831.3,844.5,810.15,814.35,828.7147790880329,451990,12319,374570793.0,50228.0,11.11,34.35,-16.95
2020-09-22,813.5,831.0,791.0,821.8,815.2949209323452,493122,11939,402039862.0,46478.0,9.43,40.0,8.3
2020-09-21,822.6,849.7,794.05,802.3,829.6679286146111,712919,17520,591486030.0,72992.0,10.24,55.65,-20.3
2020-09-18,809.5,824.0,804.5,811.1,814.7937134969765,194162,4894,158201977.0,28402.0,14.63,19.5,1.6
2020-09-17,796.9,817.45,789.35,808.0,807.6103098189113,526372,11981,425103454.0,70087.0,13.32,28.1,11.1
2020-09-16,792.0,796.15,779.65,789.35,788.8096120877523,172075,4786,135734414.0,30370.0,17.65,16.5,-2.65
2020-09-15,787.0,809.85,783.0,792.4,795.2956784850022,293809,7177,233665028.0,35248.0,12.0,26.85,5.4
2020-09-14,739.0,807.8,739.0,794.9,786.1736832077672,908021,18465,713862214.0,114791.0,12.64,68.8,55.9
2020-09-11,721.7,733.9,710.5,721.05,723.4761188118813,138875,3712,100472746.0,25072.0,18.05,23.4,-0.65
2020-09-10,726.0,727.65,714.55,721.7,720.7088285569831,124607,3030,89805365.0,29825.0,23.94,13.1,-4.3
2020-09-09,715.0,730.5,710.3,722.5,721.5097233360065,149640,3669,107966715.0,25106.0,16.78,20.2,7.5
2020-09-08,705.0,738.8,703.55,725.05,726.5524780091189,396528,12812,288098401.0,139152.0,35.09,35.25,20.05
2020-09-07,695.0,712.2,689.4,709.05,702.5063708577998,131301,4081,92239789.0,36724.0,27.97,22.8,14.05
2020-09-04,691.0,704.35,691.0,701.0,698.9783434074723,237572,4544,166057683.0,120709.0,50.81,13.35,10.0
2020-09-03,702.1,716.0,698.0,708.85,709.4541242750788,398664,6572,282833819.0,261807.0,65.67,18.0,6.75
2020-09-02,690.4,704.8,689.45,702.0,700.8297230975728,533437,8568,373848505.0,372159.0,69.77,15.35,11.6
2020-09-01,694.5,704.0,682.8,690.45,694.425855318451,292698,7291,203257059.0,220913.0,75.47,21.2,-4.05
2020-08-31,706.5,724.65,687.0,693.3,707.499473727428,133961,3712,94777337.0,26215.0,19.57,37.65,-13.2
2020-08-28,711.1,716.6,703.65,705.8,710.0058819803653,236825,2736,168147143.0,22361.0,9.44,12.95,-5.3
2020-08-27,713.95,719.45,707.0,710.05,712.018589772883,109415,2032,77905514.0,20498.0,18.73,12.45,-3.9
2020-08-26,703.0,717.45,697.0,712.65,709.5520103475477,172408,4536,122332443.0,63906.0,37.07,20.45,9.65
2020-08-25,706.0,710.05,694.8,702.8,701.9972139648346,300068,5176,210646900.0,214676.0,71.54,15.25,-3.2
2020-08-24,706.35,709.95,695.7,705.85,703.1349700971593,150989,4847,106165646.0,75386.0,49.93,14.25,-0.5
2020-08-21,715.0,715.3,702.95,706.35,707.356460001651,242260,3765,171364176.0,164410.0,67.87,12.35,-8.65
2020-08-20,708.8,716.05,706.0,710.0,710.4931087806493,148087,2859,105214793.0,93484.0,63.13,10.05,1.2
2020-08-19,712.25,718.85,705.2,710.0,709.978531004562,295263,4740,209630391.0,179138.0,60.67,13.65,-2.25
2020-08-18,718.7,721.5,712.65,714.45,716.5647400091099,83426,2767,59780130.0,27577.0,33.06,8.85,-4.25
2020-08-17,709.05,720.5,709.05,719.0,715.6213078051416,64765,2242,46347214.0,12152.0,18.76,11.45,9.95
2020-08-14,727.2,727.9,707.3,709.05,715.3148811512668,128693,4435,92056018.0,31486.0,24.47,20.6,-18.15
2020-08-13,718.85,728.8,713.7,725.45,723.4039530961551,175508,4151,126963181.0,23296.0,13.27,15.1,6.6
