Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,1934.0,1947.0,1907.7,1922.75,1924.314625478946,50371,3562,96929652.0,8440.0,16.76,39.3,-11.25
2020-10-29,1937.1,1970.0,1927.85,1934.25,1948.1942074589488,90254,7592,175832320.0,22220.0,24.62,42.15,-2.85
2020-10-28,2041.25,2041.25,1965.0,1969.05,2032.3304918932604,845346,7498,1718022452.0,758910.0,89.78,76.25,-72.2
2020-10-27,2051.0,2063.85,2027.0,2039.15,2049.7213689066202,80210,6092,164408151.0,35047.0,43.69,36.85,-11.85
2020-10-26,2040.0,2083.65,2036.0,2073.5,2068.9463345759896,80741,5835,167048796.0,33527.0,41.52,47.65,33.5
2020-10-23,2056.0,2067.0,2046.3,2061.1,2056.020136407925,55422,4892,113948748.0,24206.0,43.68,20.7,5.1
2020-10-22,2033.25,2062.4,2023.0,2042.55,2042.7219158385215,109884,8829,224462455.0,33891.0,30.84,39.4,9.3
2020-10-21,2035.0,2066.6,2005.2,2048.1,2040.6600987933991,127134,9871,259437281.0,40527.0,31.88,61.4,13.1
2020-10-20,2023.5,2040.5,2005.0,2016.25,2022.4125722361016,79254,6992,160284286.0,24945.0,31.47,35.5,-7.25
2020-10-19,1978.0,2039.45,1978.0,2033.7,2020.690601143237,132431,8260,267602077.0,27015.0,20.4,61.45,55.7
2020-10-16,1948.5,1982.9,1940.0,1960.05,1958.7699290484143,57504,4257,112637106.0,11030.0,19.18,42.9,11.55
2020-10-15,1987.45,2020.0,1938.9,1947.1,1977.133851929385,827362,9252,1635805418.0,706014.0,85.33,81.1,-40.35
2020-10-14,1941.7,1988.85,1918.25,1978.75,1951.9514027200814,52719,4041,102904926.0,13010.0,24.68,70.6,37.05
2020-10-13,1957.55,1985.7,1930.95,1942.85,1955.2761780277526,75741,5888,148094573.0,19591.0,25.87,54.75,-14.7
2020-10-12,1970.0,1998.95,1943.0,1965.85,1968.6428323936125,63494,4805,124997008.0,10436.0,16.44,55.95,-4.15
2020-10-09,1938.0,2028.85,1938.0,1957.25,1992.1885001527041,206281,11669,410950636.0,22777.0,11.04,90.85,19.25
2020-10-08,1946.0,1988.0,1938.35,1948.3,1964.5561067245887,136276,12528,267721848.0,58289.0,42.77,49.65,2.3
2020-10-07,1941.4,1965.0,1908.25,1949.8,1941.8953935098843,214480,20126,416497724.0,87677.0,40.88,56.75,8.4
2020-10-06,1804.4,1943.0,1804.4,1934.45,1895.3287590005477,683014,52632,1294536077.0,321730.0,47.1,138.6,130.05
2020-10-05,1789.9,1816.0,1775.55,1785.35,1803.2795197271823,84452,6135,152290562.0,40159.0,47.55,40.45,-4.55
2020-10-01,1747.5,1799.0,1747.5,1789.9,1785.2332157233018,80492,4823,143696992.0,22417.0,27.85,51.5,42.4
2020-09-30,1715.0,1744.0,1702.85,1739.3,1713.49514762785,782813,6722,1341346277.0,739555.0,94.47,41.15,24.3
