Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,1184.0,1199.25,1176.55,1183.45,1186.5565617101784,202973,9169,240838945.0,41439.0,20.42,22.7,-0.55
2020-10-29,1202.0,1204.0,1178.8,1188.05,1190.5665778599393,220704,8436,262762806.0,40089.0,18.16,25.2,-13.95
2020-10-28,1230.0,1231.7,1201.35,1205.35,1207.6365764722195,735522,11497,888243270.0,559911.0,76.12,30.35,-24.65
2020-10-27,1221.1,1235.95,1198.0,1233.3,1216.9596165589721,352075,14887,428461057.0,104781.0,29.76,37.95,12.2
2020-10-26,1232.0,1242.1,1205.0,1213.0,1225.0985598189486,194420,7384,238183662.0,39128.0,20.13,37.1,-19.0
2020-10-23,1240.0,1248.0,1231.45,1235.7,1238.6618895605516,117784,4980,145894552.0,28220.0,23.96,16.55,-4.3
2020-10-22,1242.0,1250.0,1223.0,1232.95,1238.5385854658748,225318,10841,279065037.0,63170.0,28.04,27.0,-9.05
2020-10-21,1231.0,1250.5,1222.2,1247.05,1237.7360300022508,750877,22180,929387517.0,420274.0,55.97,28.3,16.05
2020-10-20,1212.0,1227.0,1205.35,1224.15,1218.1136571818458,479257,10377,583789497.0,280426.0,58.51,21.65,12.15
2020-10-19,1220.0,1228.8,1193.0,1203.35,1206.846478759923,820336,24011,990019613.0,140712.0,17.15,35.8,-16.65
2020-10-16,1182.0,1203.0,1172.95,1199.0,1192.0242359460412,401346,12293,478414159.0,212464.0,52.94,30.05,17.0
2020-10-15,1214.8,1216.45,1164.4,1169.15,1190.3696556883485,382299,11771,455077129.0,154798.0,40.49,52.05,-45.65
2020-10-14,1193.3,1214.8,1175.85,1210.85,1193.6646966131013,246863,8946,294671648.0,51586.0,20.9,38.95,17.55
2020-10-13,1214.15,1221.5,1195.1,1198.15,1206.6396665391512,201283,6118,242876052.0,43263.0,21.49,26.4,-16.0
2020-10-12,1235.0,1242.5,1206.0,1213.4,1230.2098268801103,2023511,21367,2489343117.0,1611203.0,79.62,36.5,-21.6
2020-10-09,1200.0,1236.95,1191.9,1233.7,1217.9941041422092,1151656,39316,1402710218.0,413708.0,35.92,45.05,33.7
2020-10-08,1175.55,1203.0,1165.0,1191.9,1187.5674551035934,665198,18023,789967496.0,303919.0,45.69,38.0,16.35
2020-10-07,1145.0,1164.75,1137.5,1162.0,1154.5727184679556,518314,23469,598431204.0,200515.0,38.69,27.25,17.0
2020-10-06,1131.7,1148.0,1126.3,1144.2,1137.8009768057746,254503,10191,289573762.0,76565.0,30.08,21.7,12.5
2020-10-05,1111.0,1131.45,1110.65,1114.15,1122.3020579285997,258318,10131,289910823.0,74079.0,28.68,20.8,3.15
2020-10-01,1085.0,1109.75,1085.0,1106.6,1099.9410454065678,512547,21758,563771483.0,222311.0,43.37,24.75,21.6
2020-09-30,1055.1,1086.55,1052.55,1079.2,1071.6687980091488,278072,8841,298001086.0,44523.0,16.01,34.0,24.1
2020-09-29,1058.9,1069.9,1051.0,1062.5,1060.1911617406236,125794,5262,133365687.0,17490.0,13.9,18.9,3.6
2020-09-28,1050.0,1059.0,1042.9,1054.05,1051.1008538140595,1177774,10690,1237959257.0,990011.0,84.06,16.1,4.05
2020-09-25,1053.0,1053.0,1026.25,1044.05,1037.581348478631,275377,8350,285726039.0,104896.0,38.09,26.75,-8.95
2020-09-24,1036.5,1045.05,1025.15,1029.95,1036.854187648356,308801,15549,320181610.0,102326.0,33.14,19.9,-6.55
2020-09-23,1040.0,1055.0,1034.65,1047.55,1046.1359204211565,361101,13609,377760727.0,93152.0,25.8,20.35,7.55
2020-09-22,1050.0,1058.0,1030.0,1036.0,1041.641460845605,249691,9685,260088498.0,62821.0,25.16,28.0,-14.0
2020-09-21,1052.0,1071.2,1041.15,1048.7,1058.2793730886233,495062,19510,523913903.0,123284.0,24.9,30.05,-3.3
2020-09-18,1090.0,1092.15,1047.3,1057.4,1067.4401632670863,275132,9568,293686947.0,79453.0,28.88,44.85,-32.6
2020-09-17,1088.0,1094.35,1077.85,1083.25,1089.3102647438304,612290,6304,666973782.0,381196.0,62.26,16.5,-4.75
2020-09-16,1069.75,1095.5,1069.75,1093.5,1083.6644324617423,531136,14730,575573192.0,151614.0,28.55,25.75,23.75
2020-09-15,1066.0,1076.0,1058.4,1070.9,1067.057973667603,207577,6126,221496693.0,30067.0,14.48,17.6,4.9
2020-09-14,1090.0,1093.9,1053.2,1057.9,1072.360515627887,276013,8861,295985443.0,62987.0,22.82,40.7,-32.1
2020-09-11,1094.0,1104.95,1071.1,1078.5,1085.278487782496,342173,15164,371352996.0,77989.0,22.79,33.85,-15.5
2020-09-10,1105.0,1105.0,1084.0,1090.65,1095.6472565843899,207916,6422,227802595.0,39279.0,18.89,21.0,-14.35
2020-09-09,1101.0,1111.05,1091.7,1095.7,1099.2097310756972,200800,5351,220721314.0,24553.0,12.23,19.35,-5.3
2020-09-08,1115.8,1119.0,1104.25,1112.05,1112.2839836765042,451864,6804,502601090.0,272674.0,60.34,14.75,-3.75
2020-09-07,1088.1,1119.95,1088.1,1109.3,1109.7733852307585,334506,11464,371225856.0,58722.0,17.55,31.85,21.2
2020-09-04,1106.0,1124.5,1104.55,1119.8,1113.5732333959643,244820,7648,272624999.0,43739.0,17.87,19.95,13.8
2020-09-03,1135.0,1145.75,1128.1,1130.7,1139.0595051789228,247928,9286,282404745.0,101813.0,41.07,17.65,-4.3
2020-09-02,1122.05,1138.55,1120.35,1134.2,1131.9005128892388,358167,10477,405409411.0,191164.0,53.37,18.2,12.15
2020-09-01,1122.0,1143.55,1109.05,1127.35,1127.2534886666451,402661,13490,453901017.0,134599.0,33.43,34.5,5.35
2020-08-31,1125.2,1148.0,1100.75,1115.2,1125.5704822157395,1154504,36458,1299475624.0,410274.0,35.54,47.25,-10.0
2020-08-28,1111.95,1124.95,1095.05,1115.0,1111.9102571586081,462555,12375,514319649.0,101623.0,21.97,29.9,3.05
2020-08-27,1128.0,1129.65,1106.1,1111.95,1117.64687239695,202887,6077,226756021.0,48714.0,24.01,23.55,-16.05
2020-08-26,1120.05,1131.5,1109.6,1117.7,1118.5866538090647,414800,12041,463989744.0,112368.0,27.09,21.9,-2.35
2020-08-25,1120.0,1127.5,1107.0,1119.85,1117.3173735836917,323376,8782,361313623.0,53240.0,16.46,20.5,-0.15
2020-08-24,1086.0,1122.55,1086.0,1116.8,1111.5369770401742,854057,34063,949315936.0,406516.0,47.6,36.55,30.8
2020-08-21,1060.25,1088.25,1060.25,1085.7,1082.6152388851494,441279,10649,477735370.0,144227.0,32.68,28.0,25.45
2020-08-20,1054.0,1067.35,1052.35,1058.6,1059.550296930326,502138,14935,532040467.0,207045.0,41.23,15.0,4.6
2020-08-19,1062.6,1069.7,1056.4,1067.4,1065.001270791952,361979,8393,385508095.0,124314.0,34.34,13.3,4.8
2020-08-18,1028.1,1061.0,1021.45,1056.45,1042.4542792842976,897580,20676,935686112.0,294092.0,32.76,39.55,28.35
2020-08-17,1045.05,1050.0,1020.5,1033.55,1031.6027903780323,535483,20288,552405757.0,161179.0,30.1,29.5,-11.5
2020-08-14,1068.0,1068.0,1027.6,1034.45,1049.0293748937615,564768,15356,592458222.0,332636.0,58.9,40.4,-33.55
2020-08-13,1065.35,1071.0,1056.55,1058.95,1065.110551708692,428632,12152,456540466.0,164636.0,38.41,14.45,-6.4
2020-08-12,1064.0,1066.0,1048.4,1063.75,1057.0509663097414,382900,14584,404744815.0,86906.0,22.7,17.6,-0.25
2020-08-11,1051.0,1071.0,1049.0,1067.6,1063.4473974517139,781388,18689,830965035.0,352144.0,45.07,22.0,16.6
2020-08-10,1041.7,1064.1,1041.7,1051.0,1056.4483322559518,697679,21507,737061816.0,285356.0,40.9,22.4,9.3
2020-08-07,1036.0,1047.0,1022.5,1044.0,1034.7157372097097,599185,13422,619986149.0,263104.0,43.91,24.5,8.0
2020-08-06,1040.0,1054.6,1026.65,1040.55,1041.6618327810738,851351,26921,886819843.0,227325.0,26.7,27.95,0.55
2020-08-05,1050.8,1055.6,1020.0,1027.85,1035.1031611430083,483496,14664,500468238.0,124324.0,25.71,35.6,-22.95
2020-08-04,1005.9,1059.9,1003.1,1041.4,1040.7911064760253,1061469,30293,1104767495.0,285904.0,26.93,56.8,35.5
2020-08-03,1030.0,1030.0,994.0,1001.95,1008.1769457448589,669872,19899,675349507.0,331729.0,49.52,36.0,-28.05
2020-07-31,1053.55,1056.25,1020.6,1032.65,1031.5838525228255,804138,23169,829535776.0,379115.0,47.15,35.65,-20.9
2020-07-30,1071.2,1083.35,1047.0,1050.45,1062.4381157978144,907461,28383,964121155.0,492700.0,54.29,36.35,-20.75
2020-07-29,1083.8,1088.4,1056.0,1065.2,1070.7801551483517,662076,16036,708937842.0,405063.0,61.18,32.4,-18.6
2020-07-28,1079.05,1094.25,1059.3,1086.25,1081.6993194098675,440647,13984,476647560.0,81868.0,18.58,34.95,7.2
2020-07-27,1097.85,1101.4,1075.8,1079.05,1085.1945788078147,721096,22843,782529470.0,342053.0,47.44,25.6,-18.8
2020-07-24,1121.0,1122.25,1101.45,1118.8,1113.1797709357672,687842,19494,765691800.0,350555.0,50.96,20.8,-2.2
2020-07-23,1125.0,1143.3,1116.45,1130.7,1132.8179841307458,455724,19074,516252343.0,153834.0,33.76,26.85,5.7
2020-07-22,1140.0,1141.55,1118.0,1126.4,1124.7638810006758,665550,20810,748586601.0,360371.0,54.15,23.55,-13.6
2020-07-21,1150.0,1157.85,1135.0,1139.6,1142.5207039041786,840228,18745,959977886.0,383391.0,45.63,22.85,-10.4
2020-07-20,1142.0,1152.65,1124.65,1132.8,1137.7301973997437,2047875,57166,2329929228.0,643259.0,31.41,28.0,-9.2
2020-07-17,1061.45,1103.85,1059.0,1099.15,1076.6982732144966,1025663,15563,1104329581.0,705279.0,68.76,44.85,37.7
2020-07-16,1052.7,1065.55,1034.4,1062.35,1049.1001416302167,319847,10795,335551533.0,43771.0,13.68,31.15,9.65
2020-07-15,1066.15,1078.95,1050.35,1052.7,1067.3521603746362,696569,16968,743484427.0,337502.0,48.45,28.6,-13.45
2020-07-14,1064.0,1069.95,1050.0,1059.2,1056.9628946219186,670927,26764,709144944.0,237631.0,35.42,19.95,-4.8
2020-07-13,1109.0,1114.05,1071.2,1080.4,1084.425522637153,637536,23816,691360310.0,267171.0,41.91,42.85,-28.6
2020-07-10,1122.0,1122.0,1100.0,1105.35,1108.5439390605895,277259,12853,307353784.0,65664.0,23.68,22.0,-16.65
2020-07-09,1115.05,1130.0,1107.15,1125.7,1121.6456297057487,253015,7937,283793169.0,48294.0,19.09,22.85,10.65
2020-07-08,1105.0,1124.35,1105.0,1109.35,1115.9589394157604,333288,11527,371935723.0,62533.0,18.76,19.35,4.35
2020-07-07,1106.05,1111.75,1093.15,1105.0,1101.974947826632,334941,12241,369096591.0,105636.0,31.54,18.6,-1.05
2020-07-06,1106.1,1118.85,1100.0,1102.95,1108.7500120582304,912240,33421,1011446111.0,275197.0,30.17,18.85,-3.15
2020-07-03,1090.7,1100.0,1069.8,1074.2,1078.9709807579761,454526,18015,490420364.0,83051.0,18.27,30.2,-16.5
2020-07-02,1091.0,1110.75,1085.5,1089.7,1098.6055540875427,560092,23138,615320182.0,163018.0,29.11,25.25,-1.3
2020-07-01,1065.7,1095.9,1061.55,1085.65,1076.6742448038071,907347,15132,976917146.0,102937.0,11.34,34.35,19.95
2020-06-30,1077.9,1078.75,1056.3,1065.7,1067.8671814334746,435278,18285,464819091.0,99127.0,22.77,22.45,-12.2
2020-06-29,1033.0,1082.0,1033.0,1076.4,1053.8143936302067,1727403,20228,1820362145.0,1167441.0,67.58,49.0,43.4
2020-06-26,1040.0,1062.5,1027.65,1055.6,1043.1358762866032,601584,25129,627533853.0,228826.0,38.04,34.85,15.6
2020-06-25,1015.0,1049.0,1007.25,1028.95,1026.0152782938246,807420,23987,828425256.0,198738.0,24.61,41.75,13.95
2020-06-24,1045.85,1057.65,1029.7,1032.4,1044.9024756504896,570032,20409,595627848.0,152791.0,26.8,27.95,-13.45
2020-06-23,1035.0,1045.0,1016.35,1040.85,1030.9227401518554,621513,16907,640731885.0,238616.0,38.39,28.65,5.85
2020-06-22,1023.0,1045.2,1023.0,1028.5,1037.8862247290504,763426,28199,792349329.0,282116.0,36.95,22.2,5.5
2020-06-19,1022.0,1042.7,1013.15,1033.65,1030.0572535616345,717999,21235,739580078.0,99405.0,13.84,29.55,11.65
