Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,2923.0,2927.35,2786.55,2799.8,2833.4384588563457,80304,7591,227536442.0,19209.0,23.92,140.8,-123.2
2020-10-29,2939.0,2960.1,2886.6,2893.2,2917.45490204577,46144,5497,134623039.0,11756.0,25.48,73.5,-45.8
2020-10-28,2987.0,3034.5,2930.0,2945.8,2968.9460622842166,201881,17426,599373800.0,73406.0,36.36,104.5,-41.2
2020-10-27,2915.1,2975.9,2854.0,2912.7,2922.8646741197044,65745,9022,192163738.0,12687.0,19.3,121.9,-2.4
2020-10-26,3143.9,3143.9,2876.95,2897.8,2945.492982805385,80374,9211,236741053.0,24807.0,30.86,266.95,-246.1
2020-10-23,3100.0,3151.6,3091.0,3109.1,3118.2768097576427,25252,2743,78742726.0,3186.0,12.62,60.6,9.1
2020-10-22,3180.65,3180.65,3062.55,3081.25,3121.486200410132,129714,6585,404900461.0,98407.0,75.86,118.1,-99.4
2020-10-21,3247.65,3277.7,3132.0,3180.65,3186.8586235038083,36760,5411,117148923.0,8497.0,23.11,145.7,-67.0
2020-10-20,3235.0,3290.0,3231.1,3242.35,3261.0644471594373,13096,1776,42706900.0,2032.0,15.52,58.9,7.35
2020-10-19,3351.0,3352.95,3230.7,3247.8,3270.4980086580094,28875,4366,94435630.0,6455.0,22.35,122.25,-103.2
2020-10-16,3319.0,3393.85,3315.0,3346.5,3360.0920398874255,28781,2971,96706809.0,6728.0,23.38,78.85,27.5
2020-10-15,3315.0,3380.0,3290.0,3311.35,3352.6739558228483,45227,3638,151631385.0,6478.0,14.32,90.0,-3.65
2020-10-14,3282.0,3331.45,3270.5,3310.1,3302.3137284321074,26660,2658,88039684.0,8389.0,31.47,60.95,28.1
2020-10-13,3285.0,3300.5,3258.1,3288.3,3285.61869297164,20275,1515,66615919.0,4105.0,20.25,42.4,3.3
2020-10-12,3345.0,3355.0,3275.25,3283.2,3295.1588918855928,30033,3061,98963507.0,6257.0,20.83,79.75,-61.8
2020-10-09,3300.0,3336.7,3270.0,3330.35,3301.310442425145,26852,2452,88646788.0,4761.0,17.73,66.7,30.35
2020-10-08,3240.0,3292.0,3239.0,3278.05,3264.64053524363,29594,3037,96613772.0,10397.0,35.13,53.0,38.05
2020-10-07,3138.7,3249.75,3138.7,3232.7,3211.6786962226365,72405,7788,232541596.0,24153.0,33.36,111.05,94.0
2020-10-06,3150.0,3177.7,3117.35,3138.7,3138.973555459218,32294,2338,101370012.0,12411.0,38.43,60.35,-11.3
2020-10-05,3215.0,3230.0,3095.0,3128.7,3146.610464312381,36161,3731,113784581.0,7431.0,20.55,135.0,-86.3
2020-10-01,3190.0,3197.5,3114.35,3151.7,3163.8059778788893,27033,2806,85527167.0,3373.0,12.48,83.15,-38.3
2020-09-30,3208.0,3208.0,3135.0,3145.85,3162.3346724743096,23647,2877,74779728.0,5936.0,25.1,73.0,-62.15
2020-09-29,3113.7,3221.6,3103.1,3175.85,3185.9732841413174,69659,7012,221931713.0,9110.0,13.08,118.5,62.15
2020-09-28,3054.0,3095.0,2999.3,3088.6,3055.3708974533565,44058,3902,134613531.0,18214.0,41.34,95.7,34.6
2020-09-25,2926.0,3015.0,2926.0,3000.45,2970.465528436652,26181,2582,77769758.0,5468.0,20.89,89.0,74.45
