Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,592.0,601.95,576.55,585.6,589.5102295941293,745533,18388,439499330.0,91949.0,12.33,25.4,-6.4
2020-10-29,580.0,599.85,571.1,588.7,571.5610583755588,3818002,14965,2182221264.0,3310139.0,86.7,28.75,8.7
2020-10-28,617.0,617.0,586.1,592.75,588.2807501221002,3632262,14610,2136789814.0,3251753.0,89.52,30.9,-24.25
2020-10-27,617.4,623.0,595.0,613.95,609.1566407867355,369527,11000,225099826.0,56616.0,15.32,28.0,-3.45
2020-10-26,615.25,633.0,613.7,616.3,621.2937528308505,567409,12729,352527667.0,85336.0,15.04,19.3,1.05
2020-10-23,615.0,617.6,604.5,607.45,610.7093473735565,729713,15025,445642550.0,280527.0,38.44,13.1,-7.55
2020-10-22,622.4,630.85,605.9,608.8,616.4891455431924,702891,18904,433324672.0,178425.0,25.38,24.95,-13.6
2020-10-21,632.0,647.8,600.0,628.3,630.8233488157899,859898,19503,542443736.0,104670.0,12.17,47.8,-3.7
2020-10-20,622.2,628.35,616.85,625.15,626.031181404305,1458273,5675,912924369.0,1214853.0,83.31,11.5,2.95
2020-10-19,609.0,630.2,607.0,626.85,623.3004886394011,467625,9825,291470891.0,85525.0,18.29,23.2,17.85
2020-10-16,604.9,613.6,601.2,608.05,607.9862417622435,538223,11552,327232179.0,109481.0,20.34,12.4,3.15
2020-10-15,622.75,632.0,593.5,598.2,615.613451120947,819441,19385,504458902.0,191354.0,23.35,38.5,-24.55
2020-10-14,600.0,626.0,597.15,622.75,612.9222699954379,681693,16248,417824821.0,189451.0,27.79,28.85,22.75
2020-10-13,611.95,620.6,604.45,608.5,611.5293298824847,428880,7564,262272699.0,39776.0,9.27,16.15,-3.45
2020-10-12,629.4,631.45,610.55,613.9,619.3283224675192,428868,7962,265610099.0,54804.0,12.78,20.9,-15.5
2020-10-09,618.0,633.0,615.1,622.9,623.9311728026686,620002,11048,386838575.0,57032.0,9.2,17.9,4.9
2020-10-08,620.9,638.2,614.2,617.35,627.1850625635226,1280059,28463,802833884.0,322706.0,25.21,24.0,-3.55
2020-10-07,622.45,625.5,606.05,619.8,616.1876074752063,562339,10819,346506323.0,63235.0,11.24,19.45,-2.65
2020-10-06,614.2,627.8,606.05,622.45,617.6792438585712,1351070,30711,834527896.0,449610.0,33.28,21.75,8.25
2020-10-05,594.0,630.7,592.1,601.75,611.8066036242893,1390176,28435,850518857.0,212868.0,15.31,38.6,7.75
2020-10-01,533.0,597.65,533.0,592.1,574.0806619278655,2029768,33172,1165250557.0,399273.0,19.67,64.65,59.1
2020-09-30,535.1,539.6,520.5,526.75,529.6036372823839,835129,19491,442287356.0,154527.0,18.5,19.1,-8.35
2020-09-29,560.9,561.5,528.65,536.25,537.9608806372256,786158,17164,422922250.0,72652.0,9.24,32.85,-24.65
2020-09-28,523.95,563.1,516.1,554.95,546.516814618798,839686,22050,458902518.0,129335.0,15.4,47.0,31.0
2020-09-25,499.9,520.8,491.3,514.55,507.69768422715435,633050,14234,321398019.0,135781.0,21.45,29.5,14.65
2020-09-24,518.7,519.95,485.0,490.2,503.3262272191788,494879,12564,249085580.0,130731.0,26.42,34.95,-28.5
2020-09-23,545.0,553.6,519.25,527.65,532.1726596733502,903720,20851,480935076.0,164747.0,18.23,34.35,-17.35
2020-09-22,565.0,577.95,536.85,544.55,552.5883033255019,854277,19448,472063478.0,206968.0,24.23,41.1,-20.45
2020-09-21,609.0,617.2,554.3,560.2,582.273244660178,967448,30314,563319086.0,342249.0,35.38,62.9,-48.8
2020-09-18,622.1,624.0,600.0,613.35,615.3779470944895,745480,17269,458751952.0,318171.0,42.68,24.0,-8.75
2020-09-17,612.7,624.65,610.85,617.4,618.2704068204666,463546,10447,286596774.0,115804.0,24.98,13.8,4.7
2020-09-16,642.1,642.1,614.0,622.1,625.7542732534424,1005206,15294,629011950.0,169347.0,16.85,28.1,-20.0
