Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,183.0,186.9,179.25,185.55,182.90326911038463,143770,2576,26296003.0,26851.0,18.68,7.65,2.55
2020-10-29,189.85,189.85,180.35,184.05,183.97510761491583,296195,3866,54492507.0,74254.0,25.07,9.5,-5.8
2020-10-28,191.8,194.35,183.75,186.0,187.9894977304417,438191,4699,82375306.0,96990.0,22.13,10.6,-5.8
2020-10-27,189.0,195.4,188.0,188.65,191.667983713338,190831,2317,36576193.0,31398.0,16.45,7.4,-0.35
2020-10-26,194.9,194.9,185.7,188.3,188.54479841297626,171390,2552,32314693.0,41461.0,24.19,9.2,-6.6
2020-10-23,198.7,205.65,189.4,192.2,198.4021221540712,660461,9824,131036864.0,154600.0,23.41,16.25,-6.5
2020-10-22,192.8,196.6,190.8,196.05,193.24127691567102,184883,2222,35727027.0,58300.0,31.53,5.8,3.25
2020-10-21,190.35,193.5,188.4,192.5,190.951041700418,216041,3532,41253254.0,91446.0,42.33,5.1,2.15
2020-10-20,181.2,190.85,181.2,190.05,188.04262798505,499531,7266,93933122.0,209217.0,41.88,9.65,8.85
2020-10-19,184.0,184.55,179.25,181.1,180.58472280053826,165711,2185,29924875.0,51295.0,30.95,5.3,-2.9
2020-10-16,182.15,184.0,178.2,182.55,181.88852670892445,210454,2684,38279168.0,57646.0,27.39,5.8,0.4
2020-10-15,189.9,195.0,177.55,180.7,186.45924799877938,353909,4290,65989606.0,58403.0,16.5,17.45,-9.2
2020-10-14,181.95,191.9,181.8,189.45,187.26771268260194,463919,6375,86877050.0,159478.0,34.38,10.1,7.5
2020-10-13,188.75,188.75,180.0,182.05,182.32832984299523,247827,2998,45185883.0,53345.0,21.52,8.75,-6.7
2020-10-12,187.95,192.9,186.2,188.75,190.8809749762749,300315,3641,57324420.0,33601.0,11.19,6.7,0.8
2020-10-09,191.9,192.8,184.95,186.3,187.38233763041265,276622,3629,51834077.0,51377.0,18.57,7.85,-5.6
2020-10-08,187.8,191.65,184.7,191.05,189.27179189227053,242682,2568,45932857.0,38532.0,15.88,6.95,3.25
2020-10-07,182.05,188.2,181.75,185.1,186.00583559832515,340325,3396,63302436.0,35834.0,10.53,6.45,3.05
2020-10-06,181.0,183.15,179.55,181.7,181.61722835435162,347079,3576,63035526.0,86403.0,24.89,3.6,0.7
2020-10-05,181.5,182.8,176.8,178.55,179.12286082542016,190085,2732,34048569.0,34840.0,18.33,6.0,-2.95
2020-10-01,178.85,182.2,176.95,178.65,179.42157718952473,338932,3117,60811714.0,68250.0,20.14,5.25,-0.2
2020-09-30,179.2,179.65,173.65,175.25,177.7166045055025,521762,3776,92725771.0,98777.0,18.93,6.0,-3.95
2020-09-29,182.0,185.8,177.3,178.65,180.06706096986815,509760,4798,91790985.0,170624.0,33.47,8.5,-3.35
2020-09-28,183.0,187.45,181.3,185.8,185.391442550548,441066,5010,81769862.0,95996.0,21.76,6.15,2.8
2020-09-25,174.85,184.75,171.05,182.9,178.86371785250105,640913,7858,114636082.0,57576.0,8.98,13.7,8.05
2020-09-24,161.3,175.5,161.3,168.6,170.54759470885296,1276623,16472,217724982.0,221604.0,17.36,14.2,7.3
2020-09-23,180.4,182.35,162.6,167.05,169.45161290322577,649016,8117,109976808.0,221251.0,34.09,19.75,-13.35
2020-09-22,188.7,192.6,179.5,180.3,182.54528243490626,303716,3517,55441923.0,60293.0,19.85,13.1,-8.4
2020-09-21,199.2,199.2,186.85,188.4,192.68559622553826,197962,2497,38144426.0,50682.0,25.6,12.35,-10.8
2020-09-18,198.5,200.55,195.35,199.2,197.3574385162671,219123,2083,43245554.0,58862.0,26.86,5.2,0.7
2020-09-17,200.75,200.75,195.6,196.3,197.82067783455142,154610,1633,30585055.0,26974.0,17.45,5.15,-4.45
2020-09-16,203.9,204.4,199.05,200.05,200.7871557000765,146384,1464,29392027.0,25640.0,17.52,5.35,-3.85
2020-09-15,203.15,203.85,200.35,202.25,202.1344629590876,152912,1480,30908785.0,18103.0,11.84,3.5,-0.9
2020-09-14,204.0,205.75,199.35,202.5,202.21391661840025,528318,5625,106833252.0,109096.0,20.65,6.4,-1.5
2020-09-11,202.0,208.55,200.75,201.85,205.00561358303037,565058,6017,115840062.0,63775.0,11.29,7.8,-0.15
2020-09-10,214.0,214.0,198.05,199.85,204.2872358474224,559951,7752,114390842.0,115595.0,20.64,15.95,-14.15
2020-09-09,212.75,213.25,205.85,210.55,209.3271617607068,389798,4073,81595309.0,21866.0,5.61,7.4,-2.2
2020-09-08,228.8,228.8,211.3,212.75,218.54868607013518,905680,11024,197935174.0,153419.0,16.94,17.5,-16.05
2020-09-07,218.0,235.45,217.8,231.4,226.02969571414556,1213037,13045,274182384.0,126731.0,10.45,17.65,13.4
2020-09-04,213.0,230.75,207.55,214.75,221.39985386370265,2396393,27443,530561060.0,391412.0,16.33,23.2,1.75
2020-09-03,199.0,222.0,197.0,218.75,212.1339185114268,2456688,24730,521146852.0,814108.0,33.14,25.0,19.75
2020-09-02,192.25,198.45,192.25,196.1,195.16311012709352,760149,4729,148353043.0,232376.0,30.57,6.2,3.85
2020-09-01,208.0,208.0,178.45,188.7,192.11006670661575,1264942,13288,243008092.0,155661.0,12.31,29.55,-19.3
2020-08-31,206.5,211.5,194.6,198.25,206.76917895500418,617591,5818,127698784.0,71629.0,11.6,16.9,-8.25
2020-08-28,199.0,213.65,199.0,201.4,207.4114117288179,747424,6846,155024267.0,72133.0,9.65,14.65,2.4
2020-08-27,201.0,202.3,198.3,199.85,199.70064420073774,240453,2294,48018619.0,48143.0,20.02,4.0,-1.15
2020-08-26,198.0,203.2,197.0,200.6,200.99247724396918,244990,1395,49241147.0,39607.0,16.17,6.2,2.6
2020-08-25,199.6,200.2,196.2,198.25,197.72666862450407,520983,3194,103012233.0,314479.0,60.36,4.0,-1.35
2020-08-24,199.45,200.95,193.25,199.6,196.79677139045614,408535,2742,80398369.0,141368.0,34.6,7.7,0.15
2020-08-21,199.8,201.2,197.5,199.45,199.3083203189477,315036,2836,62789296.0,72044.0,22.87,3.7,-0.35
2020-08-20,200.0,200.75,197.0,199.65,198.90413860793313,527762,3338,104974046.0,201836.0,38.24,3.75,-0.35
2020-08-19,201.0,203.7,195.0,201.3,202.34347319181606,140666,1877,28462847.0,62089.0,44.14,8.7,0.3
2020-08-18,195.0,203.7,195.0,200.7,201.7614569475664,87196,1094,17592792.0,15639.0,17.94,8.7,5.7
2020-08-17,199.8,200.85,196.75,199.75,198.81217742205178,89707,892,17834844.0,12309.0,13.72,4.1,-0.05
2020-08-14,201.8,205.35,197.7,199.1,201.6552275197169,608233,5967,122653364.0,145926.0,23.99,7.65,-2.7
2020-08-13,195.0,202.0,193.55,201.45,199.04884815283043,227808,2495,45344920.0,42226.0,18.54,8.45,6.45
2020-08-12,196.8,196.8,192.15,194.25,194.15135111727005,300196,2263,58283459.0,79382.0,26.44,4.65,-2.55
2020-08-11,199.0,199.0,192.35,194.3,195.10906067654142,98028,1288,19126151.0,15584.0,15.9,6.65,-4.7
2020-08-10,193.3,198.0,191.9,196.95,195.572849809019,203947,2052,39886496.0,33900.0,16.62,6.1,3.65
2020-08-07,194.9,194.9,188.0,192.55,190.89365775251375,221483,2009,42279700.0,20599.0,9.3,6.9,-2.35
2020-08-06,190.5,196.65,190.5,191.5,193.34236676203398,358963,3975,69402756.0,114370.0,31.86,6.15,1.0
2020-08-05,191.95,193.25,189.5,191.15,191.7160916191245,212794,2536,40796034.0,51269.0,24.09,3.75,-0.8
2020-08-04,190.1,193.0,189.85,191.4,191.10007561805003,431114,5468,82385918.0,260317.0,60.38,3.15,1.3
2020-08-03,192.1,194.45,188.0,189.35,190.70291731500188,1033416,3355,197075446.0,845991.0,81.86,6.45,-2.75
2020-07-31,193.1,196.2,188.65,192.15,193.92041110768412,684103,4645,132661535.0,58968.0,8.62,7.55,-0.95
2020-07-30,198.0,199.8,191.65,192.55,195.32857848071242,155981,1975,30467547.0,22985.0,14.74,8.15,-5.45
2020-07-29,191.2,199.0,190.3,196.35,195.81534346725024,485301,5286,95029382.0,182501.0,37.61,8.7,5.15
2020-07-28,194.7,194.9,187.85,190.55,190.31686041280526,444568,5665,84608786.0,82762.0,18.62,7.05,-4.15
2020-07-27,196.2,197.0,191.0,194.55,194.47687630428058,510818,4905,99342289.0,256447.0,50.2,6.0,-1.65
2020-07-24,200.0,200.0,192.35,195.7,196.00676249867,723697,5419,141849506.0,263815.0,36.45,7.65,-4.3
2020-07-23,202.0,202.0,198.4,200.7,199.6620464673829,386852,2657,77239662.0,25337.0,6.55,3.6,-1.3
2020-07-22,200.0,203.8,198.15,200.45,201.793410450678,532176,3353,107389610.0,87314.0,16.41,5.65,0.45
2020-07-21,203.55,205.0,197.65,198.75,199.50118657513246,597518,3554,119205550.0,44357.0,7.42,7.35,-4.8
2020-07-20,203.0,208.8,193.5,201.75,204.70451738231554,985283,8360,201691881.0,73149.0,7.42,15.3,-1.25
2020-07-17,195.0,200.7,190.9,197.85,198.4379370987954,1511386,9810,299916320.0,503719.0,33.33,9.8,2.85
2020-07-16,204.15,205.95,188.85,189.9,194.94430607316085,1402828,15188,273473331.0,899331.0,64.11,17.1,-14.25
2020-07-15,212.9,212.9,203.0,204.1,208.2855883636531,348288,3234,72543371.0,36703.0,10.54,9.9,-8.8
2020-07-14,211.95,215.3,207.65,208.8,210.27194652539217,579864,4563,121929132.0,30799.0,5.31,7.65,-3.15
2020-07-13,209.9,212.55,208.25,211.6,210.09583290201624,260829,2448,54799086.0,23295.0,8.93,4.3,1.7
2020-07-10,216.0,216.0,206.3,209.0,209.0676997225062,342350,4078,71574327.0,99312.0,29.01,9.7,-7.0
2020-07-09,220.2,220.2,212.75,214.55,215.13227979725292,252926,3270,54412547.0,89487.0,35.38,7.45,-5.65
2020-07-08,223.25,224.5,218.5,219.3,221.74552294346117,171988,2714,38137569.0,29852.0,17.36,6.0,-3.95
2020-07-07,225.0,225.05,218.7,223.25,222.53660102628893,386246,5821,85953872.0,217503.0,56.31,6.35,-1.75
2020-07-06,227.4,228.55,223.8,226.5,226.5676712266621,529021,5875,119859056.0,361748.0,68.38,4.75,-0.9
