Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,1070.0,1083.5,1052.5,1060.6,1065.2070955889615,253115,6938,269619894.0,36743.0,14.52,31.0,-9.4
2020-10-29,1060.2,1081.9,1060.2,1074.8,1071.0399011593959,287736,12865,308176737.0,105815.0,36.78,21.7,14.6
2020-10-28,1100.0,1104.45,1069.6,1076.6,1089.4958235622307,1763704,13927,1921548142.0,1516738.0,86.0,34.85,-23.4
2020-10-27,1107.0,1109.55,1077.45,1092.15,1090.8259133888541,345937,10463,377357044.0,163491.0,47.26,32.1,-14.85
2020-10-26,1121.0,1129.3,1103.7,1112.1,1115.991421242911,312283,6239,348505149.0,169305.0,54.22,25.6,-8.9
2020-10-23,1134.45,1134.45,1120.0,1122.0,1125.9255682019873,309881,11100,348902941.0,165519.0,53.41,14.45,-12.45
2020-10-22,1146.0,1158.0,1123.75,1130.15,1143.486160530188,443767,10449,507441423.0,299595.0,67.51,34.25,-15.85
2020-10-21,1142.0,1153.9,1135.0,1148.3,1148.0299918980095,550482,19239,631969846.0,408162.0,74.15,18.9,6.3
2020-10-20,1119.85,1144.7,1115.0,1137.05,1135.8723672786186,223438,6797,253797050.0,57808.0,25.87,29.7,17.2
2020-10-19,1133.6,1138.75,1115.75,1125.55,1125.1467964271142,558876,20185,628817541.0,307443.0,55.01,23.0,-8.05
2020-10-16,1112.0,1135.85,1097.1,1127.6,1117.563754450207,698563,22288,780688689.0,188489.0,26.98,38.75,15.6
2020-10-15,1184.0,1185.0,1093.0,1108.0,1138.6087892491164,2663595,41182,3032792678.0,1656767.0,62.2,92.0,-76.0
2020-10-14,1164.7,1164.7,1130.35,1136.1,1145.6701298227547,712741,23590,816566074.0,154071.0,21.62,34.35,-28.6
2020-10-13,1135.0,1165.85,1135.0,1158.0,1148.5488920819785,727265,22666,835299410.0,248198.0,34.13,30.85,23.0
2020-10-12,1120.0,1139.8,1112.25,1132.3,1124.3502546884797,547139,17719,615175874.0,158180.0,28.91,27.55,12.3
2020-10-09,1099.0,1113.65,1088.5,1107.55,1100.049790025418,506728,16735,557426030.0,243146.0,47.98,25.15,8.55
2020-10-08,1089.0,1123.95,1088.1,1094.0,1107.5752237620536,785656,31739,870173120.0,194731.0,24.79,35.85,5.0
2020-10-07,1045.0,1072.0,1038.05,1066.55,1051.6638366212787,447696,13864,470825693.0,237997.0,53.16,33.95,21.55
2020-10-06,1054.1,1059.85,1031.8,1055.75,1044.5390355837544,458018,15659,478417680.0,252444.0,55.12,28.05,1.65
2020-10-05,1019.45,1054.6,1019.0,1048.2,1043.74363682734,784200,22624,818503760.0,409349.0,52.2,35.6,28.75
2020-10-01,1016.0,1025.85,1011.9,1017.7,1016.2754625993527,127324,4203,129396257.0,31014.0,24.36,13.95,1.7
2020-09-30,1012.25,1023.9,1004.75,1008.0,1004.791352819337,1626056,6372,1633847008.0,1501065.0,92.31,19.15,-4.25
2020-09-29,1018.95,1028.0,1004.2,1010.25,1015.8159768971848,261440,7679,265574929.0,100754.0,38.54,23.8,-8.7
2020-09-28,1014.9,1016.3,998.5,1009.5,1004.7764922150545,207259,6645,208248971.0,63948.0,30.85,17.8,-5.4
2020-09-25,985.0,1014.05,976.9,1011.05,997.2927458274206,316411,8893,315554395.0,58890.0,18.61,37.15,26.05
2020-09-24,1008.0,1008.0,970.15,975.35,988.3661905819087,283773,9445,280471639.0,67162.0,23.67,37.85,-32.65
2020-09-23,1016.35,1037.1,1001.55,1019.65,1026.0772186611412,474419,10629,486790528.0,240840.0,50.77,35.55,3.3
