Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,306.0,312.8,304.0,308.9,308.4228401208857,230962,3187,71233956.0,34786.0,15.06,8.8,2.9
2020-10-29,304.7,308.35,299.75,306.9,304.3486418952138,197297,2548,60047074.0,25849.0,13.1,8.6,2.2
2020-10-28,308.2,315.0,304.0,305.7,309.3739310268545,687108,4994,212573303.0,454441.0,66.14,11.0,-2.5
2020-10-27,308.25,312.35,303.35,308.95,308.73349136471387,186039,2494,57436470.0,25129.0,13.51,9.0,0.7
2020-10-26,318.7,318.7,304.4,308.15,308.92347888974376,367807,5143,113624218.0,65507.0,17.81,14.3,-10.55
2020-10-23,326.0,327.15,319.75,321.05,323.2654234493366,270481,3559,87437155.0,64670.0,23.91,7.4,-4.95
2020-10-22,322.8,326.95,319.4,325.75,323.41517500823267,179163,2341,57944033.0,23343.0,13.03,7.55,2.95
2020-10-21,319.3,324.3,314.8,322.85,321.15035479762474,423199,5371,135910509.0,85208.0,20.13,9.5,3.55
2020-10-20,313.1,319.65,308.45,318.75,316.42353546591687,347841,4717,110065079.0,66994.0,19.26,11.2,5.65
2020-10-19,313.6,318.0,307.85,313.55,314.09952133086944,425346,5641,133600975.0,38017.0,8.94,10.15,-0.05
2020-10-16,292.8,312.5,291.0,310.9,301.9679866691095,573105,6190,173059363.0,83546.0,14.58,21.5,18.1
2020-10-15,291.0,297.6,289.25,291.35,292.20423218948247,623129,5848,182080931.0,259422.0,41.63,8.35,0.35
2020-10-14,288.65,291.95,285.7,290.65,288.7209074701996,200249,1753,57816073.0,26387.0,13.18,6.25,2.0
2020-10-13,284.25,291.0,284.1,289.85,287.8802468773608,272686,3030,78500913.0,62669.0,22.98,6.9,5.6
2020-10-12,293.25,294.8,279.45,285.2,284.8639016345259,306205,3540,87226751.0,35640.0,11.64,15.35,-8.05
2020-10-09,289.1,298.35,289.1,292.05,293.5912373315745,385111,3720,113065215.0,125208.0,32.51,9.25,2.95
2020-10-08,291.45,298.35,287.7,292.95,291.93644581482107,617835,5170,180368554.0,293539.0,47.51,10.65,1.5
2020-10-07,291.15,293.7,287.3,291.3,290.1170801768566,177545,1657,51508837.0,17603.0,9.91,6.4,0.15
2020-10-06,293.3,295.0,286.8,291.15,290.23974820936695,1156993,7784,335805357.0,866539.0,74.9,8.2,-2.15
2020-10-05,283.2,291.8,282.55,289.55,287.82769589839586,675248,6275,194355076.0,378413.0,56.04,9.25,6.35
2020-10-01,280.0,286.6,278.5,282.05,285.40878398970574,442965,1313,126426102.0,314955.0,71.1,8.1,2.05
2020-09-30,284.65,284.8,275.05,277.7,279.2831648386349,202677,1870,56604274.0,26724.0,13.19,9.75,-6.95
2020-09-29,276.4,286.6,276.1,284.05,281.90052786682656,757388,4407,213508077.0,304656.0,40.22,10.5,7.65
2020-09-28,269.35,278.6,269.35,277.1,273.7958330920812,518130,5997,141861835.0,245824.0,47.44,9.25,7.75
2020-09-25,259.05,270.35,258.8,268.35,264.8169663873459,191178,2113,50627178.0,26442.0,13.83,11.55,9.3
2020-09-24,264.0,264.8,257.7,258.7,261.35759275327473,382628,2691,100002733.0,225884.0,59.03,7.1,-5.3
2020-09-23,273.0,273.0,263.8,268.05,266.13591500280927,357753,4046,95210922.0,175558.0,49.07,9.2,-4.95
2020-09-22,266.5,275.05,262.8,271.8,268.70368187948077,417477,4993,112177607.0,65103.0,15.59,12.25,5.3
2020-09-21,287.7,290.05,270.15,271.35,283.74789184039736,587835,4535,166796942.0,337955.0,57.49,19.9,-16.35
2020-09-18,285.4,293.3,284.5,287.6,289.52325591468644,230866,2923,66841076.0,45031.0,19.51,8.8,2.2
