Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,1572.2,1574.4,1519.05,1547.6,1543.7714238101587,150020,11074,231596589.0,45849.0,30.56,55.35,-24.6
2020-10-29,1531.1,1589.35,1526.8,1571.05,1561.881426074628,409095,17156,638957882.0,230955.0,56.46,62.55,39.95
2020-10-28,1580.0,1580.0,1541.5,1552.2,1555.4558834138952,263359,17651,409643306.0,90953.0,34.54,38.5,-27.8
2020-10-27,1450.0,1600.95,1450.0,1588.0,1550.1438171483303,960560,57083,1489006145.0,149719.0,15.59,150.95,138.0
2020-10-26,1383.05,1428.4,1347.75,1415.75,1390.9176715717276,284604,17385,395860733.0,56786.0,19.95,80.65,32.7
2020-10-23,1392.05,1407.95,1378.75,1383.05,1390.074895957836,69443,4319,96530971.0,12616.0,18.17,29.2,-9.0
2020-10-22,1385.1,1404.2,1377.7,1393.25,1392.5087203119463,112840,7051,157130684.0,29353.0,26.01,26.5,8.15
2020-10-21,1370.3,1399.6,1358.75,1393.85,1385.6933188245193,149794,10159,207568545.0,51820.0,34.59,40.85,23.55
2020-10-20,1370.0,1385.35,1356.3,1368.85,1372.5060488128638,99441,6499,136483374.0,30962.0,31.14,29.05,-1.15
2020-10-19,1350.0,1380.0,1333.3,1376.8,1365.1626686875168,171545,12202,234186830.0,84698.0,49.37,46.7,26.8
2020-10-16,1308.0,1343.5,1307.95,1336.55,1330.525024936924,51129,3112,68028414.0,8892.0,17.39,35.55,28.55
2020-10-15,1356.9,1365.2,1301.25,1309.0,1348.2062741051996,1106867,7496,1492285034.0,1036945.0,93.68,63.95,-47.9
2020-10-14,1338.5,1358.0,1324.5,1354.25,1342.1357487922705,57960,3224,77790188.0,9659.0,16.66,33.5,15.75
2020-10-13,1315.0,1349.6,1309.6,1344.3,1332.3572491344528,69898,3769,93129107.0,19891.0,28.46,40.0,29.3
2020-10-12,1326.1,1357.95,1308.25,1312.8,1322.9867530640283,1482607,13630,1961469421.0,1283894.0,86.6,49.7,-13.3
2020-10-09,1320.1,1338.3,1306.15,1320.05,1321.172711108499,272206,8169,359631139.0,166385.0,61.12,32.15,-0.05
2020-10-08,1326.0,1340.4,1311.55,1321.15,1324.7142253500604,137262,4427,181832924.0,67468.0,49.15,28.85,-4.85
2020-10-07,1340.0,1340.0,1321.65,1324.0,1330.0382676422428,108107,6244,143786447.0,39521.0,36.56,18.35,-16.0
2020-10-06,1321.6,1341.75,1311.55,1338.45,1325.604732960606,217496,8825,288313727.0,145695.0,66.99,30.2,16.85
2020-10-05,1307.45,1333.0,1307.45,1314.8,1319.6533812022828,200269,9961,264285663.0,93063.0,46.47,25.55,7.35
2020-10-01,1278.0,1309.8,1278.0,1305.3,1300.0168053664195,99135,3977,128877166.0,30998.0,31.27,31.8,27.3
2020-09-30,1264.95,1276.0,1252.5,1268.15,1262.5486280732407,112178,5416,141630180.0,58192.0,51.87,23.5,3.2
2020-09-29,1288.0,1292.25,1260.0,1263.55,1270.6244100980687,171003,9911,217280586.0,113506.0,66.38,32.25,-24.45
2020-09-28,1255.1,1283.85,1255.0,1279.0,1276.0683996405928,80132,4725,102253913.0,44815.0,55.93,28.85,23.9
2020-09-25,1258.8,1259.1,1231.2,1249.45,1244.2611770544688,120895,6024,150424955.0,57218.0,47.33,27.9,-9.35
2020-09-24,1265.0,1284.75,1236.05,1245.9,1267.234138921173,117016,6726,148286670.0,59440.0,50.8,48.7,-19.1
2020-09-23,1275.0,1287.1,1265.6,1274.85,1274.8685915433934,119315,5712,152110946.0,56378.0,47.25,21.5,-0.15
2020-09-22,1286.0,1301.2,1261.75,1271.2,1282.2856470339573,208173,12400,266937250.0,73543.0,35.33,39.45,-14.8
2020-09-21,1270.0,1318.85,1270.0,1289.35,1299.1449577145181,304951,16247,396175554.0,122609.0,40.21,48.85,19.35
2020-09-18,1310.0,1312.4,1263.05,1278.3,1281.4655144193296,256600,20213,328824051.0,141843.0,55.28,49.35,-31.7
2020-09-17,1322.0,1326.5,1301.5,1305.3,1312.5337465438631,218452,6617,286725622.0,150734.0,69.0,25.0,-16.7
2020-09-16,1329.0,1332.6,1301.0,1324.7,1325.786753788884,278842,11808,369685030.0,184766.0,66.26,31.6,-4.3
2020-09-15,1305.1,1329.0,1288.65,1324.3,1306.0384001396017,309452,14200,404156195.0,167497.0,54.13,40.35,19.2
2020-09-14,1342.0,1345.5,1300.2,1304.85,1323.9961124177585,226619,8295,300042675.0,96851.0,42.74,45.3,-37.15
2020-09-11,1320.0,1336.7,1312.0,1330.0,1326.7799650199881,56032,3587,74342135.0,9672.0,17.26,24.7,10.0
2020-09-10,1329.8,1343.0,1315.0,1319.2,1330.0095859650964,76153,5673,101284220.0,22812.0,29.96,28.0,-10.6
2020-09-09,1335.0,1355.0,1314.0,1326.35,1328.724852931456,151290,10254,201022783.0,82141.0,54.29,41.0,-8.65
2020-09-08,1369.05,1370.0,1349.4,1351.15,1356.2689596942628,112515,8204,152600602.0,49869.0,44.32,20.6,-17.9
2020-09-07,1382.0,1382.0,1357.0,1370.1,1372.0652846841806,221614,7143,304068876.0,173306.0,78.2,25.0,-11.9
2020-09-04,1386.0,1394.4,1354.6,1378.55,1377.9242553853333,128590,8119,177187280.0,57838.0,44.98,39.8,-7.45
2020-09-03,1439.7,1439.7,1390.9,1396.6,1413.7302983821953,34553,2418,48848623.0,7920.0,22.92,48.8,-43.1
2020-09-02,1422.0,1437.55,1407.55,1422.3,1422.2870684805937,47999,3095,68268357.0,8021.0,16.71,30.0,0.3
2020-09-01,1400.0,1441.0,1386.25,1430.5,1418.5764905170013,129284,8555,183399243.0,30696.0,23.74,54.75,30.5
2020-08-31,1481.7,1500.75,1374.0,1402.15,1431.0103530419176,219549,16808,314176892.0,70452.0,32.09,126.75,-79.55
2020-08-28,1410.0,1474.0,1401.55,1467.7,1442.1719499949334,217098,9965,313092646.0,81793.0,37.68,72.45,57.7
2020-08-27,1437.05,1445.0,1411.8,1419.9,1426.7018276888036,124693,5504,177899731.0,43961.0,35.26,33.2,-17.15
2020-08-26,1409.9,1441.6,1403.0,1435.8,1424.4166826133144,151547,8594,215866075.0,58181.0,38.39,38.6,25.9
2020-08-25,1395.0,1404.95,1380.65,1400.95,1392.7724117243745,93344,4633,130006948.0,16566.0,17.75,24.3,5.95
2020-08-24,1340.05,1396.4,1340.05,1386.9,1380.5923069178882,258258,14194,356549008.0,120942.0,46.83,56.35,46.85
2020-08-21,1339.0,1351.45,1332.0,1339.55,1344.6689981257725,316397,6625,425449237.0,264881.0,83.72,19.45,0.55
2020-08-20,1341.1,1349.0,1330.2,1338.35,1337.6503984312237,200411,6396,268079854.0,151321.0,75.51,18.8,-2.75
2020-08-19,1375.0,1380.2,1350.0,1356.55,1370.814980935987,310795,7809,426042442.0,242169.0,77.92,30.2,-18.45
2020-08-18,1325.0,1374.25,1320.0,1368.8,1355.2085220580198,164702,8612,223205554.0,95490.0,57.98,54.25,43.8
2020-08-17,1320.0,1332.65,1312.0,1328.75,1325.8370524834447,272867,9086,361777179.0,179228.0,65.68,20.65,8.75
2020-08-14,1340.3,1346.65,1305.0,1308.1,1328.4814392110386,136686,8350,181584814.0,68894.0,50.4,41.65,-32.2
2020-08-13,1337.15,1357.9,1334.4,1336.3,1348.262393724352,220535,8026,297339047.0,121018.0,54.87,23.5,-0.85
2020-08-12,1354.95,1354.95,1333.75,1335.4,1344.3981706883685,225112,8096,302640161.0,150832.0,67.0,21.2,-19.55
2020-08-11,1369.5,1385.6,1357.3,1364.6,1365.0784002836235,101543,4172,138614156.0,41920.0,41.28,28.3,-4.9
2020-08-10,1343.0,1380.0,1343.0,1360.35,1369.9721931244644,63006,4051,86316468.0,15044.0,23.88,37.0,17.35
2020-08-07,1337.2,1346.8,1323.4,1342.1,1336.0580670442803,112284,4031,150017944.0,66696.0,59.4,23.4,4.9
2020-08-06,1343.05,1367.0,1331.05,1339.7,1347.194007845842,115985,5768,156254297.0,15140.0,13.05,35.95,-3.35
2020-08-05,1321.0,1352.55,1321.0,1333.85,1340.038473397777,129726,6278,173837831.0,46419.0,35.78,31.55,12.85
2020-08-04,1320.25,1331.2,1302.05,1323.95,1319.8789366105584,156067,7377,205989546.0,74776.0,47.91,29.15,3.7
2020-08-03,1364.95,1364.95,1300.0,1307.2,1321.954543541631,356429,15040,471182936.0,225034.0,63.14,64.95,-57.75
2020-07-31,1375.1,1389.7,1350.55,1367.45,1370.0269591641427,202714,10332,277723645.0,107711.0,53.13,39.15,-7.65
2020-07-30,1398.8,1424.7,1376.05,1388.05,1399.9670290408067,288284,15881,403588095.0,97834.0,33.94,48.65,-10.75
2020-07-29,1387.5,1397.35,1364.0,1389.7,1382.5446584404797,131207,7383,181399537.0,30163.0,22.99,33.35,2.2
2020-07-28,1328.2,1401.1,1321.9,1382.75,1367.2858256122147,220715,11367,301780491.0,48626.0,22.03,79.2,54.55
2020-07-27,1367.95,1379.35,1311.0,1322.45,1339.9340517828311,257035,13339,344409949.0,37299.0,14.51,68.35,-45.5
2020-07-24,1359.0,1364.0,1342.55,1349.9,1351.7585663810817,216515,8474,292676006.0,139323.0,64.35,21.45,-9.1
2020-07-23,1325.1,1379.0,1325.1,1374.2,1366.4792421825914,124146,5963,169642932.0,24133.0,19.44,53.9,49.1
2020-07-22,1369.95,1369.95,1331.0,1341.8,1343.3110151720732,121605,6258,163353336.0,44883.0,36.91,38.95,-28.15
2020-07-21,1327.0,1362.7,1326.65,1358.75,1349.0688424351283,130835,6955,176505422.0,29612.0,22.63,36.05,31.75
2020-07-20,1328.4,1334.0,1308.8,1318.6,1322.75033972481,193539,9327,256003778.0,54253.0,28.03,25.2,-9.8
2020-07-17,1315.35,1337.8,1301.3,1328.4,1318.1315635130525,187552,6990,247218211.0,78085.0,41.63,36.5,13.05
2020-07-16,1286.0,1327.65,1267.0,1322.1,1295.8276338875912,172122,9939,223040444.0,36670.0,21.3,60.65,36.1
2020-07-15,1305.0,1311.4,1280.1,1290.25,1297.560306253549,248291,13856,322172546.0,94515.0,38.07,31.3,-14.75
2020-07-14,1325.0,1333.0,1294.6,1298.35,1308.541467190143,160211,8372,209642737.0,92336.0,57.63,38.4,-26.65
2020-07-13,1359.9,1364.2,1323.9,1335.2,1337.9718772194526,283009,12529,378658083.0,148938.0,52.63,40.3,-24.7
2020-07-10,1360.45,1374.6,1345.3,1349.5,1360.1429336087897,106490,4429,144841621.0,14248.0,13.38,29.3,-10.95
2020-07-09,1352.0,1374.5,1348.0,1368.15,1364.0176967084326,99284,4166,135425133.0,11733.0,11.82,26.5,16.15
2020-07-08,1368.0,1378.1,1348.45,1352.3,1367.5426552692604,147051,7628,201098515.0,30988.0,21.07,29.65,-15.7
2020-07-07,1368.0,1374.5,1351.6,1368.35,1363.6636615629454,114361,5658,155949940.0,14294.0,12.5,22.9,0.35
2020-07-06,1363.1,1380.6,1361.0,1367.9,1369.7523615310688,85326,4564,116875490.0,15318.0,17.95,19.6,4.8
2020-07-03,1360.95,1368.0,1350.6,1353.5,1358.474399505372,85721,4731,116449784.0,17525.0,20.44,17.4,-7.45
2020-07-02,1359.7,1371.4,1342.85,1351.65,1358.6358214138431,230365,13376,312982141.0,56384.0,24.48,28.55,-8.05
2020-07-01,1324.0,1364.65,1316.0,1356.4,1334.3118395675442,294504,17242,392960174.0,70338.0,23.88,48.65,32.4
2020-06-30,1364.0,1372.9,1345.9,1359.8,1364.6748174884483,955282,11019,1303649289.0,815906.0,85.41,27.0,-4.2
2020-06-29,1340.0,1366.6,1313.55,1357.95,1336.0952815637886,222383,12746,297124877.0,62594.0,28.15,53.05,17.95
2020-06-26,1380.0,1381.0,1327.2,1340.95,1340.2991927900223,291374,18033,390528337.0,63120.0,21.66,53.8,-39.05
2020-06-25,1330.0,1389.1,1325.0,1382.45,1356.3009935660436,235314,15258,319156612.0,47856.0,20.34,64.1,52.45
2020-06-24,1393.0,1397.3,1337.0,1345.5,1371.183959102968,180551,16513,247568635.0,53884.0,29.84,60.3,-47.5
2020-06-23,1353.0,1395.0,1350.0,1389.6,1375.4071205482276,174818,14125,240445922.0,68219.0,39.02,45.0,36.6
2020-06-22,1313.0,1384.5,1298.2,1355.85,1329.630580438047,675955,13601,898770439.0,490593.0,72.58,86.3,42.85
2020-06-19,1306.95,1315.0,1278.05,1302.0,1290.918652861314,1298337,21600,1676047451.0,959143.0,73.87,36.95,-4.95
2020-06-18,1235.0,1309.85,1228.15,1303.35,1265.6343975177047,194014,10917,245550792.0,38096.0,19.64,81.7,68.35
2020-06-17,1265.05,1284.4,1236.9,1241.0,1243.0391889090922,1442551,13696,1793147425.0,1213434.0,84.12,47.5,-24.05
2020-06-16,1275.15,1295.95,1238.45,1276.85,1285.847940075402,1510832,16608,1942700215.0,1338917.0,88.62,57.5,1.7
2020-06-15,1270.0,1272.95,1237.25,1249.55,1248.6461488486248,138530,10391,172974951.0,33029.0,23.84,35.7,-20.45
2020-06-12,1249.5,1289.0,1233.0,1279.55,1261.5018780173132,192224,12148,242490937.0,27584.0,14.35,56.0,30.05
2020-06-11,1334.25,1334.25,1290.0,1298.65,1307.0543970578258,132691,7689,173434355.0,34595.0,26.07,44.25,-35.6
2020-06-10,1354.6,1354.6,1305.15,1334.25,1329.531428477467,182446,11793,242567691.0,45629.0,25.01,49.45,-20.35
2020-06-09,1337.7,1360.2,1298.7,1303.75,1335.7743816868585,155342,10765,207501864.0,52006.0,33.48,61.5,-33.95
2020-06-08,1347.0,1364.75,1315.0,1337.7,1339.9410762353987,161972,13141,217032936.0,44555.0,27.51,49.75,-9.3
2020-06-05,1341.0,1358.0,1321.8,1339.6,1337.8579657089897,215800,15596,288709749.0,39499.0,18.3,36.2,-1.4
2020-06-04,1380.2,1380.2,1330.55,1333.8,1348.998336793817,183982,11437,248191412.0,42153.0,22.91,49.65,-46.4
2020-06-03,1355.0,1428.0,1343.0,1387.6,1384.5134543439847,371813,24483,514780101.0,59745.0,16.07,85.0,32.6
2020-06-02,1320.0,1352.55,1299.4,1343.2,1240.984746125315,56675895,30968,70333921168.0,56088459.0,98.96,53.15,23.2
2020-06-01,1270.0,1279.2,1241.1,1249.25,1259.208529686605,199046,10521,250640421.0,40085.0,20.14,38.1,-20.75
2020-05-29,1214.0,1229.4,1200.55,1223.7,1215.678597973568,596023,9175,724572405.0,463711.0,77.8,28.85,9.7
2020-05-28,1232.8,1254.55,1202.05,1228.35,1241.7603343304877,493404,9682,612689516.0,335013.0,67.9,52.5,-4.45
2020-05-27,1164.95,1242.55,1163.25,1216.75,1200.040090620752,275875,13809,331061060.0,61496.0,22.29,79.3,51.8
2020-05-26,1165.0,1174.5,1145.25,1152.45,1156.8561093154465,172638,10703,199717325.0,26634.0,15.43,29.25,-12.55
2020-05-22,1134.0,1167.0,1117.0,1160.25,1139.422919116157,246650,11556,281038663.0,30437.0,12.34,50.0,26.25
