Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,941.15,947.15,924.15,929.6,934.15827708353,233186,11248,217832632.0,56472.0,24.22,23.0,-11.55
2020-10-29,953.0,958.95,927.0,934.6,940.0050571734162,526381,29196,494800802.0,164876.0,31.32,31.95,-18.4
2020-10-28,985.0,994.85,974.15,983.65,981.7971440931502,547847,23073,537874620.0,341198.0,62.28,20.7,-1.35
2020-10-27,961.0,986.4,955.7,982.45,972.9928943426393,257682,13225,250722755.0,96832.0,37.58,30.7,21.45
2020-10-26,950.0,959.25,943.15,951.65,950.3379179417927,228082,8471,216754973.0,92063.0,40.36,16.1,1.65
2020-10-23,940.0,948.5,927.65,941.2,940.2742734749315,133994,5828,125991111.0,45857.0,34.22,20.85,1.2
2020-10-22,923.0,938.95,921.05,936.25,933.4193122910339,326010,13719,304304030.0,166398.0,51.04,17.9,13.25
2020-10-21,925.9,931.0,909.0,924.65,922.7324031729181,275078,12416,253823384.0,99061.0,36.01,22.0,-1.25
2020-10-20,915.15,935.6,912.75,917.3,925.254094292804,666965,31631,617112097.0,252616.0,37.88,22.85,2.15
2020-10-19,900.0,905.35,884.25,903.0,894.8005244250727,200982,10270,179838799.0,54362.0,27.05,21.1,3.0
2020-10-16,890.25,903.0,889.5,894.2,895.0212330627905,117788,6382,105422761.0,31791.0,26.99,13.5,3.95
2020-10-15,918.0,918.95,887.0,888.95,903.4328957578376,125007,6119,112935436.0,47300.0,37.84,31.95,-29.05
2020-10-14,896.5,916.85,887.45,915.0,905.2394630516858,226465,11929,205005055.0,109603.0,48.4,29.4,18.5
2020-10-13,906.55,915.5,889.35,896.5,901.9575768127476,120618,5288,108792319.0,36656.0,30.39,26.15,-10.05
2020-10-12,915.0,925.8,902.35,905.5,916.4397520742251,183442,7328,168113541.0,42668.0,23.26,23.45,-9.5
2020-10-09,887.8,914.7,887.0,908.35,905.8340651375441,286962,10532,259939955.0,55905.0,19.48,27.7,20.55
2020-10-08,890.0,894.0,880.0,881.0,884.383249014822,152003,6084,134428907.0,74194.0,48.81,14.0,-9.0
2020-10-07,893.1,895.0,876.25,887.7,883.150615736475,213809,15151,188825550.0,94303.0,44.11,18.75,-5.4
2020-10-06,901.0,904.65,888.7,892.7,895.9955424886191,73808,3992,66131639.0,33270.0,45.08,15.95,-8.3
2020-10-05,908.0,908.5,895.05,896.85,900.6233889220338,105597,8023,95103128.0,41522.0,39.32,13.45,-11.15
2020-10-01,905.1,913.3,901.25,902.95,907.3223741573272,141069,8039,127995060.0,57797.0,40.97,12.05,-2.15
2020-09-30,897.4,905.0,884.3,902.45,895.2585953425163,80945,4035,72466707.0,26047.0,32.18,20.7,5.05
2020-09-29,907.05,912.8,892.2,895.15,899.8116548388234,169938,9814,152912193.0,60217.0,35.43,20.6,-11.9
2020-09-28,899.95,917.0,893.0,902.9,907.618883807164,227613,13419,206585857.0,94229.0,41.4,24.0,2.95
2020-09-25,864.0,895.0,852.0,889.3,874.1007213936398,164404,7629,143705655.0,42228.0,25.69,43.0,25.3
2020-09-24,857.8,859.5,842.5,850.35,850.749604753014,517398,21796,440176144.0,145073.0,28.04,17.0,-7.45
2020-09-23,869.8,873.85,855.0,860.75,862.6848051797895,216225,13593,186534022.0,73914.0,34.18,18.85,-9.05
2020-09-22,886.9,888.0,852.0,857.05,864.140667276157,432055,31309,373356296.0,196374.0,45.45,36.0,-29.85
2020-09-21,900.2,904.3,874.55,881.9,887.9004146053237,199708,11510,177320816.0,98429.0,49.29,29.75,-18.3
