Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,7057.0,7106.5,6882.9,6956.2,6975.576707461509,37995,5615,265037037.0,5168.0,13.6,223.6,-100.8
2020-10-29,7095.0,7196.3,6988.7,7114.0,7086.203208838844,37833,7097,268092326.0,2234.0,5.9,207.6,19.0
2020-10-28,7170.0,7329.75,7106.5,7182.45,7196.748654607967,107032,10495,770282402.0,62865.0,58.73,223.25,12.45
2020-10-27,7065.0,7205.15,7055.0,7158.6,7134.342990503781,62130,12592,443256730.0,35137.0,56.55,150.15,93.6
2020-10-26,7095.1,7163.35,6938.0,7054.45,7067.485867224699,65946,10750,466072423.0,11438.0,17.34,225.35,-40.65
2020-10-23,6825.0,7129.5,6825.0,7108.45,7019.022155948499,89863,11618,630750388.0,54078.0,60.18,304.5,283.45
2020-10-22,6845.0,6859.6,6778.0,6806.25,6804.728582454334,19435,4244,132249900.0,7741.0,39.83,81.6,-38.75
2020-10-21,6910.0,6945.0,6763.75,6864.9,6872.132471891256,29795,6405,204755187.0,8412.0,28.23,181.25,-45.1
2020-10-20,6821.0,6947.85,6820.0,6849.0,6874.29392990855,16293,3245,112002871.0,5533.0,33.96,127.85,28.0
2020-10-19,6951.0,6976.85,6822.0,6851.6,6873.594915520217,19117,3822,131402514.0,3000.0,15.69,154.85,-99.4
2020-10-16,6901.0,6975.0,6864.1,6897.05,6915.946905791451,14107,2614,97563263.0,1945.0,13.79,110.9,-3.95
2020-10-15,7035.0,7048.0,6855.8,6885.2,6975.01434354338,74110,4398,516918313.0,53771.0,72.56,192.2,-149.8
2020-10-14,7035.0,7071.2,6927.6,7006.5,6983.327525076517,32999,4370,230442825.0,12420.0,37.64,143.6,-28.5
2020-10-13,7125.2,7188.0,7023.0,7031.85,7107.0521813990945,36009,4106,255917842.0,6357.0,17.65,165.0,-93.35
2020-10-12,7090.0,7155.0,7005.2,7137.55,7102.104573157364,22807,3236,161977699.0,9815.0,43.04,149.8,47.55
