Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,593.0,601.4,587.3,593.85,594.1380308182016,96761,1853,57489390.0,14423.0,14.91,14.1,0.85
2020-10-29,600.0,603.8,590.5,591.85,597.5209296772395,125635,2487,75069542.0,54633.0,43.49,13.3,-8.15
2020-10-28,599.0,613.0,594.3,603.95,599.1623309872089,419273,3701,251212588.0,285762.0,68.16,18.7,4.95
2020-10-27,599.9,604.95,593.55,596.95,598.9587314842051,105383,2849,63120068.0,31649.0,30.03,11.4,-2.95
2020-10-26,625.05,625.3,594.7,596.75,609.8358704723751,119820,3059,73070534.0,34150.0,28.5,30.6,-28.3
2020-10-23,607.95,627.5,605.1,625.05,617.159538481111,306553,9439,189192108.0,138687.0,45.24,22.4,17.1
2020-10-22,600.4,606.5,594.4,605.05,600.8477575288968,279357,4083,167851027.0,159834.0,57.21,12.1,4.65
2020-10-21,608.0,611.05,592.2,600.4,602.0527605497983,151401,4615,91151390.0,35956.0,23.75,18.85,-7.6
2020-10-20,599.0,608.95,591.1,602.25,602.4561344864026,92738,1974,55870577.0,11552.0,12.46,17.85,3.25
2020-10-19,608.3,614.3,595.5,597.4,601.7180978651954,66704,2453,40137004.0,21984.0,32.96,18.8,-10.9
2020-10-16,615.1,623.7,602.15,606.45,609.4428688301064,172349,4268,105036869.0,80200.0,46.53,21.55,-8.65
2020-10-15,623.25,632.95,614.15,617.05,622.4771920500161,357485,2460,222526259.0,290351.0,81.22,18.8,-6.2
2020-10-14,627.45,627.7,616.45,623.85,620.5224223163841,266208,6103,165188033.0,164956.0,61.96,11.25,-3.6
2020-10-13,635.0,641.8,624.5,628.15,633.8994240356227,61983,1507,39290988.0,8810.0,14.21,17.3,-6.85
2020-10-12,635.5,639.2,630.5,634.05,634.9972165839346,99518,3164,63193653.0,32255.0,32.41,8.7,-1.45
2020-10-09,635.0,647.45,628.55,633.35,636.5292649928274,147087,3900,93625180.0,37625.0,25.58,18.9,-1.65
2020-10-08,635.85,641.0,628.0,634.05,633.938362346873,93060,2402,58994304.0,15722.0,16.89,13.0,-1.8
2020-10-07,627.5,636.6,625.45,631.3,630.6590734155808,368968,5918,232693017.0,204911.0,55.54,11.15,3.8
2020-10-06,610.1,633.0,608.9,627.2,625.9684139983349,338726,10147,212031777.0,121768.0,35.95,24.1,17.1
2020-10-05,612.0,618.0,597.35,607.0,603.6986972001943,173012,3726,104447119.0,26147.0,15.11,20.65,-5.0
