Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,16925.0,17350.0,16920.0,17162.8,17192.322371177208,4774,2105,82076147.0,882.0,18.48,430.0,237.8
2020-10-29,16620.0,17210.25,16620.0,16861.45,16948.601061007954,5655,2896,95844339.0,2264.0,40.04,590.25,241.45
2020-10-28,17199.95,17295.4,16937.9,17119.95,17170.604408153944,17513,3327,300708795.0,13273.0,75.79,357.5,-80.0
2020-10-27,16490.0,17299.0,16406.65,17233.25,17002.90484501956,16615,6973,282503264.0,6151.0,37.02,892.35,743.25
2020-10-26,16139.6,16375.0,16053.85,16256.2,16215.149542015133,10044,3424,162864962.0,3631.0,36.15,321.15,116.6
2020-10-23,15912.0,16066.15,15815.35,15863.0,15898.198751950078,3205,1461,50953727.0,789.0,24.62,250.8,-49.0
2020-10-22,16000.0,16074.1,15773.15,15911.25,15889.324956885936,4059,1633,64494770.0,1354.0,33.36,300.95,-88.75
2020-10-21,16230.0,16300.0,15955.5,16015.7,16129.236489151874,5070,2568,81775229.0,1257.0,24.79,344.5,-214.3
2020-10-20,16000.0,16421.6,15880.0,16252.65,16224.370271642547,7878,2834,127815589.0,1993.0,25.3,541.6,252.65
2020-10-19,15588.0,16160.0,15435.0,16089.65,15909.10419818457,5288,3234,84127343.0,2999.0,56.71,725.0,501.65
2020-10-16,15699.0,15807.5,15389.9,15434.2,15484.619406106234,2391,1298,37023725.0,792.0,33.12,417.6,-264.8
2020-10-15,15820.0,15820.0,15563.65,15592.8,15651.298302011208,12132,795,189881551.0,11029.0,90.91,256.35,-227.2
2020-10-14,15673.0,15819.3,15551.65,15669.4,15688.780417566595,1389,759,21791716.0,448.0,32.25,267.65,-3.6
2020-10-13,15900.0,15983.35,15655.15,15671.55,15808.939116379308,1856,903,29341391.0,854.0,46.01,328.2,-228.45
2020-10-12,16145.0,16145.0,15861.75,15900.6,15945.534050179212,1953,1069,31141628.0,823.0,42.14,283.25,-244.4
2020-10-09,16380.0,16380.0,15998.05,16045.0,16080.283156498674,3016,1483,48498134.0,973.0,32.26,381.95,-335.0
2020-10-08,16133.0,16320.2,16072.75,16300.9,16198.429160226688,1941,869,31441151.0,892.0,45.96,247.45,167.9
2020-10-07,15900.0,16132.5,15876.85,16111.8,16036.18989745537,2633,1082,42223288.0,715.0,27.16,255.65,211.8
2020-10-06,16100.0,16130.0,15840.0,15874.95,15976.543512658229,2528,1283,40388702.0,724.0,28.64,290.0,-225.05
2020-10-05,16100.0,16141.45,15824.95,16039.6,16038.695898161244,1414,720,22678716.0,327.0,23.13,316.5,-60.4
2020-10-01,16000.0,16043.25,15796.35,15998.45,15966.869438129255,3079,1456,49161991.0,1030.0,33.45,246.9,-1.55
2020-09-30,15690.0,16022.8,15620.0,15924.7,15689.194937924412,14579,2302,228732773.0,12459.0,85.46,402.8,234.7
2020-09-29,15800.0,15845.0,15577.85,15625.4,15687.579787234043,2820,1455,44238975.0,806.0,28.58,267.15,-174.6
2020-09-28,16619.0,16619.0,15625.0,15721.35,15816.42274678112,1398,801,22111359.0,475.0,33.98,994.0,-897.65
2020-09-25,15300.0,15828.05,15300.0,15734.25,15660.542134160896,12567,2246,196806033.0,8258.0,65.71,528.05,434.25
2020-09-24,15362.95,15454.65,15180.85,15257.85,15346.446952595938,2215,1188,33992380.0,679.0,30.65,273.8,-105.1
2020-09-23,15275.0,15400.0,15130.0,15362.95,15295.898518518517,5400,2387,82597852.0,1735.0,32.13,270.0,87.95
2020-09-22,15495.0,15514.8,15104.25,15203.25,15226.56865599224,4122,1520,62763916.0,1304.0,31.64,410.55,-291.75
2020-09-21,16100.0,16100.0,15156.4,15418.9,15568.98435198822,10864,5420,169141446.0,5675.0,52.24,943.6,-681.1
2020-09-18,16149.3,16248.0,15925.0,16098.9,16028.584857234522,3117,1710,49961099.0,1231.0,39.49,323.0,-50.4
2020-09-17,16240.0,16299.0,16098.55,16121.85,16209.541998773757,1631,733,26437763.0,447.0,27.41,200.45,-118.15
2020-09-16,16065.9,16221.2,16065.9,16196.3,16167.668589558694,3467,1155,56053307.0,965.0,27.83,155.3,130.4
2020-09-15,16199.95,16199.95,16000.0,16038.4,16074.414460285132,1964,967,31570150.0,683.0,34.78,199.95,-161.55
2020-09-14,16335.0,16344.55,16000.0,16066.35,16130.445076324453,3341,1337,53891817.0,1307.0,39.12,344.55,-268.65
2020-09-11,16370.0,16370.15,16195.0,16324.0,16300.180539273153,1706,748,27808108.0,366.0,21.45,175.15,-46.0
2020-09-10,16313.0,16440.0,16234.95,16412.8,16357.339341917024,3495,1781,57168901.0,2164.0,61.92,205.05,99.8
2020-09-09,16002.0,16340.0,16002.0,16313.2,16243.28346299621,5013,2573,81427580.0,2257.0,45.02,338.0,311.2
2020-09-08,16300.0,16353.8,16100.0,16135.45,16199.02402402403,2331,1105,37759925.0,947.0,40.63,253.8,-164.55
2020-09-07,16231.0,16510.0,15970.5,16402.5,16273.750179985602,2778,1291,45208478.0,621.0,22.35,539.5,171.5
2020-09-04,16279.55,16417.0,16144.7,16231.45,16271.303337558089,2367,1065,38514175.0,822.0,34.73,272.3,-48.1
2020-09-03,16002.0,16430.5,15923.25,16387.8,16248.699438537808,8371,4349,136017863.0,5118.0,61.14,507.25,385.8
2020-09-02,16234.0,16251.25,15974.05,15994.25,16100.070175438595,2622,1145,42214384.0,1674.0,63.84,277.2,-239.75
2020-09-01,15951.05,16254.2,15747.0,16191.1,15986.630534351143,2620,1412,41884972.0,849.0,32.4,507.2,240.05
2020-08-31,16157.0,16272.0,15880.0,15946.1,16085.125570197668,7892,4208,126943811.0,2794.0,35.4,392.0,-210.9
2020-08-28,16350.0,16365.7,16090.0,16104.45,16221.4994799792,3846,1553,62387887.0,1516.0,39.42,275.7,-245.55
2020-08-27,16190.0,16320.0,16095.0,16111.35,16146.06511627907,2580,1398,41656848.0,1349.0,52.29,225.0,-78.65
2020-08-26,16285.0,16348.95,16171.0,16189.05,16213.587843833184,6762,3436,109636281.0,4588.0,67.85,177.95,-95.95
2020-08-25,16482.05,16482.05,16266.75,16290.5,16326.389426321713,4445,2300,72570801.0,2245.0,50.51,215.3,-191.55
2020-08-24,16560.0,16699.0,16409.05,16535.5,16604.77645376549,2098,949,34836821.0,950.0,45.28,289.95,-24.5
2020-08-21,16235.8,16683.7,16235.8,16556.65,16503.79724642358,9297,4668,153435803.0,5940.0,63.89,447.9,320.85
2020-08-20,16348.5,16348.5,16191.1,16217.85,16246.573212018622,4726,2218,76781305.0,2918.0,61.74,157.4,-130.65
2020-08-19,16675.0,16675.0,16321.0,16348.5,16400.65613688713,3039,1485,49841594.0,1628.0,53.57,354.0,-326.5
2020-08-18,16430.0,16617.7,16320.2,16549.45,16447.969390103568,4345,1992,71466427.0,1316.0,30.29,297.5,119.45
2020-08-17,16356.0,16521.0,16316.1,16427.35,16430.203914428763,2197,1087,36097158.0,825.0,37.55,204.9,71.35
2020-08-14,16478.1,16540.0,16315.0,16355.85,16420.771662763465,3416,1668,56093356.0,1493.0,43.71,225.0,-122.25
2020-08-13,16538.7,16650.0,16462.0,16478.1,16536.359906213365,1706,862,28211030.0,867.0,50.82,188.0,-60.6
2020-08-12,16620.0,16620.0,16455.0,16538.7,16520.86642743222,2508,1239,41434333.0,991.0,39.51,165.0,-81.3
2020-08-11,16667.05,16779.8,16584.15,16620.65,16700.562734082396,2136,1148,35672402.0,770.0,36.05,195.65,-46.4
2020-08-10,16900.0,16900.0,16643.25,16667.05,16743.919802590994,1621,810,27141894.0,631.0,38.93,256.75,-232.95
2020-08-07,16757.0,16893.2,16554.6,16761.45,16746.56624102154,2506,1050,41966895.0,602.0,24.02,338.6,4.45
2020-08-06,16501.1,16700.0,16474.75,16671.25,16572.56937109938,2083,901,34520662.0,794.0,38.12,225.25,170.15
2020-08-05,16545.0,16625.0,16460.0,16496.1,16519.414403915627,8581,1398,141753095.0,6510.0,75.87,165.0,-48.9
2020-08-04,16575.2,16640.0,16411.25,16582.65,16515.925868325554,1929,876,31859221.0,586.0,30.38,228.75,7.45
2020-08-03,16530.0,16604.05,16346.65,16517.5,16469.963673285198,4432,1854,72994879.0,1509.0,34.05,257.4,-12.5
2020-07-31,16450.5,16666.1,16433.3,16526.45,16507.70833333333,9384,2084,154908335.0,6558.0,69.88,232.8,75.95
2020-07-30,16799.0,16799.0,16445.6,16531.6,16602.327307692307,5200,2297,86332102.0,1860.0,35.77,353.4,-267.4
2020-07-29,17099.0,17188.95,16511.1,16581.9,16739.52666622278,15019,6639,251410951.0,5277.0,35.14,677.85,-517.1
2020-07-28,17375.6,17447.35,17025.0,17098.95,17221.443028889287,5573,2274,95975102.0,1474.0,26.45,422.35,-276.65
2020-07-27,17269.0,17400.0,17220.95,17343.9,17320.742541436466,2715,1183,47025816.0,606.0,22.32,179.05,74.9
2020-07-24,17257.0,17400.0,16975.0,17231.4,17144.697559975397,4877,2198,83614690.0,1023.0,20.98,425.0,-25.6
2020-07-23,17082.0,17290.75,17053.55,17260.1,17166.58883248731,3546,1366,60872724.0,837.0,23.6,237.2,178.1
2020-07-22,17420.0,17431.05,17000.8,17146.45,17194.444990698907,7526,2707,129405393.0,3716.0,49.38,430.25,-273.55
2020-07-21,17477.0,17500.0,17230.0,17284.05,17339.30946180556,4608,1806,79899538.0,1031.0,22.37,270.0,-192.95
2020-07-20,17400.0,17400.0,17072.25,17242.2,17216.952577319586,5335,2365,91852442.0,1322.0,24.78,327.75,-157.8
2020-07-17,17470.0,17620.15,17179.45,17233.35,17334.82737773939,9263,3178,160572506.0,2717.0,29.33,440.7,-236.65
2020-07-16,16907.0,17733.9,16766.0,17464.2,17160.106634575135,9556,2793,163981979.0,4770.0,49.92,967.9,557.2
2020-07-15,16999.95,17020.0,16750.0,16904.95,16880.88593876998,3691,1581,62307350.0,1077.0,29.18,270.0,-95.0
2020-07-14,16995.95,17105.85,16850.0,16896.65,16981.84182818856,4179,1967,70967117.0,1410.0,33.74,255.85,-99.3
2020-07-13,16830.0,17090.0,16830.0,16967.5,16978.756245686684,7245,3089,123011089.0,2740.0,37.82,260.0,137.5
2020-07-10,16755.6,16871.55,16636.6,16837.8,16765.210144927536,1518,810,25449589.0,514.0,33.86,234.95,82.2
2020-07-09,16879.15,16960.7,16700.0,16758.65,16771.263109475618,3261,1444,54691089.0,1238.0,37.96,260.7,-120.5
2020-07-08,17000.0,17148.75,16736.75,16798.9,16947.06992639327,3804,1900,64466654.0,966.0,25.39,412.0,-201.1
2020-07-07,16800.8,16949.65,16723.6,16891.45,16861.679603960398,2525,1032,42575741.0,850.0,33.66,226.05,90.65
2020-07-06,16689.0,16840.85,16689.0,16800.8,16771.07650273224,2379,1057,39898391.0,829.0,34.85,151.85,111.8
2020-07-03,16925.0,16979.0,16650.65,16690.3,16712.54190571215,8018,1846,134001161.0,5573.0,69.51,328.35,-234.7
2020-07-02,16945.0,16945.0,16670.3,16782.05,16818.7032857617,3013,1192,50674753.0,903.0,29.97,274.7,-162.95
2020-07-01,17160.0,17179.0,16721.6,16795.0,16846.304517663044,5888,2558,99191041.0,2045.0,34.73,457.4,-365.0
2020-06-30,16810.0,17297.7,16800.0,17178.0,17103.712851800825,5081,2053,86903965.0,1726.0,33.97,497.7,368.0
2020-06-29,16696.0,16975.0,16575.5,16720.7,16779.408643018018,7104,1312,119200919.0,818.0,11.51,399.5,24.7
2020-06-26,16820.0,16921.65,16641.35,16671.65,16697.79422345565,9729,2299,162452840.0,7662.0,78.75,280.3,-148.35
2020-06-25,16675.0,16848.7,16600.0,16777.9,16797.70734126984,13104,1138,220117157.0,11523.0,87.93,248.7,102.9
2020-06-24,16674.0,16850.0,16537.45,16706.95,16721.777612310747,4029,1982,67372042.0,1139.0,28.27,312.55,32.95
2020-06-23,16248.0,16720.35,16215.05,16545.15,16493.52502173103,8053,2689,132822357.0,4335.0,53.83,505.3,297.15
2020-06-22,16201.35,16256.6,16070.2,16128.35,16125.174695381127,7058,2577,113811483.0,5052.0,71.58,186.4,-73.0
2020-06-19,16182.1,16300.0,16060.0,16096.1,16135.681932245923,3188,1624,51440554.0,1568.0,49.18,240.0,-86.0
2020-06-18,16155.1,16291.55,16045.9,16183.75,16131.482953627405,6189,2188,99837748.0,2590.0,41.85,245.65,28.65
2020-06-17,16340.0,16426.4,16120.1,16201.05,16263.912499999999,3520,1088,57248972.0,1176.0,33.41,306.3,-138.95
2020-06-16,16500.0,16599.35,16262.7,16339.55,16399.859017496638,2972,1632,48740381.0,1055.0,35.5,336.65,-160.45
2020-06-15,16555.45,16624.45,16375.0,16404.75,16456.273166023166,2072,1325,34097398.0,949.0,45.8,249.45,-150.7
2020-06-12,16599.95,16710.0,16325.0,16486.4,16503.637249593936,11082,2980,182893308.0,7373.0,66.53,385.0,-113.55
2020-06-11,16589.0,16854.75,16550.0,16602.45,16692.907528641575,4888,1896,81594932.0,1261.0,25.8,304.75,13.45
2020-06-10,16612.0,16820.0,16411.5,16563.05,16623.490277777775,5760,2273,95751304.0,1545.0,26.82,408.5,-48.95
2020-06-09,16700.0,16992.6,16530.0,16559.15,16732.261317907443,3976,1968,66527471.0,2035.0,51.18,462.6,-140.85
2020-06-08,17160.0,17202.3,16800.0,16828.2,16935.61766801235,4211,2211,71315886.0,2418.0,57.42,402.3,-331.8
2020-06-05,17344.35,17461.3,16970.05,17097.8,17139.830903790084,6860,2613,117579240.0,3750.0,54.66,491.25,-246.55
2020-06-04,17440.0,17543.85,17156.0,17195.55,17238.577315463088,4999,1666,86175648.0,2813.0,56.27,387.85,-244.45
2020-06-03,17230.0,17510.0,17163.85,17425.4,17401.7015492546,3421,1505,59531221.0,1236.0,36.13,346.15,195.4
2020-06-02,17432.0,17432.0,16980.0,17020.9,17105.34609392388,4493,2158,76854320.0,2846.0,63.34,452.0,-411.1
2020-06-01,17595.0,17749.95,17100.0,17184.4,17452.75247140919,5159,2158,90038750.0,1498.0,29.04,649.95,-410.6
2020-05-29,16989.0,17599.9,16846.5,17533.85,17298.915629025334,4658,2124,80578349.0,1631.0,35.02,753.4,544.85
2020-05-28,16716.0,17020.0,16688.25,16983.35,16766.763206594886,11888,3200,199323281.0,9151.0,76.98,331.75,267.35
2020-05-27,16730.85,16810.0,16497.15,16735.4,16737.193006204172,8865,2276,148375216.0,5480.0,61.82,312.85,4.55
2020-05-26,16220.0,16740.0,16220.0,16681.8,16586.979793001472,4058,1609,67309964.0,1515.0,37.33,520.0,461.8
2020-05-22,16280.0,16380.0,16150.0,16219.45,16234.026210299104,3243,1186,52646947.0,1523.0,46.96,230.0,-60.55
2020-05-21,16392.85,16500.0,16266.45,16288.65,16368.763140385896,3006,1163,49204502.0,1049.0,34.9,233.55,-104.2
2020-05-20,16153.65,16592.0,16153.65,16300.2,16401.73117254528,4196,1755,68821664.0,1159.0,27.62,438.35,146.55
2020-05-19,16251.0,16400.0,16120.9,16153.65,16241.906917783412,2761,1322,44843905.0,1176.0,42.59,279.1,-97.35
2020-05-18,16469.85,16469.85,16182.0,16240.2,16272.509502262446,2210,1239,35962246.0,1055.0,47.74,287.85,-229.65
2020-05-15,16555.0,16569.95,16200.0,16420.65,16359.129793724576,13768,2329,225232499.0,2808.0,20.4,369.95,-134.35
2020-05-14,16600.0,16850.0,16202.1,16248.35,16488.21359150154,13273,4403,218848059.0,2738.0,20.63,647.9,-351.65
2020-05-13,17900.0,17900.0,16406.0,16518.7,16852.570074687752,15933,7225,268511999.0,6808.0,42.73,1494.0,-1381.3
2020-05-12,17680.0,17880.2,17387.1,17457.25,17551.872742200325,3654,1653,64134543.0,1200.0,32.84,493.1,-222.75
2020-05-11,17770.0,17915.5,17500.0,17567.35,17733.372306281522,4362,1526,77352970.0,900.0,20.63,415.5,-202.65
