Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,86.95,88.8,86.3,87.6,87.52199499761203,812412,2902,71103919.0,118562.0,14.59,2.5,0.65
2020-10-29,86.75,88.5,86.05,86.45,87.12564617636525,1295312,5096,112854895.0,365017.0,28.18,2.45,-0.3
2020-10-28,89.55,90.65,87.5,88.1,89.25603634826476,1428844,6920,127532952.0,432031.0,30.24,3.15,-1.45
2020-10-27,89.25,90.0,87.1,89.45,88.61370533938074,2465623,6971,218487990.0,622347.0,25.24,2.9,0.2
2020-10-26,86.6,88.0,84.35,85.9,85.96578530516467,1168533,5593,100453857.0,361413.0,30.93,3.65,-0.7
2020-10-23,85.0,86.55,84.5,86.25,85.56285070533394,1229843,5722,105228873.0,439721.0,35.75,2.05,1.25
2020-10-22,82.4,85.7,81.45,84.85,83.2802037344201,1219038,4907,101521733.0,492175.0,40.37,4.25,2.45
2020-10-21,82.0,83.8,80.7,82.3,81.71281213877381,2922338,2289,238792456.0,2127959.0,72.82,3.1,0.3
2020-10-20,81.75,81.85,80.4,80.6,80.92279455298994,481365,2888,38953401.0,137237.0,28.51,1.45,-1.15
2020-10-19,80.8,83.15,80.65,81.75,81.82837807507006,766324,3899,62707050.0,272937.0,35.62,2.5,0.95
2020-10-16,79.15,80.5,78.45,80.35,79.49950071069235,581827,1491,46254956.0,85472.0,14.69,2.05,1.2
2020-10-15,79.0,80.5,78.5,78.95,79.68627362543225,3170524,5279,252647243.0,356334.0,11.24,2.0,-0.05
2020-10-14,82.75,83.1,78.1,79.1,79.08490729544255,5002397,15185,395614103.0,3666296.0,73.29,5.0,-3.65
2020-10-13,82.55,83.4,82.4,82.7,82.85662796805101,220852,986,18299052.0,49525.0,22.42,1.0,0.15
2020-10-12,83.35,84.5,82.5,82.7,83.42134278801794,688195,3706,57410151.0,284598.0,41.35,2.0,-0.65
2020-10-09,83.4,83.4,81.65,82.9,82.51628706979473,368022,1630,30367809.0,104626.0,28.43,1.75,-0.5
2020-10-08,82.8,83.4,82.35,82.55,82.94917113110282,593580,3639,49236969.0,179318.0,30.21,1.05,-0.25
2020-10-07,84.0,84.1,82.5,82.8,83.16490080105767,806309,8152,67056608.0,312958.0,38.81,1.6,-1.2
2020-10-06,85.3,85.3,83.7,84.15,84.01692641723382,424189,1375,35639056.0,84599.0,19.94,1.6,-1.15
2020-10-05,85.0,85.5,83.8,84.35,84.50510404069887,479620,1760,40530338.0,125754.0,26.22,1.7,-0.65
2020-10-01,86.0,86.0,84.5,84.8,84.9345172731728,601945,3305,51125908.0,191540.0,31.82,1.5,-1.2
2020-09-30,85.35,85.85,83.3,85.2,84.49145744372346,651737,5777,55066209.0,153453.0,23.55,2.55,-0.15
2020-09-29,88.05,88.8,84.75,85.25,86.45990538522084,608573,4291,52617164.0,151748.0,24.94,4.05,-2.8
2020-09-28,86.2,88.3,85.3,87.55,87.28575801528561,911446,2948,79556255.0,158378.0,17.38,3.0,1.35
2020-09-25,83.05,85.0,82.45,84.7,83.72173782156109,637787,3361,53396636.0,128041.0,20.08,2.55,1.65
2020-09-24,84.1,85.65,82.1,82.65,83.68914413019691,810649,5288,67842521.0,204860.0,25.27,3.55,-1.45
2020-09-23,87.25,88.15,84.3,85.1,85.21718216195531,1424035,6617,121352250.0,265201.0,18.62,3.85,-2.15
2020-09-22,88.3,89.5,85.25,87.75,87.99218239362102,1473341,5348,129642490.0,312568.0,21.21,4.25,-0.55
2020-09-21,91.3,91.3,87.4,88.3,89.1953345242829,336986,1748,30057579.0,108367.0,32.16,3.9,-3.0
2020-09-18,89.0,91.1,88.9,90.5,89.49034531400441,698987,1978,62552588.0,141415.0,20.23,2.2,1.5
2020-09-17,89.25,89.5,88.25,88.6,88.77044258556103,627856,5010,55735055.0,216131.0,34.42,1.25,-0.65
2020-09-16,92.2,92.2,89.4,89.7,90.24579725699424,581406,2669,52469448.0,146516.0,25.2,2.8,-2.5
2020-09-15,91.1,92.7,90.6,91.0,91.83530247082297,1291513,5368,118606487.0,284832.0,22.05,2.1,-0.1
2020-09-14,90.6,91.95,89.75,90.9,90.89978869637955,756731,3636,68786688.0,204763.0,27.06,2.2,0.3
2020-09-11,92.7,92.7,89.5,90.15,90.10052232894346,403960,1329,36397007.0,47936.0,11.87,3.2,-2.55
2020-09-10,94.0,94.0,89.3,90.55,90.29219434998367,726051,2899,65556738.0,110871.0,15.27,4.7,-3.45
2020-09-09,90.1,91.1,88.5,90.3,89.64961019445643,537704,1862,48204954.0,96411.0,17.93,2.6,0.2
2020-09-08,93.05,93.2,90.45,90.6,91.37557785672541,973641,5891,88967009.0,232894.0,23.92,2.75,-2.45
2020-09-07,95.0,95.95,92.05,92.5,93.21461050910324,834153,6048,77755247.0,212939.0,25.53,3.9,-2.5
2020-09-04,96.5,97.45,94.15,94.8,95.89647124072751,1038552,6326,99593472.0,248094.0,23.89,3.3,-1.7
2020-09-03,99.0,99.65,96.9,97.75,97.99907267901715,531639,3582,52100129.0,163027.0,30.66,2.75,-1.25
2020-09-02,99.9,100.4,98.3,98.95,99.19086290153265,476300,2852,47244608.0,120197.0,25.24,2.1,-0.95
2020-09-01,96.7,101.1,96.5,99.9,99.01640937600204,1602986,6796,158721918.0,284141.0,17.73,4.6,3.2
2020-08-31,102.8,102.8,95.5,96.5,99.22140205459725,624940,3034,62007423.0,150815.0,24.13,7.3,-6.3
2020-08-28,103.4,104.25,101.3,101.5,102.47928468873798,474311,2151,48607052.0,122116.0,25.75,2.95,-1.9
2020-08-27,104.0,104.0,102.0,102.55,102.63485776625174,473903,1698,48638967.0,117589.0,24.81,2.0,-1.45
2020-08-26,104.15,105.0,101.55,102.75,102.97936553219722,914877,3024,94213453.0,190330.0,20.8,3.45,-1.4
2020-08-25,105.75,107.4,102.9,103.75,105.5702251286003,2304816,8894,243319944.0,490386.0,21.28,4.5,-2.0
2020-08-24,107.1,108.0,103.75,105.45,105.40543534087327,5646380,10451,595159142.0,610063.0,10.8,4.25,-1.65
2020-08-21,102.3,107.85,101.7,105.95,105.14809397384913,4037038,17551,424486851.0,1126883.0,27.91,6.15,3.65
2020-08-20,94.5,101.85,94.45,101.15,99.67003481513395,3140301,10696,312993910.0,586388.0,18.67,7.4,6.65
2020-08-19,95.9,96.35,94.25,94.65,95.40388832117164,1168422,6037,111472002.0,474205.0,40.58,2.1,-1.25
2020-08-18,96.35,97.8,94.1,95.1,95.56029004122145,2555223,10751,244177851.0,813594.0,31.84,3.7,-1.25
2020-08-17,89.2,96.35,89.2,95.4,93.74860636056997,8105217,30082,759852798.0,3583378.0,44.21,7.15,6.2
2020-08-14,87.2,89.85,86.85,88.4,88.18675495805195,899446,3161,79319224.0,174333.0,19.38,3.0,1.2
2020-08-13,87.45,87.55,86.5,87.2,87.12111018328385,1009527,5139,87951113.0,557031.0,55.18,1.05,-0.25
2020-08-12,88.85,89.1,87.1,88.85,88.12499603625086,630716,1148,55581845.0,434921.0,68.96,2.0,0.0
2020-08-11,89.5,89.5,87.8,88.15,88.6164217397375,343776,1492,30464199.0,127552.0,37.1,1.7,-1.35
2020-08-10,86.5,88.7,86.3,88.15,87.71667368289056,446584,1534,39172863.0,121889.0,27.29,2.4,1.65
2020-08-07,86.95,86.95,85.4,85.75,85.89305454737159,246593,1230,21180626.0,113454.0,46.01,1.55,-1.2
2020-08-06,86.7,87.4,85.7,86.1,86.52951143030549,237264,1010,20530338.0,47239.0,19.91,1.7,-0.6
2020-08-05,86.0,86.6,85.4,85.9,85.99190724961029,401594,4875,34533834.0,150793.0,37.55,1.2,-0.1
2020-08-04,85.65,86.55,85.35,85.7,85.87250784613528,397648,1481,34147031.0,115593.0,29.07,1.2,0.05
2020-08-03,86.75,87.0,85.05,85.55,85.8427387276952,476411,5057,40896425.0,251606.0,52.81,1.95,-1.2
2020-07-31,86.7,87.55,86.3,87.0,86.80891731080672,1179997,904,102434262.0,1029803.0,87.27,1.25,0.3
2020-07-30,88.2,88.95,86.15,86.6,87.30824289013245,256791,1556,22419971.0,102911.0,40.08,2.8,-1.6
2020-07-29,88.9,89.6,87.95,88.1,88.74861424430682,1188882,1058,105511630.0,56720.0,4.77,1.65,-0.8
2020-07-28,88.45,88.75,86.9,88.55,87.69850583467328,212694,1152,18652946.0,62731.0,29.49,1.85,0.1
2020-07-27,90.0,90.0,87.3,87.65,87.9349471856368,312131,1386,27447223.0,121558.0,38.94,2.7,-2.35
2020-07-24,90.3,90.45,88.55,89.35,89.40897706831247,547016,3840,48908141.0,166663.0,30.47,1.9,-0.95
2020-07-23,90.95,91.55,90.35,90.65,91.00075368606423,685962,3892,62423059.0,310995.0,45.34,1.2,-0.3
2020-07-22,88.65,92.6,88.65,90.4,90.77835486438657,2263862,14565,205509668.0,1081666.0,47.78,3.95,1.75
2020-07-21,88.0,88.7,86.8,88.4,88.35949282818395,3593023,2438,317477690.0,3144606.0,87.52,1.9,0.4
2020-07-20,89.0,89.0,87.0,87.15,87.72841598147221,635586,5841,55758953.0,284244.0,44.72,2.0,-1.85
