Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,2035.0,2064.65,2022.0,2054.35,2040.8033625442256,354434,21010,723330099.0,59640.0,16.83,42.65,19.35
2020-10-29,1999.4,2042.3,1990.75,2026.55,2019.521332692283,384785,24193,777081516.0,61211.0,15.91,51.55,27.15
2020-10-28,2044.0,2057.9,2006.9,2010.7,2031.0902993784925,1519047,23215,3085321626.0,1315250.0,86.58,51.0,-33.3
2020-10-27,2032.0,2060.0,2005.55,2034.2,2026.9179842665246,476055,30069,964924441.0,113652.0,23.87,54.45,2.2
2020-10-26,2101.0,2106.0,2018.45,2028.7,2055.3006641645343,560855,40255,1152725654.0,186620.0,33.27,87.55,-72.3
2020-10-23,2109.0,2134.8,2095.65,2112.55,2121.4285656546062,618540,26760,1312188425.0,272914.0,44.12,39.15,3.55
2020-10-22,2123.0,2133.05,2091.5,2107.1,2107.5275329010556,301966,18851,636401659.0,87555.0,28.99,41.55,-15.9
2020-10-21,2171.1,2191.0,2098.75,2123.25,2146.322554938014,534557,28730,1147331746.0,155664.0,29.12,92.25,-47.85
2020-10-20,2183.7,2193.7,2152.2,2155.5,2163.80482674151,364138,17616,787923562.0,167390.0,45.97,41.5,-28.2
2020-10-19,2192.0,2228.4,2156.0,2175.8,2191.0648418912856,352226,21777,771750005.0,69007.0,19.59,72.4,-16.2
2020-10-16,2214.8,2232.0,2173.05,2175.5,2195.0771945131773,440109,20807,966073229.0,168565.0,38.3,58.95,-39.3
2020-10-15,2291.0,2291.7,2195.1,2205.55,2271.642266139797,1514858,18662,3441215460.0,1322717.0,87.32,96.6,-85.45
2020-10-14,2284.9,2304.2,2269.55,2287.35,2283.9812329905644,306815,15320,700759702.0,99371.0,32.39,34.65,2.45
2020-10-13,2232.2,2285.95,2228.2,2280.25,2256.0561149498253,409570,17920,924012903.0,193512.0,47.25,57.75,48.05
2020-10-12,2233.5,2254.85,2226.85,2236.6,2240.3257983084327,262242,18094,587507518.0,78335.0,29.87,28.0,3.1
2020-10-09,2237.0,2252.65,2217.2,2233.7,2232.2225741094085,305022,15084,680876994.0,145392.0,47.67,35.45,-3.3
2020-10-08,2261.8,2268.0,2222.4,2238.9,2237.6526351960824,419058,18575,937706238.0,158891.0,37.92,45.6,-22.9
2020-10-07,2233.25,2309.4,2221.0,2257.15,2279.770259198442,875121,42725,1995074829.0,217472.0,24.85,88.4,23.9
2020-10-06,2228.0,2234.0,2201.45,2210.15,2213.592802891778,259771,13272,575027216.0,84613.0,32.57,32.55,-17.85
2020-10-05,2246.0,2249.0,2205.5,2211.15,2222.572844135657,393079,18602,873646711.0,151982.0,38.66,43.5,-34.85
2020-10-01,2264.0,2264.0,2213.85,2225.05,2237.6648292306613,285180,14214,638137256.0,81416.0,28.55,50.15,-38.95
2020-09-30,2264.8,2267.55,2225.1,2233.75,2242.730484593353,1560690,16556,3500207040.0,1317210.0,84.4,42.45,-31.05
2020-09-29,2222.0,2264.0,2217.15,2244.85,2243.8699302462132,325287,18492,729901718.0,41399.0,12.73,46.85,22.85
2020-09-28,2229.0,2238.7,2207.25,2215.75,2221.3132308264258,516453,26292,1147203882.0,141025.0,27.31,31.45,-13.25
2020-09-25,2196.0,2212.6,2168.6,2201.7,2189.777977898012,413085,22864,904564436.0,114584.0,27.74,44.0,5.7
2020-09-24,2210.0,2226.0,2175.65,2181.15,2200.695550479296,439081,21729,966283603.0,173631.0,39.54,50.35,-28.85
2020-09-23,2275.0,2276.5,2206.15,2229.55,2241.906789951224,774144,40123,1735558690.0,160960.0,20.79,70.35,-45.45
2020-09-22,2287.0,2287.0,2201.35,2211.15,2222.409499345191,693332,24225,1540867623.0,370132.0,53.38,85.65,-75.85
2020-09-21,2305.0,2336.55,2248.0,2255.15,2297.3209084068353,501009,25843,1150978451.0,172132.0,34.36,88.55,-49.85
2020-09-18,2315.8,2319.6,2277.05,2305.5,2304.813296578438,518389,24971,1194789860.0,231928.0,44.74,42.55,-10.3
2020-09-17,2319.0,2334.4,2293.0,2299.35,2309.8736281188812,421866,17905,974457148.0,130912.0,31.03,41.4,-19.65
2020-09-16,2323.7,2368.8,2311.75,2323.85,2339.942507547874,653164,26455,1528366208.0,174187.0,26.67,57.05,0.15
2020-09-15,2315.0,2326.5,2288.2,2317.9,2308.135212053242,509141,21105,1175166270.0,148557.0,29.18,38.3,2.9
2020-09-14,2319.75,2360.0,2281.95,2302.35,2322.5951407796438,619976,27379,1439953245.0,78561.0,12.67,78.05,-17.4
2020-09-11,2314.65,2337.0,2286.05,2318.85,2318.4673430354683,1330635,58453,3085033793.0,379174.0,28.5,50.95,4.2
2020-09-10,2185.0,2343.9,2176.15,2314.65,2277.884830073209,2449702,98665,5580139024.0,611376.0,24.96,167.75,129.65
2020-09-09,2085.0,2167.2,2085.0,2161.25,2140.038331867832,850676,38623,1820479248.0,312223.0,36.7,82.2,76.25
2020-09-08,2093.8,2120.0,2080.9,2107.05,2109.509444970434,481632,20618,1016007253.0,211381.0,43.89,39.1,13.25
2020-09-07,2080.2,2105.0,2045.35,2082.4,2070.447948215262,625358,36193,1294771188.0,278944.0,44.61,59.65,2.2
2020-09-04,2065.6,2097.0,2065.6,2077.4,2084.3831130237863,461018,28592,960938134.0,138220.0,29.98,31.4,11.8
2020-09-03,2128.0,2137.0,2103.2,2112.15,2113.624779089302,274998,17060,581242587.0,60225.0,21.9,33.8,-15.85
2020-09-02,2095.0,2137.0,2085.5,2128.6,2100.5655855494547,1979773,33347,4158643031.0,1476442.0,74.58,51.5,33.6
2020-09-01,2095.0,2121.75,2063.45,2087.55,2091.518367881236,542387,26465,1134412373.0,75538.0,13.93,58.3,-7.45
2020-08-31,2172.0,2172.0,2061.25,2078.55,2123.5402420816267,770897,35129,1637030802.0,141428.0,18.35,110.75,-93.45
2020-08-28,2120.0,2131.9,2106.2,2115.6,2119.5231645072636,463554,26015,982513441.0,125963.0,27.17,25.7,-4.4
