Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,189.5,191.9,186.25,189.25,189.18985010215525,2520183,21307,476793044.0,435119.0,17.27,5.65,-0.25
2020-10-29,189.1,190.75,186.0,188.8,188.17011259360333,2430067,26215,457265981.0,658235.0,27.09,4.75,-0.3
2020-10-28,195.3,195.3,189.05,190.5,192.23492608384768,2671270,14518,513511391.0,1317469.0,49.32,6.25,-4.8
2020-10-27,196.25,197.5,192.35,194.6,194.77708684639705,2166319,18325,421949304.0,456314.0,21.06,5.15,-1.65
2020-10-26,202.1,204.05,195.7,196.75,199.0251410739146,1682983,10310,334955929.0,334976.0,19.9,8.35,-5.35
2020-10-23,203.8,205.65,201.55,202.75,203.29773701762744,1175440,7982,238964292.0,230293.0,19.59,4.1,-1.05
2020-10-22,201.8,204.55,201.05,203.3,203.05708470384565,2021750,13503,410530661.0,471888.0,23.34,3.5,1.5
2020-10-21,204.95,207.35,198.95,203.85,204.52587285803824,2970758,12866,607596873.0,423230.0,14.25,8.4,-1.1
2020-10-20,200.0,204.4,200.0,203.0,202.69386208620853,2855726,20404,578838132.0,919927.0,32.21,4.4,3.0
2020-10-19,196.5,204.7,196.45,204.05,201.627996692665,2156419,14436,434794443.0,607236.0,28.16,8.25,7.55
2020-10-16,194.8,196.65,191.7,195.8,194.676145111508,1654948,9975,322178897.0,157250.0,9.5,4.95,1.0
2020-10-15,200.95,202.5,192.0,192.85,198.63555340959616,3663733,12619,727747632.0,2048774.0,55.92,10.5,-8.1
2020-10-14,194.05,200.9,193.05,200.05,196.51702140856284,1386548,8972,272480283.0,157918.0,11.39,7.85,6.0
2020-10-13,198.7,200.0,194.5,195.65,197.12442271890257,1874087,9130,369428318.0,213138.0,11.37,5.5,-3.05
2020-10-12,200.05,205.85,197.25,198.65,201.5207742686765,2627770,18547,529550245.0,390135.0,14.85,8.6,-1.4
2020-10-09,191.5,198.7,190.6,198.25,195.09618075995456,2362957,15097,461003886.0,525593.0,22.24,8.1,6.75
2020-10-08,191.55,195.7,190.6,191.5,193.40897043798452,1779378,9790,344147667.0,263053.0,14.78,5.1,-0.05
2020-10-07,192.8,193.0,189.1,190.65,190.9627075574694,1314395,7458,251000428.0,144809.0,11.02,3.9,-2.15
2020-10-06,190.55,192.1,188.3,191.6,190.1971605675413,1158964,6908,220431662.0,156062.0,13.47,3.8,1.05
2020-10-05,191.8,193.7,187.1,188.75,190.60952156250556,2818550,22809,537242467.0,746350.0,26.48,6.6,-3.05
2020-10-01,187.7,191.1,187.0,190.35,189.7272533156047,1732791,10196,328757677.0,342339.0,19.76,4.1,2.65
2020-09-30,185.0,186.8,182.4,185.4,184.94242448999987,1481029,8269,273905094.0,147295.0,9.95,4.4,0.4
2020-09-29,188.6,188.95,183.3,185.0,185.30125912443665,2247673,19020,416496637.0,473211.0,21.05,5.65,-3.6
2020-09-28,184.25,188.0,183.6,187.3,186.31248832631206,1418789,10978,264338109.0,213527.0,15.05,4.4,3.05
2020-09-25,179.05,182.75,176.25,182.2,179.64426549333774,3469104,30787,623204640.0,685231.0,19.75,6.5,3.15
2020-09-24,181.15,181.45,175.55,176.45,178.67285197568856,1696978,15963,303203899.0,700020.0,41.25,5.9,-4.7
2020-09-23,188.8,188.8,181.0,183.8,184.06394442919085,1726374,12931,317763208.0,353649.0,20.48,7.8,-5.0
2020-09-22,186.0,188.25,181.2,186.15,185.04708982660196,2279091,17695,421739157.0,379357.0,16.65,7.05,0.15
2020-09-21,193.0,193.5,184.3,185.8,188.65295074904887,4120225,53052,777292604.0,1328674.0,32.25,9.2,-7.2
2020-09-18,195.75,197.15,189.95,192.6,193.80492696758097,3399860,39948,658909619.0,1185415.0,34.87,7.2,-3.15
2020-09-17,197.0,198.0,195.05,195.5,196.21966857686883,2136423,25485,419208213.0,618489.0,28.95,2.95,-1.5
2020-09-16,199.9,200.0,196.3,198.25,198.24012507821513,1817103,11253,360222726.0,361150.0,19.88,3.7,-1.65
2020-09-15,199.65,201.0,197.15,200.15,199.04286802149537,2770830,22129,551513950.0,538088.0,19.42,3.85,0.5
2020-09-14,206.2,206.2,197.5,198.55,202.0838772649348,2207845,16228,446169878.0,512604.0,23.22,8.7,-7.65
2020-09-11,198.3,203.8,197.0,202.7,199.8465784710552,2162995,15857,432267150.0,252913.0,11.69,6.8,4.4
2020-09-10,197.9,201.4,195.25,198.15,198.55259492757398,4073948,38659,808892947.0,757422.0,18.59,6.15,0.25
2020-09-09,200.55,202.0,192.7,194.9,195.69837385692284,2666924,23305,521912690.0,812060.0,30.45,9.3,-5.65
2020-09-08,207.9,209.45,203.0,204.0,206.5255841374997,1253472,9825,258874037.0,230032.0,18.35,6.45,-3.9
2020-09-07,206.2,209.55,205.4,207.9,207.59007423466915,2538706,23270,527010167.0,676994.0,26.67,4.15,1.7
2020-09-04,209.35,212.3,205.85,206.65,208.5649323715674,3073929,31609,641113794.0,812845.0,26.44,6.45,-2.7
2020-09-03,217.8,218.15,212.4,213.15,214.61809582156675,1237258,8844,265537956.0,281868.0,22.78,5.75,-4.65
2020-09-02,218.4,219.0,212.4,216.2,214.74128159449464,1596995,11348,342940753.0,233440.0,14.62,6.6,-2.2
2020-09-01,212.15,218.9,211.6,218.1,215.52801371169798,4764399,36219,1026861453.0,1125351.0,23.62,7.3,5.95
2020-08-31,231.15,232.0,210.35,212.15,219.73967438783836,5392489,33150,1184943777.0,1174089.0,21.77,21.65,-19.0
2020-08-28,216.5,225.9,216.5,224.85,222.06841771905832,6095877,52844,1353701760.0,2055614.0,33.72,9.4,8.35
2020-08-27,210.1,216.6,210.1,215.75,214.39942007048367,3681137,22097,789233638.0,705509.0,19.17,6.5,5.65
2020-08-26,208.0,210.35,206.05,209.85,208.5068830074778,4326815,35302,902170709.0,1651751.0,38.17,4.3,1.85
2020-08-25,204.0,208.5,203.0,208.0,206.36646961107405,5038003,29366,1039674893.0,1285846.0,25.52,5.5,4.0
2020-08-24,200.25,202.75,198.7,201.4,200.7607753238459,2098220,14701,421240274.0,412843.0,19.68,4.05,1.15
2020-08-21,198.0,201.5,197.5,198.35,199.65371555685232,2789851,16039,557004118.0,498179.0,17.86,4.0,0.35
2020-08-20,194.05,196.3,193.0,194.7,194.98834567552987,2750996,20906,536412159.0,588835.0,21.4,3.3,0.65
2020-08-19,196.0,200.2,196.0,197.1,198.51723501898056,2314996,15014,459566605.0,341264.0,14.74,4.2,1.1
2020-08-18,193.3,195.75,191.8,195.1,193.68150550998467,1997011,12138,386784097.0,339586.0,17.0,3.95,1.8
2020-08-17,198.6,198.7,191.5,193.05,193.38187560653446,2340139,16608,452540469.0,719668.0,30.75,7.2,-5.55
2020-08-14,203.0,204.0,194.65,196.45,199.1876675706163,3385513,17995,674352438.0,729158.0,21.54,9.35,-6.55
2020-08-13,205.5,207.4,200.75,201.85,203.92080123946877,4484502,35270,914483241.0,1222566.0,27.26,6.65,-3.65
2020-08-12,196.1,204.25,194.6,203.35,201.66286396200525,10970788,78217,2212400528.0,3764443.0,34.31,9.65,7.25
2020-08-11,195.4,196.8,193.6,195.1,195.09725165701892,2072849,9798,404407143.0,379077.0,18.29,3.2,-0.3
2020-08-10,191.75,195.4,191.55,193.8,194.07350770428528,2556045,11523,496060619.0,472481.0,18.48,3.85,2.05
2020-08-07,191.8,192.05,189.6,190.65,190.9061516728566,1790261,12243,341771838.0,317700.0,17.75,2.45,-1.15
2020-08-06,192.55,194.4,190.35,190.95,192.41719519791965,3957035,26925,761401576.0,694778.0,17.56,4.05,-1.6
2020-08-05,192.35,196.85,191.05,191.5,194.08681058022032,5823357,38357,1130236787.0,1518934.0,26.08,5.8,-0.85
2020-08-04,192.7,193.85,190.5,191.65,191.8380238087376,1938112,10011,371803576.0,353447.0,18.24,3.35,-1.05
