Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,21650.0,22047.25,21536.7,21649.6,21802.359009628603,1454,675,31700630.0,411.0,28.27,510.55,-0.4
2020-10-29,20720.05,21800.0,20720.05,21678.05,21484.18133616119,943,519,20259583.0,157.0,16.65,1079.95,958.0
2020-10-28,21601.0,21788.0,21248.7,21349.6,21475.877012675573,2919,1099,62688085.0,635.0,21.75,539.3,-251.4
2020-10-27,20630.0,22032.2,20410.3,21846.6,21482.622759369908,3682,1572,79099017.0,1074.0,29.17,1621.9,1216.6
2020-10-26,20745.0,20863.6,20103.1,20402.2,20352.783043862233,3397,1276,69138404.0,416.0,12.25,760.5,-342.8
2020-10-23,21129.35,21129.35,20273.75,20537.75,20637.29541108986,1046,469,21586611.0,244.0,23.33,855.6,-591.6
2020-10-22,21261.55,21301.7,20919.8,20978.05,21039.14018691589,535,277,11255940.0,146.0,27.29,381.9,-283.5
2020-10-21,21395.95,21395.95,20701.25,21124.1,21142.970588235294,374,249,7907471.0,63.0,16.84,694.7,-271.85
2020-10-20,21217.3,21548.4,21066.4,21150.45,21284.65235294118,1700,675,36183909.0,351.0,20.65,482.0,-66.85
2020-10-19,21163.3,21387.9,21029.0,21096.1,21232.97701149425,435,295,9236345.0,120.0,27.59,358.9,-67.2
2020-10-16,20849.8,21310.0,20641.35,21163.3,20975.563822963442,1559,751,32700904.0,475.0,30.47,668.65,313.5
2020-10-15,21209.5,21254.7,20508.85,20652.9,20906.912872841447,1274,391,26635407.0,184.0,14.44,745.85,-556.6
2020-10-14,21075.0,21250.0,20679.65,21128.35,20962.091258405377,1041,516,21821537.0,80.0,7.68,570.35,53.35
2020-10-13,21300.0,21699.85,20900.0,21068.95,21371.523612750887,1694,896,36203361.0,487.0,28.75,799.85,-231.05
2020-10-12,21290.0,21379.75,20861.9,20946.45,21080.460162601623,615,376,12964483.0,98.0,15.93,517.85,-343.55
2020-10-09,20745.0,21257.2,20745.0,21191.2,21076.51206715635,953,517,20085916.0,344.0,36.1,512.2,446.2
2020-10-08,20790.0,20828.1,20488.1,20725.7,20630.20440251573,1590,769,32802025.0,832.0,52.33,340.0,-64.3
2020-10-07,20279.3,20800.0,20164.35,20714.85,20572.61163895487,842,520,17322139.0,210.0,24.94,635.65,435.55
2020-10-06,20050.0,20445.9,20009.75,20291.6,20224.453666856163,1759,626,35574814.0,322.0,18.31,436.15,241.6
2020-10-05,20500.05,20700.05,19973.55,20135.25,20423.881738800304,5268,1435,107593009.0,1401.0,26.59,726.5,-364.8
2020-10-01,20210.0,20650.0,20210.0,20614.0,20506.289430125325,4229,1466,86721098.0,1108.0,26.2,440.0,404.0
2020-09-30,19832.75,20526.95,19688.5,20257.55,20292.608074011776,4756,1222,96511644.0,395.0,8.31,838.45,424.8
2020-09-29,19655.9,19969.0,19348.35,19832.75,19724.4771842943,2827,1412,55761097.0,542.0,19.17,620.65,176.85
2020-09-28,19164.15,19654.8,19103.3,19541.85,19385.3023715415,506,321,9808963.0,121.0,23.91,551.5,377.7
2020-09-25,18485.35,19140.0,18380.0,19001.5,18786.028378378367,740,405,13901661.0,136.0,18.38,760.0,516.15
2020-09-24,18650.0,18813.25,18214.4,18336.85,18504.204887218046,1064,667,19688474.0,191.0,17.95,598.85,-313.15
2020-09-23,18900.0,19068.0,18550.05,18968.05,18719.186248331105,1498,471,28041341.0,204.0,13.62,517.95,68.05
