Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,459.5,468.85,455.9,465.75,462.334654416133,245758,6145,113622440.0,52243.0,21.26,12.95,6.25
2020-10-29,460.2,463.8,452.6,456.75,458.3982340046022,146886,3736,67332283.0,42161.0,28.7,11.2,-3.45
2020-10-28,472.3,475.5,461.6,463.35,469.1237123555392,649830,8210,304850662.0,512458.0,78.86,13.9,-8.95
2020-10-27,475.7,476.0,467.35,470.7,470.61059295927254,141207,3342,66453510.0,42543.0,30.13,8.65,-5.0
2020-10-26,484.55,487.35,471.15,474.45,478.10059733610365,134765,3212,64431227.0,38476.0,28.55,16.2,-10.1
2020-10-23,489.6,494.4,482.8,484.35,488.5242193262847,235886,5595,115236024.0,59288.0,25.13,11.6,-5.25
2020-10-22,485.7,490.1,481.95,485.65,485.1104865365587,94998,2108,46084526.0,23822.0,25.08,8.15,-0.05
2020-10-21,488.0,491.9,481.5,489.7,487.1463585287476,238681,6317,116272580.0,92087.0,38.58,10.4,1.7
2020-10-20,485.0,488.5,480.45,486.4,485.9162647328555,117764,2145,57223443.0,26548.0,22.54,8.05,1.4
2020-10-19,491.0,491.0,481.0,483.6,484.79978047520643,108416,2659,52560053.0,30404.0,28.04,10.0,-7.4
2020-10-16,494.0,494.25,485.4,486.85,488.92424194871745,223039,5949,109049174.0,52730.0,23.64,8.85,-7.15
2020-10-15,503.0,504.5,489.25,490.4,499.47496251615684,580250,3434,289820347.0,478707.0,82.5,15.25,-12.6
2020-10-14,503.2,508.0,493.4,502.0,499.6522269104548,234630,6642,117233402.0,63005.0,26.85,14.6,-1.2
2020-10-13,513.0,519.95,502.0,503.2,510.55600110811014,144390,3214,73719181.0,31332.0,21.7,17.95,-9.8
2020-10-12,513.25,517.1,509.3,513.85,512.7467443244474,228524,5049,117174937.0,82242.0,35.99,7.8,0.6
2020-10-09,527.0,529.4,511.3,513.15,518.4628640024783,206592,4075,107110280.0,33672.0,16.3,18.1,-13.85
2020-10-08,512.2,526.0,512.05,524.05,519.9208298735116,248086,5893,128985079.0,68343.0,27.55,13.95,11.85
2020-10-07,521.0,522.8,509.75,511.65,513.9806847355998,174111,4133,89489691.0,42834.0,24.6,13.05,-9.35
