Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,132.9,134.5,130.3,132.7,132.4636090204721,3535203,18730,468285748.0,651084.0,18.42,4.2,-0.2
2020-10-29,132.4,133.0,130.0,131.9,131.46890677544206,3900882,25915,512844692.0,916335.0,23.49,3.0,-0.5
2020-10-28,138.2,143.15,133.5,134.8,138.84932478432765,10895926,67948,1512891968.0,3040571.0,27.91,9.65,-3.4
2020-10-27,134.0,136.8,131.0,135.7,134.38018413021447,2354638,12645,316416688.0,349389.0,14.84,5.8,1.7
2020-10-26,139.4,140.75,131.2,133.65,135.68080232064437,6481648,37408,879435201.0,1296338.0,20.0,9.55,-5.75
2020-10-23,134.85,138.9,134.15,137.0,136.66226064490482,3019050,20661,412590198.0,494597.0,16.38,4.75,2.15
2020-10-22,129.05,134.5,128.45,133.45,131.82912076058753,3949368,28199,520641711.0,1584078.0,40.11,6.05,4.4
2020-10-21,131.25,133.0,128.25,130.25,131.14071726968672,3493665,22814,458161734.0,1088569.0,31.16,4.75,-1.0
2020-10-20,128.0,130.25,126.4,129.65,127.99384742482155,2072303,16666,265242034.0,679482.0,32.79,3.85,1.65
2020-10-19,130.7,130.7,127.85,128.25,128.77766233641586,1667032,13096,214676484.0,483445.0,29.0,2.85,-2.45
2020-10-16,129.8,130.0,126.0,127.7,127.69056787603922,3339831,22617,426464917.0,821024.0,24.58,4.0,-2.1
2020-10-15,131.9,134.35,126.5,127.0,130.70786384855728,3983711,31161,520702355.0,891988.0,22.39,7.85,-4.9
2020-10-14,134.0,134.6,128.8,130.7,130.73952771329698,1752029,16735,229059444.0,474297.0,27.07,5.8,-3.3
2020-10-13,135.55,137.1,132.85,134.1,134.84763437972524,1370296,8318,184781174.0,183898.0,13.42,4.25,-1.45
2020-10-12,139.55,139.85,133.05,135.85,135.7306336411481,2787824,22863,378393118.0,549910.0,19.73,6.8,-3.7
2020-10-09,141.4,142.65,138.0,138.45,139.58078460318606,1423879,8720,198746148.0,338961.0,23.81,4.65,-2.95
2020-10-08,142.8,143.35,139.65,140.9,141.31807440264132,2491175,18636,352048054.0,618055.0,24.81,3.7,-1.9
2020-10-07,144.1,144.5,139.8,141.0,142.02247031359497,4032654,25576,572727483.0,945070.0,23.44,4.7,-3.1
2020-10-06,137.8,145.7,135.9,144.85,142.8317164040702,10190922,67155,1455586881.0,2897699.0,28.43,9.8,7.05
2020-10-05,137.0,137.5,132.05,133.9,134.46158397859088,2800303,18755,376533177.0,550030.0,19.64,5.45,-3.1
2020-10-01,135.7,136.5,132.6,133.5,134.80269257025725,1674311,8140,225701631.0,185679.0,11.09,3.9,-2.2
2020-09-30,133.0,134.4,130.5,133.3,132.71094510920744,1485659,8454,197163210.0,138469.0,9.32,3.9,0.3
2020-09-29,135.2,136.1,130.75,131.7,132.77835667080126,3460244,14571,459445512.0,318927.0,9.22,5.35,-3.5
2020-09-28,129.25,134.3,127.4,132.85,132.31232336769344,4486014,23797,593554935.0,666760.0,14.86,6.9,3.6
2020-09-25,125.0,128.35,123.1,127.35,126.00582320107156,3392464,16069,427470219.0,385180.0,11.35,5.25,2.35
2020-09-24,127.8,128.8,122.15,122.8,125.30338759882355,2622477,14285,328605252.0,521938.0,19.9,6.65,-5.0
2020-09-23,135.95,136.8,128.0,131.35,132.28633174444772,3255741,17134,430690034.0,446284.0,13.71,8.8,-4.6
