Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,403.1,413.0,395.25,410.35,405.2815658408528,500153,6861,202702791.0,34461.0,6.89,17.75,7.25
2020-10-29,399.1,405.05,395.55,401.25,400.33343258248675,560878,9338,224538215.0,150664.0,26.86,9.5,2.15
2020-10-28,411.05,418.0,400.5,402.3,407.8977287161145,598340,10077,244061527.0,115710.0,19.34,17.5,-8.75
2020-10-27,407.2,416.7,403.5,411.0,411.60894633575435,406714,6512,167407121.0,46710.0,11.48,13.2,3.8
2020-10-26,424.2,424.2,404.4,408.1,410.71592520562376,493620,6952,202737595.0,77166.0,15.63,19.8,-16.1
2020-10-23,412.0,425.9,412.0,423.35,420.52928137320725,1161660,19213,488512045.0,334647.0,28.81,13.9,11.35
2020-10-22,402.8,413.35,400.1,409.95,408.1286308019168,515864,7492,210538868.0,47891.0,9.28,13.25,7.15
2020-10-21,395.5,407.8,394.6,403.9,402.37358982867704,834739,12597,335876928.0,119732.0,14.34,13.2,8.4
2020-10-20,393.3,397.4,389.75,392.0,392.87116046032827,252081,4255,99035355.0,32256.0,12.8,7.65,-1.3
2020-10-19,396.6,400.0,391.55,395.3,395.88183518229494,568968,10263,225244096.0,156349.0,27.48,8.45,-1.3
2020-10-16,375.6,395.75,375.45,393.85,387.24647425071845,941502,12826,364593330.0,149828.0,15.91,20.3,18.25
2020-10-15,380.45,388.5,371.6,373.75,381.35446798584724,1577646,21507,601642351.0,268574.0,17.02,16.9,-6.7
2020-10-14,371.4,377.0,369.75,375.55,372.585498862959,362344,5277,135004120.0,58360.0,16.11,7.25,4.15
2020-10-13,372.5,376.3,361.75,367.5,370.7117465283814,517770,4627,191943421.0,70792.0,13.67,14.55,-5.0
2020-10-12,374.55,377.2,362.55,371.0,368.75093813256444,638769,8541,235546668.0,84075.0,13.16,14.65,-3.55
2020-10-09,375.2,386.9,367.3,369.75,378.09957521800203,601485,8126,227421223.0,85680.0,14.24,19.6,-5.45
2020-10-08,372.25,382.9,371.9,373.55,377.53850784474304,368782,5097,139229406.0,45429.0,12.32,11.0,1.3
2020-10-07,378.5,379.05,369.7,370.8,373.4199099935565,197097,3069,73599944.0,53580.0,27.18,9.35,-7.7
2020-10-06,385.2,387.0,373.2,377.35,378.8121663722655,412136,5207,156122131.0,70719.0,17.16,13.8,-7.85
2020-10-05,369.0,385.25,369.0,382.15,380.8554362002954,903186,13381,343983298.0,237325.0,26.28,16.25,13.15
2020-10-01,364.9,370.15,363.45,364.95,366.71273122959735,246292,3794,90318412.0,35019.0,14.22,6.7,0.05
2020-09-30,371.5,371.5,358.0,359.75,363.32575757575756,315876,4813,114765887.0,57815.0,18.3,13.5,-11.75
2020-09-29,363.6,371.6,361.8,370.0,366.7780337171589,398966,6120,146331965.0,37171.0,9.32,9.8,6.4
2020-09-28,359.0,364.85,356.0,360.95,360.37439049112805,374892,5577,135101476.0,41310.0,11.02,8.85,1.95
2020-09-25,348.95,355.8,344.4,351.9,350.6038778794252,315688,5376,110681437.0,43462.0,13.77,11.4,2.95
2020-09-24,359.0,359.0,343.0,343.85,349.53422222222224,380250,7079,132910388.0,81631.0,21.47,16.0,-15.15
2020-09-23,376.0,377.55,356.7,361.25,362.46590209164475,670525,11750,243042449.0,128809.0,19.21,20.85,-14.75
2020-09-22,374.9,378.65,358.2,374.2,369.8703187446141,602269,10236,222761427.0,63336.0,10.52,20.45,-0.7
2020-09-21,395.25,399.0,371.0,373.25,383.171747846453,503820,7916,193049590.0,123613.0,24.54,28.0,-22.0
2020-09-18,402.0,405.5,393.45,395.3,400.148023005497,464063,6419,185693892.0,94868.0,20.44,12.05,-6.7
2020-09-17,404.0,407.4,393.4,398.7,398.8178269842245,374567,6352,149383997.0,55338.0,14.77,14.0,-5.3
2020-09-16,406.9,410.0,402.6,404.55,405.66238588812234,197394,3756,80075321.0,41300.0,20.92,7.4,-2.35
2020-09-15,407.0,410.3,403.7,405.25,406.61571493059466,354440,4094,144120874.0,58160.0,16.41,6.6,-1.75
2020-09-14,409.05,414.0,402.3,404.2,407.65562207035066,332591,5370,135582591.0,72944.0,21.93,11.7,-4.85
2020-09-11,409.95,412.3,402.6,407.4,407.0969572174825,335581,5346,136614004.0,45598.0,13.59,9.7,-2.55
2020-09-10,424.0,425.65,401.25,407.9,412.10706393662,844430,11291,347995568.0,125284.0,14.84,24.4,-16.1
2020-09-09,397.75,420.0,386.7,417.25,406.5988079913369,1213414,13445,493372686.0,84541.0,6.97,33.3,19.5
2020-09-08,425.0,425.45,402.3,404.95,413.4054650193284,395790,5767,163621749.0,79250.0,20.02,23.15,-20.05
2020-09-07,425.5,428.25,418.55,422.4,423.1309352970548,254347,3981,107622084.0,30087.0,11.83,9.7,-3.1
2020-09-04,427.05,433.75,419.15,421.3,427.4989864089197,357146,5380,152679553.0,66248.0,18.55,14.6,-5.75
2020-09-03,441.65,443.75,436.0,437.85,439.00326314164226,336792,5461,147852787.0,82802.0,24.59,7.75,-3.8
2020-09-02,429.0,441.55,427.15,438.85,434.2577462960559,539290,9103,234190860.0,210223.0,38.98,14.4,9.85
2020-09-01,413.0,432.4,412.0,429.0,422.4255054731178,645336,10701,272606386.0,169954.0,26.34,20.4,16.0
2020-08-31,426.1,430.05,410.5,413.2,420.1611779458517,531909,7178,223487512.0,83887.0,15.77,19.55,-12.9
2020-08-28,429.8,437.9,423.1,424.1,429.1712960724009,765073,7825,328347371.0,102688.0,13.42,14.8,-5.7
2020-08-27,425.1,430.2,423.1,426.85,426.0113386121913,277459,4164,118200680.0,44228.0,15.94,7.1,1.75
2020-08-26,424.9,427.55,422.15,424.95,424.74052425470416,293407,4851,124621843.0,73715.0,25.12,5.4,0.05
2020-08-25,430.6,432.5,421.5,424.05,426.0764590723512,358584,5082,152784201.0,69508.0,19.38,11.0,-6.55
2020-08-24,431.55,437.5,428.05,429.45,431.8266379804782,378347,5804,163380313.0,104975.0,27.75,9.45,-2.1
2020-08-21,436.7,442.0,426.6,428.9,435.4718935808761,593352,7086,258388119.0,70057.0,11.81,15.4,-7.8
2020-08-20,425.0,438.25,423.05,432.4,432.512526758047,663819,9751,287110033.0,133163.0,20.06,15.2,7.4
2020-08-19,435.0,435.5,429.0,431.8,431.5905216914565,561788,8936,242462376.0,112133.0,19.96,6.5,-3.2
2020-08-18,422.1,436.5,419.9,434.75,428.74347931291516,719096,9956,308307721.0,112618.0,15.66,16.6,12.65
2020-08-17,418.5,429.0,414.2,424.95,423.7162666247834,713092,9836,302148680.0,68916.0,9.66,14.8,6.45
2020-08-14,408.8,430.8,408.8,418.45,420.03214222553095,2482311,28623,1042650407.0,325352.0,13.11,22.0,9.65
2020-08-13,417.05,421.65,408.95,413.25,413.4871448764658,753435,9718,311535687.0,163907.0,21.75,12.7,-3.8
2020-08-12,414.45,417.45,407.55,414.75,412.7954658806396,401004,5513,165532633.0,52911.0,13.19,9.9,0.3
2020-08-11,413.5,427.5,412.5,416.45,421.1359228754288,925775,11912,389877109.0,110814.0,11.97,15.0,2.95
2020-08-10,404.6,411.45,399.6,410.15,406.2685368599252,458384,6599,186226997.0,56520.0,12.33,11.85,5.55
2020-08-07,395.3,406.75,393.25,404.0,402.23899249122815,752986,11604,302880330.0,126582.0,16.81,13.5,8.7
