Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,1178.0,1187.8,1159.5,1164.9,1169.0434625907178,61041,2214,71359582.0,8962.0,14.68,28.3,-13.1
2020-10-29,1199.95,1199.95,1155.5,1177.5,1179.248185536301,169196,9478,199524076.0,18293.0,10.81,44.45,-22.45
2020-10-28,1242.0,1242.0,1186.0,1217.9,1220.246315558538,309952,9932,378217786.0,152354.0,49.15,56.0,-24.1
2020-10-27,1220.7,1236.0,1214.05,1232.65,1226.23392275477,42980,2721,52703534.0,11558.0,26.89,21.95,11.95
2020-10-26,1245.1,1248.4,1210.55,1216.0,1226.1574275468818,34022,2623,41716328.0,10074.0,29.61,37.85,-29.1
2020-10-23,1241.8,1247.15,1234.25,1241.9,1241.9553213279848,46868,3077,58207962.0,14445.0,30.82,12.9,0.1
2020-10-22,1236.2,1253.0,1220.25,1229.6,1243.917692554117,87404,4744,108723382.0,45892.0,52.51,32.75,-6.6
2020-10-21,1240.0,1256.0,1229.6,1244.95,1245.826976744186,49450,2498,61606144.0,8261.0,16.71,26.4,4.95
2020-10-20,1227.0,1245.0,1218.0,1233.0,1236.0042483660127,45900,2260,56732595.0,5527.0,12.04,27.0,6.0
2020-10-19,1234.0,1234.0,1213.05,1228.75,1222.8226846969792,32242,1798,39426249.0,5437.0,16.86,20.95,-5.25
2020-10-16,1234.0,1239.5,1216.25,1223.1,1228.1271304966222,42185,2113,51808543.0,5841.0,13.85,23.25,-10.9
2020-10-15,1220.5,1237.0,1210.75,1213.35,1223.4046520832378,65691,2770,80366675.0,8738.0,13.3,26.25,-7.15
2020-10-14,1224.0,1248.45,1218.0,1223.35,1232.4428401925104,150018,5080,184888610.0,57692.0,38.46,30.45,-0.65
2020-10-13,1260.0,1281.6,1222.25,1229.75,1249.537467154345,151466,6807,189262442.0,38295.0,25.28,59.35,-30.25
2020-10-12,1265.0,1277.25,1236.2,1257.1,1248.8537886873003,72149,2844,90103552.0,12654.0,17.54,41.05,-7.9
