Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2020-10-30,340.0,345.0,338.6,340.65,341.328090940263,326632,6483,111488677.0,84444.0,25.85,6.4,0.65
2020-10-29,333.75,339.8,331.2,337.55,335.7105713537448,164189,3186,55119983.0,35214.0,21.45,8.6,3.8
2020-10-28,335.0,339.8,334.45,335.6,335.54373652316696,855635,7257,287102965.0,614107.0,71.77,5.35,0.6
2020-10-27,338.1,339.55,331.15,334.15,333.5588841830625,279795,4924,93328108.0,149156.0,53.31,8.4,-3.95
2020-10-26,343.3,344.85,336.7,339.7,341.2763804197899,320446,7131,109360651.0,106228.0,33.15,8.15,-3.6
2020-10-23,346.1,347.75,341.3,342.4,344.4151466215801,276801,6281,95334457.0,101600.0,36.7,6.45,-3.7
2020-10-22,340.5,348.3,340.5,344.55,344.40186813186807,318500,7543,109691995.0,94877.0,29.79,7.8,4.05
2020-10-21,349.6,350.15,339.1,343.5,345.06617308930373,413174,9229,142572371.0,123723.0,29.94,11.05,-6.1
2020-10-20,344.5,349.5,342.25,346.75,347.0714592767406,579239,10208,201037325.0,149721.0,25.85,7.25,2.25
2020-10-19,343.0,346.4,338.75,343.25,342.965895672914,339605,5256,116472933.0,64811.0,19.08,7.65,0.25
2020-10-16,342.9,348.1,338.85,339.55,342.5312655125451,707089,8933,242200090.0,77772.0,11.0,9.25,-3.35
2020-10-15,350.6,354.1,339.2,341.5,346.14306365206244,1461021,14370,505722285.0,659311.0,45.13,14.9,-9.1
2020-10-14,366.6,366.6,348.5,350.15,353.64235213164966,2098539,29023,742132268.0,367482.0,17.51,18.1,-16.45
2020-10-13,378.0,381.7,373.0,375.75,376.65140299382324,1576379,20031,593745362.0,351012.0,22.27,8.7,-2.25
2020-10-12,378.0,379.7,369.5,377.55,375.4206438996288,2305204,29813,865421170.0,474894.0,20.6,10.2,-0.45
2020-10-09,363.0,375.85,355.0,374.1,365.717465002895,2217612,29762,811019439.0,444777.0,20.06,20.85,11.1
2020-10-08,348.7,367.75,346.8,359.45,357.4696906583497,2866410,34268,1024654696.0,308226.0,10.75,20.95,10.75
2020-10-07,329.0,336.5,325.55,335.25,330.7747475444,522072,6385,172688234.0,105068.0,20.13,10.95,6.25
2020-10-06,333.15,335.95,323.0,330.0,328.08970512764114,1022985,13948,335630847.0,373237.0,36.48,12.95,-3.15
2020-10-05,315.75,335.9,315.45,334.05,329.1667014258248,1620676,21627,533472573.0,672714.0,41.51,20.45,18.3
2020-10-01,315.25,317.75,312.05,313.0,314.7224710630183,248039,4651,78063447.0,70196.0,28.3,5.7,-2.25
2020-09-30,313.7,315.7,309.65,313.6,311.4130043095632,777573,3265,242146344.0,564506.0,72.6,6.05,-0.1
2020-09-29,312.55,318.5,310.5,311.4,313.81759274395847,354794,4356,111340599.0,43931.0,12.38,8.0,-1.15
2020-09-28,315.7,317.0,309.65,311.55,312.75658430082643,349012,7015,109155801.0,65335.0,18.72,7.35,-4.15
2020-09-25,306.45,315.0,304.3,313.9,309.8423993985221,417638,6311,129401960.0,55617.0,13.32,10.7,7.45
2020-09-24,314.25,314.25,302.15,304.6,309.4645190402663,709155,4570,219458311.0,48795.0,6.88,12.1,-9.65
2020-09-23,315.0,321.7,311.2,314.5,316.6340302195776,650704,10154,206035030.0,122860.0,18.88,10.5,-0.5
2020-09-22,315.25,318.7,303.75,312.25,310.97026840066405,1228760,16060,382107827.0,234476.0,19.08,14.95,-3.0
2020-09-21,316.45,324.55,310.05,311.95,318.570991160551,800163,16023,254908720.0,208046.0,26.0,14.5,-4.5
2020-09-18,314.55,318.85,312.45,316.5,316.3585560782177,407529,5838,128925286.0,82930.0,20.35,6.4,1.95
2020-09-17,307.0,316.7,307.0,311.65,313.2500934721057,607133,7502,190184469.0,123832.0,20.4,9.7,4.65
2020-09-16,307.0,313.45,304.1,312.1,308.23202768310966,649638,8287,200239238.0,326470.0,50.25,9.35,5.1
2020-09-15,307.4,311.15,302.75,307.3,307.431015720191,752599,10305,231372275.0,133142.0,17.69,8.4,-0.1
2020-09-14,294.0,308.3,293.05,307.15,302.13267346412806,1187306,13361,358723936.0,359324.0,30.26,15.25,13.15
2020-09-11,282.65,298.3,282.65,293.05,293.3960475369902,1548857,21060,454428522.0,571584.0,36.9,15.65,10.4
2020-09-10,286.1,286.95,281.2,284.95,283.87330590994003,201288,3055,57140290.0,51481.0,25.58,5.75,-1.15
2020-09-09,280.4,289.3,278.9,282.75,284.08318752957337,636129,6399,180713554.0,83946.0,13.2,10.4,2.35
2020-09-08,282.0,286.9,278.6,282.25,283.80767375608576,530744,6399,150629220.0,104899.0,19.76,8.3,0.25
2020-09-07,277.0,279.5,271.75,278.65,275.68495244071795,172101,2514,47445656.0,39407.0,22.9,7.75,1.65
2020-09-04,279.0,279.7,275.35,276.0,276.621599407782,906423,7408,250736180.0,663969.0,73.25,4.35,-3.0
2020-09-03,274.6,287.35,274.0,282.65,281.96476198295846,1254469,16047,353716053.0,654912.0,52.21,13.35,8.05
2020-09-02,272.4,276.4,271.3,273.8,273.763307174136,208722,3380,57140425.0,67616.0,32.4,5.1,1.4
2020-09-01,270.0,279.35,269.1,271.75,273.76937122263155,627090,9267,171678035.0,315414.0,50.3,10.25,1.75
2020-08-31,275.0,282.0,269.65,271.4,277.0495768300022,546707,6253,151464943.0,191861.0,35.09,12.35,-3.6
2020-08-28,274.05,274.95,271.5,271.95,273.0872146873967,120920,1701,33021706.0,41095.0,33.99,3.45,-2.1
2020-08-27,273.0,275.2,271.2,271.9,272.52065036294067,358323,2404,97650417.0,193248.0,53.93,4.0,-1.1
2020-08-26,270.0,274.55,269.0,272.0,272.1689940682155,501704,3381,136548273.0,186643.0,37.2,5.55,2.0
2020-08-25,275.0,275.0,269.5,269.9,270.99026896219357,195046,3122,52855568.0,68219.0,34.98,5.5,-5.1
2020-08-24,275.0,275.5,271.8,272.7,272.8748842229629,274234,5564,74831571.0,129125.0,47.09,3.7,-2.3
2020-08-21,277.5,278.15,272.75,273.35,275.41978879964046,356060,6732,98065970.0,131861.0,37.03,5.4,-4.15
2020-08-20,279.0,279.0,273.6,274.25,275.0872203476337,246869,3728,67910507.0,97643.0,39.55,5.4,-4.75
2020-08-19,284.2,285.7,279.15,279.6,282.02856854526425,426098,4648,120171809.0,217609.0,51.07,6.55,-4.6
2020-08-18,284.2,287.25,281.85,282.55,284.1699206301949,453447,7083,128855998.0,167222.0,36.88,5.4,-1.65
