Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-October-2020,182.00,189.60,180.55,187.85,185.398168661614110363,898687,7141,166614924.00,83466,9.29,9.05,5.85
29-October-2020,179.50,181.45,176.30,179.05,179.520194857771765744,825012,8113,148106315.00,149520,18.12,5.15,-0.45
28-October-2020,187.00,187.00,180.50,181.50,183.223734506023965643,368611,5094,67538284.00,65629,17.80,6.50,-5.50
27-October-2020,178.00,189.50,177.95,187.60,184.778129338103512524,732607,7661,135369751.00,124031,16.93,11.55,9.60
26-October-2020,186.40,187.95,176.15,176.65,179.555884285213735108,456640,5426,81992399.00,110143,24.12,11.80,-9.75
23-October-2020,185.00,187.60,183.55,185.80,186.073635196621318809,921543,9658,171474856.00,379845,41.22,4.05,0.80
22-October-2020,180.90,185.55,180.90,183.55,183.412797838508498147,880133,9238,161427656.00,298081,33.87,4.65,2.65
21-October-2020,185.90,189.05,176.10,180.55,183.291406660549190773,1244522,12918,228110188.00,238061,19.13,12.95,-5.35
20-October-2020,173.05,183.85,172.70,183.05,180.756999372600103401,1630539,15709,294731337.00,467858,28.69,11.15,10.00
19-October-2020,176.25,177.90,173.50,174.20,174.995889547576203220,437908,4538,76632100.00,55083,12.58,4.40,-2.05
16-October-2020,183.00,183.00,173.50,175.65,176.651671142073287938,686716,6209,121309529.00,116837,17.01,9.50,-7.35
15-October-2020,186.40,188.45,178.85,179.90,183.507146028210260683,513572,5125,94244132.00,105902,20.62,9.60,-6.50
14-October-2020,183.90,188.05,178.60,186.00,184.321717120560127558,878657,10347,161955567.00,95195,10.83,9.45,2.10
13-October-2020,191.00,192.15,181.50,182.45,184.895334018652973548,803518,9159,148566729.00,174742,21.75,10.65,-8.55
12-October-2020,197.50,197.90,186.50,189.80,191.968404295101234040,1871900,23296,359345656.00,269974,14.42,11.40,-7.70
9-October-2020,209.90,209.90,198.05,200.70,203.358976310643231026,512382,5673,104197479.00,121909,23.79,11.85,-9.20
8-October-2020,209.20,212.95,204.20,205.80,208.514298050181257873,1127951,11267,235193911.00,259333,22.99,8.75,-3.40
7-October-2020,217.00,218.30,203.80,206.05,210.180796749322004091,1080390,10534,227077231.00,228837,21.18,14.50,-10.95
6-October-2020,210.00,219.50,208.50,216.95,212.910060119542551663,918836,9809,195629428.00,394015,42.88,11.00,6.95
5-October-2020,214.20,214.80,207.50,208.25,211.050372276261884770,610971,6675,128945657.00,117663,19.26,7.30,-5.95
1-October-2020,210.40,215.00,210.40,214.05,213.297803914497652276,676613,9115,144320067.00,263664,38.97,4.60,3.65
30-September-2020,209.00,212.85,206.65,209.00,209.957220925285417947,453633,4847,95243524.00,58112,12.81,6.20,0.00
29-September-2020,208.65,214.50,204.45,207.75,209.502430540378257878,869354,9108,182131776.00,53360,6.14,10.05,-0.90
28-September-2020,198.50,209.70,197.25,208.60,205.378226792262889192,1279444,14434,262769940.00,324089,25.33,12.45,10.10
25-September-2020,196.00,201.30,183.30,198.35,192.304153045073841469,1360279,14896,261587301.00,99006,7.28,18.00,2.35
24-September-2020,184.00,195.70,183.00,190.05,189.979377966018474439,936862,11667,177984460.00,50010,5.34,12.70,6.05
23-September-2020,200.00,203.10,177.30,191.75,189.623052080138696776,1597730,16511,302966439.00,130043,8.14,25.80,-8.25
22-September-2020,213.00,213.00,193.55,197.00,200.973882407300450502,1558260,13271,313169562.00,173201,11.12,19.45,-16.00
21-September-2020,222.00,224.80,204.45,210.55,215.609057928244839499,635355,7443,136988293.00,87635,13.79,20.35,-11.45
18-September-2020,222.85,226.50,219.15,220.10,223.203438347485535898,956506,11415,213495428.00,291836,30.51,7.35,-2.75
17-September-2020,215.25,224.60,215.20,221.15,221.438004969277156716,1409863,14776,312197250.00,537367,38.11,9.40,5.90
16-September-2020,219.70,219.70,213.65,215.95,215.767950185838672743,404383,4384,87252891.00,79638,19.69,6.05,-3.75
15-September-2020,217.90,220.20,216.00,217.25,218.349185613673301759,457768,3832,99953270.00,42300,9.24,4.20,-0.65
14-September-2020,222.00,224.70,214.15,216.05,218.112759954649530687,496577,5328,108309780.00,94203,18.97,10.55,-5.95
11-September-2020,222.00,224.70,216.20,218.00,220.097341441184757952,635269,5331,139821018.00,83890,13.21,8.50,-4.00
10-September-2020,220.80,228.85,219.65,222.90,224.511937495187476424,1025969,9403,230342288.00,115993,11.31,9.20,2.10
9-September-2020,212.95,223.30,207.25,221.40,216.276326703523992267,1123612,10880,243010676.00,94919,8.45,16.05,8.45
8-September-2020,223.90,225.25,212.00,213.70,219.442481047902880442,867714,8149,190413313.00,84735,9.77,13.25,-10.20
7-September-2020,220.95,225.80,215.95,223.90,221.809943975890984168,906217,8416,201007942.00,90843,10.02,9.85,2.95
4-September-2020,216.50,223.65,210.45,220.40,219.270568011582248695,1670142,15467,366212985.00,331858,19.87,13.20,3.90
3-September-2020,218.00,225.10,214.65,220.35,220.837689758353379123,2069013,22202,456916051.00,538124,26.01,10.45,2.35
2-September-2020,204.00,220.90,202.55,218.20,213.068304988847687941,1710856,15872,364529188.00,182403,10.66,18.35,14.20
1-September-2020,208.00,208.00,196.30,201.80,201.736809012675370259,868377,8224,175183605.00,80642,9.29,11.70,-6.20
31-August-2020,215.55,217.85,201.15,203.50,208.382999512834995271,1081769,9166,225422269.00,140416,12.98,16.70,-12.05
28-August-2020,211.00,218.50,211.00,213.80,215.086924935317103313,2275331,20886,489393948.00,800846,35.20,7.50,2.80
27-August-2020,211.10,216.60,205.15,209.65,210.607888298368971723,1938593,15693,408282978.00,326458,16.84,11.45,-1.45
26-August-2020,201.50,213.35,197.90,211.45,208.913949985229456126,2047995,14677,427854725.00,302708,14.78,15.45,9.95
25-August-2020,203.55,204.50,197.80,199.85,200.499008846764058416,849011,6598,170225864.00,86338,10.17,6.70,-3.70
